method,base_method,drift_order,n,pred_mean_ns,target_mean_ns,heldout_run
s02d_binned_timewalk_drift0,s02b_template,0,37,-7.430450596206829,-8.335991681735733,58
s02d_binned_timewalk_drift0,s02b_template,0,36,-3.2294085599671445,-3.5490308132635318,58
s02d_binned_timewalk_drift0,s02b_template,0,37,1.2140450474721494,1.263780814826872,58
s02d_binned_timewalk_drift0,s02b_template,0,36,2.282341010432164,2.8404869824016674,58
s02d_binned_timewalk_drift0,s02b_template,0,36,3.148503570594629,2.8236279841904275,58
s02d_binned_timewalk_drift0,s02b_template,0,37,4.735506767448132,5.014291150156743,58
s02d_binned_timewalk_drift1,s02b_template,1,37,-7.634169249568058,-8.335991681735733,58
s02d_binned_timewalk_drift1,s02b_template,1,36,-3.4216276322996966,-3.5490308132635318,58
s02d_binned_timewalk_drift1,s02b_template,1,37,1.2782543575164527,1.251510301794405,58
s02d_binned_timewalk_drift1,s02b_template,1,36,2.326382035423292,2.9814393977278737,58
s02d_binned_timewalk_drift1,s02b_template,1,36,3.203945812643713,2.695286929480923,58
s02d_binned_timewalk_drift1,s02b_template,1,37,4.77366942410861,5.014291150156743,58
s02d_binned_timewalk_drift2,s02b_template,2,37,-7.690551181291297,-8.335991681735733,58
s02d_binned_timewalk_drift2,s02b_template,2,36,-3.481527120922958,-3.5490308132635318,58
s02d_binned_timewalk_drift2,s02b_template,2,37,1.520420306327769,1.6838549559156741,58
s02d_binned_timewalk_drift2,s02b_template,2,36,2.4526696726224237,2.4827593867025803,58
s02d_binned_timewalk_drift2,s02b_template,2,36,3.3908142120198956,2.827418626044973,58
s02d_binned_timewalk_drift2,s02b_template,2,37,4.869443627366888,4.938588099295061,58
s02d_global_timewalk_drift0,template_phase,0,37,-4.360469198566743,-4.906445441602827,58
s02d_global_timewalk_drift0,template_phase,0,36,-3.386069863964352,-4.038920480766592,58
s02d_global_timewalk_drift0,template_phase,0,37,1.2712623759391515,1.3930848155330913,58
s02d_global_timewalk_drift0,template_phase,0,36,2.395743427204596,2.4953951608172735,58
s02d_global_timewalk_drift0,template_phase,0,36,2.588823764325782,2.9311052159229445,58
s02d_global_timewalk_drift0,template_phase,0,37,3.0008488518763747,2.163282889446754,58
s02d_global_timewalk_drift1,template_phase,1,37,-4.408736070072667,-4.906445441602827,58
s02d_global_timewalk_drift1,template_phase,1,36,-3.432181977844268,-4.038920480766592,58
s02d_global_timewalk_drift1,template_phase,1,37,1.3337917194329023,1.3930848155330913,58
s02d_global_timewalk_drift1,template_phase,1,36,2.464146854672944,2.4953951608172735,58
s02d_global_timewalk_drift1,template_phase,1,36,2.6593504352106248,2.9311052159229445,58
s02d_global_timewalk_drift1,template_phase,1,37,3.0756469300436837,2.163282889446754,58
s02d_global_timewalk_drift2,template_phase,2,37,-5.133630036000544,-4.946985982143368,58
s02d_global_timewalk_drift2,template_phase,2,36,-4.156376438508328,-4.155882378539762,58
s02d_global_timewalk_drift2,template_phase,2,37,1.6244459528817319,1.547426121474554,58
s02d_global_timewalk_drift2,template_phase,2,36,2.6519218281026125,2.14940772969936,58
s02d_global_timewalk_drift2,template_phase,2,36,2.847663132670991,3.3278335217034427,58
s02d_global_timewalk_drift2,template_phase,2,37,3.2808123147524144,2.11391338977505,58
s02d_binned_timewalk_drift0,s02b_template,0,382,-9.163553440419982,-9.451356339055252,59
s02d_binned_timewalk_drift0,s02b_template,0,381,-4.051924340917333,-4.050278242940455,59
s02d_binned_timewalk_drift0,s02b_template,0,382,1.3578444061146928,1.4365863363339135,59
s02d_binned_timewalk_drift0,s02b_template,0,381,2.6247054557541665,2.9875644324428867,59
s02d_binned_timewalk_drift0,s02b_template,0,381,3.54688838159497,3.58323873977892,59
s02d_binned_timewalk_drift0,s02b_template,0,382,5.248513152047349,5.500843306239157,59
s02d_binned_timewalk_drift1,s02b_template,1,382,-9.566581296788529,-9.450937219353566,59
s02d_binned_timewalk_drift1,s02b_template,1,381,-4.384710638953933,-4.057081481094651,59
s02d_binned_timewalk_drift1,s02b_template,1,382,1.2483432921234434,1.4756378265170997,59
s02d_binned_timewalk_drift1,s02b_template,1,381,2.5788014754604442,3.0779363228839642,59
s02d_binned_timewalk_drift1,s02b_template,1,381,3.5289438030701588,3.4583907510599188,59
s02d_binned_timewalk_drift1,s02b_template,1,382,5.288081629393232,5.502543971696269,59
s02d_binned_timewalk_drift2,s02b_template,2,382,-9.655514554205036,-9.450937219353566,59
s02d_binned_timewalk_drift2,s02b_template,2,381,-4.474437943598166,-4.057081481094651,59
s02d_binned_timewalk_drift2,s02b_template,2,382,1.3678147482939687,1.4544943925230172,59
s02d_binned_timewalk_drift2,s02b_template,2,381,2.6645021079884907,3.0413529465265268,59
s02d_binned_timewalk_drift2,s02b_template,2,381,3.5999877468828942,3.5108540509558193,59
s02d_binned_timewalk_drift2,s02b_template,2,382,5.3345733158884,5.507849052632358,59
s02d_global_timewalk_drift0,template_phase,0,382,-4.410316148127875,-4.50939022413954,59
s02d_global_timewalk_drift0,template_phase,0,381,-3.8369168061990995,-4.434334982739136,59
s02d_global_timewalk_drift0,template_phase,0,382,1.1521682143529242,1.3605351907732919,59
s02d_global_timewalk_drift0,template_phase,0,381,2.017604295379251,2.152989321622877,59
