method,n_runs,mean_sigma68_ns,ci_low,ci_high,min_run_sigma68_ns,max_run_sigma68_ns
S02b global timewalk no drift,7,1.6551640399789107,1.532108422563933,1.8427532847015318,1.4718970274976448,2.188417727408664
S02d global selected drift,7,1.6583862547369363,1.5369758153954702,1.8438738621246484,1.4765858367091966,2.188417727408664
S02 ML ridge,7,1.9054928392097812,1.8241540652408392,2.0254024488689604,1.7698393506968229,2.2424329131323475
S02 train-best global template (template_phase),7,2.8102293063017076,2.716242046336375,2.9028535255285473,2.6428031039120548,2.9923192689628024
S02b binned timewalk no drift,7,3.1484944174882767,2.7508192937958458,3.4608452365345896,2.127410063722653,3.6379339992367563
S02d binned selected drift,7,3.1810442555275737,2.774817893614686,3.5377579391445417,2.13066211092533,3.86253081830916
