method,base_method,drift_order,mean_cv_sigma68_ns,folds,total_pair_residuals,heldout_run
s02d_binned_timewalk_drift0,s02b_template,0,3.084977709413715,3,11241,58
s02d_binned_timewalk_drift1,s02b_template,1,3.1017994939625275,3,11241,58
s02d_binned_timewalk_drift2,s02b_template,2,3.1713525325678518,3,11241,58
s02d_global_timewalk_drift0,template_phase,0,1.7507014085806671,3,11241,58
s02d_global_timewalk_drift1,template_phase,1,1.7546971701463894,3,11241,58
s02d_global_timewalk_drift2,template_phase,2,1.9046712394021987,3,11241,58
s02d_binned_timewalk_drift2,s02b_template,2,3.2167699820444313,3,9171,59
s02d_binned_timewalk_drift1,s02b_template,1,3.28358033733833,3,9171,59
s02d_binned_timewalk_drift0,s02b_template,0,3.3854458247997226,3,9171,59
s02d_global_timewalk_drift1,template_phase,1,1.6342199985155306,3,9171,59
s02d_global_timewalk_drift2,template_phase,2,1.6967739367429895,3,9171,59
s02d_global_timewalk_drift0,template_phase,0,1.7597684880736715,3,9171,59
s02d_binned_timewalk_drift1,s02b_template,1,2.545029136692311,3,9036,60
s02d_binned_timewalk_drift0,s02b_template,0,2.5579295470856858,3,9036,60
s02d_binned_timewalk_drift2,s02b_template,2,2.588842046637463,3,9036,60
s02d_global_timewalk_drift1,template_phase,1,1.7305368473343927,3,9036,60
s02d_global_timewalk_drift0,template_phase,0,1.7339117936218236,3,9036,60
s02d_global_timewalk_drift2,template_phase,2,1.7640885378939888,3,9036,60
s02d_binned_timewalk_drift0,s02b_template,0,2.938995237812835,3,8661,61
s02d_binned_timewalk_drift1,s02b_template,1,2.9571354940103696,3,8661,61
s02d_binned_timewalk_drift2,s02b_template,2,2.9941349714337853,3,8661,61
s02d_global_timewalk_drift0,template_phase,0,1.6870420306941358,3,8661,61
s02d_global_timewalk_drift1,template_phase,1,1.7055600206562846,3,8661,61
s02d_global_timewalk_drift2,template_phase,2,1.72763457000129,3,8661,61
s02d_binned_timewalk_drift0,s02b_template,0,2.8937626350488768,3,9039,62
s02d_binned_timewalk_drift1,s02b_template,1,2.9328286807390924,3,9039,62
s02d_binned_timewalk_drift2,s02b_template,2,3.013377859279157,3,9039,62
s02d_global_timewalk_drift0,template_phase,0,1.7296391527652377,3,9039,62
s02d_global_timewalk_drift1,template_phase,1,1.7844219002819734,3,9039,62
s02d_global_timewalk_drift2,template_phase,2,1.8999196971145256,3,9039,62
s02d_binned_timewalk_drift0,s02b_template,0,2.898877135819949,3,10350,63
s02d_binned_timewalk_drift1,s02b_template,1,2.9225088603162344,3,10350,63
s02d_binned_timewalk_drift2,s02b_template,2,2.971099142240521,3,10350,63
s02d_global_timewalk_drift0,template_phase,0,1.739880718241281,3,10350,63
s02d_global_timewalk_drift1,template_phase,1,1.7758431133447168,3,10350,63
s02d_global_timewalk_drift2,template_phase,2,1.8307746583884252,3,10350,63
s02d_binned_timewalk_drift0,s02b_template,0,3.102471137745423,3,11262,65
s02d_binned_timewalk_drift1,s02b_template,1,3.107712652433483,3,11262,65
s02d_binned_timewalk_drift2,s02b_template,2,3.2092274172560487,3,11262,65
s02d_global_timewalk_drift0,template_phase,0,1.7465451989461027,3,11262,65
s02d_global_timewalk_drift1,template_phase,1,1.7599345287549604,3,11262,65
s02d_global_timewalk_drift2,template_phase,2,1.979538038588071,3,11262,65
