heldout_run,n_eval,n_train_pool,n_fit,traditional_templates,cnn_device,control_gated_accept_fraction
44,374,638699,8000,82,cpu,0.7058823529411765
45,624,616404,8000,82,cpu,0.655448717948718
46,227,640050,8000,82,cpu,0.73568281938326
47,379,635461,8000,80,cpu,0.6912928759894459
48,594,626737,8000,82,cpu,0.6599326599326599
49,589,625922,8000,82,cpu,0.6468590831918506
50,602,605520,8000,82,cpu,0.6428571428571429
51,527,625997,8000,82,cpu,0.6584440227703985
52,447,633585,8000,82,cpu,0.7158836689038032
53,594,608537,8000,82,cpu,0.6599326599326599
54,598,610297,8000,82,cpu,0.6638795986622074
55,561,623350,8000,82,cpu,0.6737967914438503
56,613,600589,8000,82,cpu,0.6492659053833605
57,601,626904,8000,82,cpu,0.6522462562396006
58,598,623956,8000,82,cpu,0.6872909698996655
59,666,619360,8000,82,cpu,0.6981981981981982
60,710,623708,8000,82,cpu,0.719718309859155
61,675,621772,8000,82,cpu,0.6948148148148148
62,670,621648,8000,82,cpu,0.7
63,648,621920,8000,82,cpu,0.6805555555555556
65,584,627699,8000,82,cpu,0.6763698630136986
