method,n_runs,n_rows,q_template_mse,q_template_mse_ci_low,q_template_mse_ci_high,tail_mse,tail_mse_ci_low,tail_mse_ci_high,live10_abs_error_ns,live10_abs_error_ns_ci_low,live10_abs_error_ns_ci_high,live20_abs_error_ns,live20_abs_error_ns_ci_low,live20_abs_error_ns_ci_high,tau_eff_abs_error_ns,tau_eff_abs_error_ns_ci_low,tau_eff_abs_error_ns_ci_high,timing_abs_error_ns,timing_abs_error_ns_ci_low,timing_abs_error_ns_ci_high,secondary_abs_error,secondary_abs_error_ci_low,secondary_abs_error_ci_high,timing_sigma68_ns,timing_sigma68_ns_ci_low,timing_sigma68_ns_ci_high
sentinel_amplitude_only_ridge,21,11881,0.08614696360748855,0.07300006888179382,0.09782316717263768,0.14714999921657718,0.12061892598723631,0.17218761605095026,25.287764941506584,22.594623624828824,27.836027848056045,27.941426101746735,25.280714954210513,30.48017541386649,10.982336773762816,9.812720360944008,12.089033292515989,0.6525662532009354,0.6026263604952622,0.7031207851052287,0.05485329181420805,0.05023254541674808,0.05927920514721121,0.5167281395386788,0.495563452223129,0.5404914018537711
ridge_tail_surrogate,21,11881,0.08878987311152274,0.07481732966750312,0.10330595972447944,0.15442214442491636,0.12630005346779974,0.18391537367669167,25.188076597291314,22.351318981794783,27.790969480500067,28.165978306045524,25.45860766039476,30.73665782064776,10.939042675960053,9.707054497052884,12.069464692122857,0.6286823983888392,0.5904613816577672,0.668605637201062,0.052057701247151804,0.04731632624238529,0.05671318790972142,0.5869916668834119,0.5604857209677307,0.6138564587989508
sentinel_shuffled_current_ridge,21,11881,0.08891718270336305,0.07566748621199676,0.10183239581157395,0.15505805497437364,0.12829494519311457,0.18214706318420465,25.203891319493064,22.444418977112335,27.737606418436098,28.30929934164821,25.90485980657182,30.663033580030433,10.945910922545105,9.747487311284514,12.046289408731019,0.6435892888636359,0.6035906097572448,0.6830909899320741,0.05296224831350026,0.04862152382593635,0.05715031102791308,0.5886143500803322,0.5637068727206566,0.617778117134475
gradient_boosted_trees_tail_surrogate,21,11881,0.09356090926814287,0.07783592496807064,0.10776828066721837,0.15787731958322246,0.12950483612073857,0.18281151497260886,26.3769877992035,23.467976035732075,28.749980536320443,30.62147005392569,27.835862237678597,32.84674767914564,11.455380250423477,10.192012493756188,12.48595790174986,0.6414081842876469,0.6006328439097489,0.6782827980364623,0.05670965008311124,0.05163776368609867,0.06072119368970121,0.3592908530904486,0.3166880437354861,0.40392721250673463
mlp_tail_surrogate,21,11881,0.10424583996116957,0.08944316693891449,0.11986734894344248,0.18204288710088018,0.1488489629864676,0.21648816511402008,25.26602169503516,22.534003672342,27.93542202138937,27.982780136509643,25.228908257728936,30.7015488738666,10.972893801801614,9.786393450085743,12.132199633527986,1.0728108495532909,0.9658033136471871,1.2183336326204255,0.05695325456560081,0.05215745725017981,0.06192507261785726,1.0815480221750682,0.9583604853560833,1.2592172322408601
cnn_tail_knockout_surrogate,21,11881,0.12820802632665554,0.10928539478553087,0.14636865615356182,0.22082120427774957,0.1857976714332904,0.25470307426709293,25.777425353536646,23.084182818192613,28.106162616270954,26.994350417443084,24.941507769318633,28.984752448711117,11.194993588713945,10.025333217186905,12.206351331721939,1.5179626662410006,1.10688501609968,2.346592634430954,0.053832741440326085,0.05092385369949065,0.056527812150316444,1.6331726026295688,1.2222349303460325,2.332899586625322
sentinel_run_only_ridge,21,11881,0.17275749667464724,0.15033358322668666,0.19542556623626273,0.2550755918627739,0.21996681784869368,0.2897011818721798,30.079055847093734,27.406280047775535,32.63270840290232,35.039628380986684,32.62418100986784,37.395241694108826,13.063167975252549,11.902396194244101,14.172205188938355,0.6650585073383096,0.6377465704222757,0.6947716604866139,0.07796938383356952,0.0742321936524405,0.08164537655307683,0.11570710235625888,0.11212650960959106,0.11936665764214224
control_gated_cnn_gbt_ensemble,21,11881,0.16712858168622816,0.14300658814954997,0.19018671589722452,0.2560452865608413,0.2154573355969274,0.2925573034635587,24.253240490663508,21.61087873444314,26.54587961852796,24.067835633574596,21.74836544658845,26.058516418850697,10.53304851336768,9.385485383448987,11.528729035594688,0.7177652663045265,0.628209967299156,0.8593337659608637,0.04952843147924241,0.04611489332463514,0.05235071926013877,0.6420351471999108,0.5385039215716361,0.7964976952292134
traditional_empirical_template,21,11881,0.1745708965445373,0.1509350348746884,0.20101462259189593,0.27457236825427456,0.23108366589998194,0.3196187380321196,27.717045850977154,25.33715844219458,30.11683229494289,22.86489616483853,20.855422835124116,24.944225918188803,12.037360067738796,11.003788098553496,13.079574078099341,0.27857201929937414,0.2420029262160041,0.31786814093806376,0.05118765636911639,0.04741197747444179,0.05470936890734728,0.10935103757025051,0.10505783642490724,0.11424125975252532
sentinel_shuffled_live10_ridge,21,11881,0.19282155420066896,0.1693682869270749,0.21639446195837525,0.2822410385411321,0.2430389134202566,0.3208446612167208,27.491583708246747,25.05445911463692,29.903832466537374,22.324442456722778,20.39610429576641,24.38395896408444,11.939443103272898,10.881013340557447,12.987069427976486,1.253414896745746,1.2024237616493816,1.2915086730294532,0.051187656407232496,0.04768641132214374,0.05474125490727588,1.174440886880052,1.1271438730076415,1.2100513787138065
