method,current_stratum,saturation_bin,amp_bin_label,peak_phase_bin,q_proxy_bin,n,n_runs,q_delta,tail_delta,live10_delta_ns,live20_delta_ns,timing_delta_ns,secondary_error_delta,action_label,reason
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,late,q_low,222,12,-0.005668146047323964,-0.008333778161598243,-10.0,-10.0,0.3235962891803012,-0.01647424037658538,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,nominal,q_low,73,12,-0.0023363979711924516,-0.003344389718434174,-10.0,-10.0,0.17593632958680377,-0.012573900602306795,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,late,q_low,153,12,-0.008811605235939605,-0.012973526122823584,-9.869281045751634,-10.0,0.3843554080783694,-0.00010365745771056146,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,late,q_mid,58,12,-0.008017148705485243,-0.011601119739895875,-10.0,-10.0,0.3801651866818665,-9.038417687102487e-05,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,nominal,q_low,91,12,-0.00621078392634025,-0.009101369239103336,-10.0,-10.0,0.2640798929496957,-0.001671795619080001,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,unsaturated,a1000_1500,early,q_high,187,12,-1.1378030107808061,-1.2809217656801288,-38.39572192513369,-35.080213903743314,0.2502661556283245,-0.0676061643042756,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,unsaturated,a1500_2200,early,q_high,118,12,-0.530482681412355,-0.5845096366870978,-34.067796610169495,-21.610169491525422,0.4634761016263048,-0.04964944571643392,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,unsaturated,a4700_6800,late,q_low,128,12,-0.0013386417483607325,-0.00273503264236779,-9.765625,-9.140625,0.4925106858378736,-0.016609193189136978,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,sample_ii,unsaturated,a1000_1500,early,q_high,151,7,-0.4086302809335011,-0.4109522211220698,-23.24503311258278,-18.67549668874172,0.320369784650506,-0.03705034511831103,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,late,q_high,3,3,-0.012347438171798118,-0.017934622600524124,-10.0,-10.0,0.1583604385019403,0.005766498546457166,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,late,q_mid,31,10,-0.005935829629382892,-0.008754124597283053,-10.0,-10.0,0.3969412967327307,-0.011587246523654955,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,nominal,q_high,7,6,-0.002114240941004593,-0.0023859262793928704,10.0,7.142857142857143,0.13198834812115479,-0.029683086441502395,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,nominal,q_mid,10,5,0.007729712840827072,0.009936370672538684,4.0,4.0,0.11134536171586396,0.011906468858333847,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,very_late,q_high,3,3,-0.006458526547827745,-0.007861959693407772,-6.666666666666667,-10.0,0.7927389456688427,0.0037674362688445893,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,very_late,q_low,8,6,-0.024476027288984327,-0.08665286507161836,-7.5,-8.75,0.05577566250730359,-0.03612995891897962,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,early,q_high,1,1,0.006683609064887547,0.024727513010685265,10.0,10.0,0.5099213502914157,0.051505601191928124,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,late,q_high,18,8,-0.007626862606045857,-0.01219634181363724,-4.444444444444445,-4.444444444444445,0.048013286944358725,0.0017277500781593224,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,nominal,q_high,16,9,0.0016600315284449603,0.0010153876792173854,2.5,2.5,-0.009820124729467972,0.006174965683132231,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,nominal,q_mid,17,7,-0.002402331762234954,-0.003888816326199209,-5.294117647058823,-5.294117647058823,0.1425017541776974,0.0013667403997853456,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,very_late,q_high,6,6,-0.020437159467171995,-0.03152011006769507,-10.0,-10.0,-0.09801371431627626,0.005833497754545299,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,very_late,q_low,18,8,0.08517393558400362,0.13007726980264855,-7.777777777777778,-8.333333333333334,0.4909259301103478,0.003623456819713555,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,very_late,q_mid,2,2,-0.007296571135520933,-0.012158109886305671,-10.0,-10.0,0.05289291157623888,0.00818719169847082,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a10000_15000,early,q_high,1,1,0.004439055919647217,0.09237228907071626,10.0,10.0,-2.758375573713172,0.08677968669056141,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a10000_15000,nominal,q_high,3,3,0.013614476895799824,-0.023094584130578567,-10.0,-10.0,2.0940755508859996,0.032394698974938,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,early,q_high,1,1,0.0034948699176311493,0.0151376139659148,10.0,10.0,1.459007411611588,0.03271331717145887,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,late,q_high,24,10,-0.02942586402999225,-0.041968319294995914,-8.333333333333334,-8.333333333333334,1.036280387423327,-0.006994823944718007,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,late,q_low,5,4,-0.004840682238778648,-0.007147817618467592,-10.0,-10.0,2.867172825735091,0.014227231352112835,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,late,q_mid,211,12,-0.003968357405040319,-0.005972078140291626,-10.0,-10.0,2.8897455043531832,0.014719836848247632,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,nominal,q_high,19,6,-0.029042472595769923,-0.041314973461965804,-5.7894736842105265,-5.7894736842105265,-1.652896340677388,-2.9962365817080182e-05,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,nominal,q_low,3,3,-0.005201178000253788,-0.007664307744966612,-10.0,-10.0,3.3394266198790774,0.0157582791146051,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,nominal,q_mid,67,12,-0.0047582106058067985,-0.006983752056622683,-10.0,-10.0,3.0170593057586212,0.012370242845443373,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,very_late,q_high,5,3,-0.04133369600739466,-0.059630292160342435,-10.0,-10.0,0.46027958450678685,-0.003989145406779815,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,very_late,q_mid,2,2,-0.03581373962677188,-0.08706575361165134,-5.0,-5.0,2.4013369270943796,-0.008720790249256621,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,unsaturated,a1000_1500,late,q_high,212,12,-0.212934118165034,-0.3037401844447778,4.2924528301886795,2.9245283018867925,0.9759691258681265,-0.008666067490500492,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_surrogate,high_20nA,unsaturated,a1000_1500,late,q_mid,2,2,-0.1833311803638935,-0.2614070082252676,-20.0,-20.0,1.0160291870760418,-0.03251313184490051,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,unsaturated,a1000_1500,nominal,q_high,94,12,-0.13732716052248625,-0.15757768517446466,-17.23404255319149,-14.46808510638298,0.8046426190306214,-0.053588708474484506,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_surrogate,high_20nA,unsaturated,a1000_1500,very_late,q_high,190,12,-0.181510959185471,-0.27002368522087183,6.947368421052632,8.789473684210526,1.0168142138305,-0.0076244151593641615,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_surrogate,high_20nA,unsaturated,a1000_1500,very_late,q_low,164,12,-0.15143228347028068,-0.24855464220677734,28.597560975609756,29.390243902439025,0.6273504634624867,0.05273775014722729,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_surrogate,high_20nA,unsaturated,a1000_1500,very_late,q_mid,180,12,-0.08643159537469546,-0.15406699237313332,22.333333333333332,23.833333333333332,1.0027651389940015,0.042140096601280416,diagnostic_only,reconstruction_gain_control_failure
