method,policy,heldout_run,n_features,feature_names_sha256,choice,seq_scaler_mean_sha256,tab_scaler_mean_sha256
ridge,no_stave,58,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,100.0,,
gradient_boosted_trees,no_stave,58,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,"{'score': 1.127211158173444, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,no_stave,58,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,20178e2f6a39d6142663598d08a45e42ea0959eca8eeb846bdb6062a2ece39b0
cnn,no_stave,58,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,20178e2f6a39d6142663598d08a45e42ea0959eca8eeb846bdb6062a2ece39b0
gated_label_fusion,no_stave,58,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,20178e2f6a39d6142663598d08a45e42ea0959eca8eeb846bdb6062a2ece39b0
ridge,real_stave,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,real_stave,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.127211158173444, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,real_stave,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,49a4f9dde67f059b05e6189d8b3ce26a707bffa154250a848ba7d023894807d8
cnn,real_stave,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,49a4f9dde67f059b05e6189d8b3ce26a707bffa154250a848ba7d023894807d8
gated_label_fusion,real_stave,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,49a4f9dde67f059b05e6189d8b3ce26a707bffa154250a848ba7d023894807d8
ridge,train_label_permutation,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
