model,alpha,fold,sigma68_ns,n_pair_residuals,learning_rate,max_leaf_nodes,heldout_run,policy
ridge,0.01,0,1.240196138457696,2997,,,58,real_stave
ridge,0.01,1,1.4892402592429315,3534,,,58,real_stave
ridge,0.01,2,1.4056528667667239,4710,,,58,real_stave
ridge,0.01,-1,1.378363088155784,0,,,58,real_stave
ridge,0.1,0,1.2467221261531076,2997,,,58,real_stave
ridge,0.1,1,1.4823357415473613,3534,,,58,real_stave
ridge,0.1,2,1.39573382050175,4710,,,58,real_stave
ridge,0.1,-1,1.3749305627340729,0,,,58,real_stave
ridge,1.0,0,1.2675159123464361,2997,,,58,real_stave
ridge,1.0,1,1.4795306043782666,3534,,,58,real_stave
ridge,1.0,2,1.380328594378568,4710,,,58,real_stave
ridge,1.0,-1,1.37579170370109,0,,,58,real_stave
ridge,10.0,0,1.2647518540179166,2997,,,58,real_stave
ridge,10.0,1,1.4680136531905355,3534,,,58,real_stave
ridge,10.0,2,1.3697623061586424,4710,,,58,real_stave
ridge,10.0,-1,1.3675092711223646,0,,,58,real_stave
ridge,100.0,0,1.2148933406700981,2997,,,58,real_stave
ridge,100.0,1,1.4116239169044675,3534,,,58,real_stave
ridge,100.0,2,1.3486686945698716,4710,,,58,real_stave
ridge,100.0,-1,1.325061984048146,0,,,58,real_stave
gradient_boosted_trees,,0,1.104558939297302,2997,0.03,15.0,58,real_stave
gradient_boosted_trees,,1,1.1731650509961928,3534,0.03,15.0,58,real_stave
gradient_boosted_trees,,2,1.134693514091404,4710,0.03,15.0,58,real_stave
gradient_boosted_trees,,-1,1.1374725014616331,0,0.03,15.0,58,real_stave
gradient_boosted_trees,,0,1.0971405035866006,2997,0.03,31.0,58,real_stave
gradient_boosted_trees,,1,1.1843718655818818,3534,0.03,31.0,58,real_stave
gradient_boosted_trees,,2,1.1001211053518496,4710,0.03,31.0,58,real_stave
gradient_boosted_trees,,-1,1.127211158173444,0,0.03,31.0,58,real_stave
gradient_boosted_trees,,0,1.0803459608511512,2997,0.06,15.0,58,real_stave
gradient_boosted_trees,,1,1.2134738488150538,3534,0.06,15.0,58,real_stave
gradient_boosted_trees,,2,1.15364052791213,4710,0.06,15.0,58,real_stave
gradient_boosted_trees,,-1,1.1491534458594452,0,0.06,15.0,58,real_stave
gradient_boosted_trees,,0,1.0662912260829362,2997,0.06,31.0,58,real_stave
gradient_boosted_trees,,1,1.2368071302596695,3534,0.06,31.0,58,real_stave
gradient_boosted_trees,,2,1.1271433500773052,4710,0.06,31.0,58,real_stave
gradient_boosted_trees,,-1,1.1434139021399703,0,0.06,31.0,58,real_stave
ridge,0.01,0,1.2235635829009102,2799,,,59,real_stave
