heldout_run,policy,label,train_mean_target_residual_ns
58,real_stave,B4,2.0397500281400265
58,real_stave,B6,-1.24369735830469
58,real_stave,B8,-0.7960526698353365
58,real_stave,ALL_FALLBACK,1.3906182890065122e-17
58,train_label_permutation,B4,0.05505230518260236
58,train_label_permutation,B6,-0.005395696080336477
58,train_label_permutation,B8,-0.04965660910226583
58,train_label_permutation,ALL_FALLBACK,1.3906182890065122e-17
58,heldout_label_permutation,B4,2.0397500281400265
58,heldout_label_permutation,B6,-1.24369735830469
58,heldout_label_permutation,B8,-0.7960526698353365
58,heldout_label_permutation,ALL_FALLBACK,1.3906182890065122e-17
59,real_stave,B4,1.9845440940919472
59,real_stave,B6,-1.24478102273403
59,real_stave,B8,-0.7397630713579172
59,real_stave,ALL_FALLBACK,7.747712744085707e-18
59,train_label_permutation,B4,0.029025268255586125
59,train_label_permutation,B6,-0.0024523609129517452
59,train_label_permutation,B8,-0.026572907342634358
59,train_label_permutation,ALL_FALLBACK,7.747712744085707e-18
59,heldout_label_permutation,B4,1.9845440940919472
59,heldout_label_permutation,B6,-1.24478102273403
59,heldout_label_permutation,B8,-0.7397630713579172
59,heldout_label_permutation,ALL_FALLBACK,7.747712744085707e-18
60,real_stave,B4,1.9229915999595102
60,real_stave,B6,-1.1894730062723906
60,real_stave,B8,-0.7335185936871198
60,real_stave,ALL_FALLBACK,-1.5726930849050468e-17
60,train_label_permutation,B4,0.012488167555483994
60,train_label_permutation,B6,-0.020845061949674643
60,train_label_permutation,B8,0.008356894394190604
60,train_label_permutation,ALL_FALLBACK,-1.5726930849050468e-17
60,heldout_label_permutation,B4,1.9229915999595102
60,heldout_label_permutation,B6,-1.1894730062723906
60,heldout_label_permutation,B8,-0.7335185936871198
60,heldout_label_permutation,ALL_FALLBACK,-1.5726930849050468e-17
61,real_stave,B4,2.0880947368975127
61,real_stave,B6,-1.2727657273197848
61,real_stave,B8,-0.8153290095777279
61,real_stave,ALL_FALLBACK,2.8713769485744726e-17
61,train_label_permutation,B4,0.010976332638439782
61,train_label_permutation,B6,0.0239025433591344
61,train_label_permutation,B8,-0.0348788759975741
61,train_label_permutation,ALL_FALLBACK,2.8713769485744726e-17
61,heldout_label_permutation,B4,2.0880947368975127
61,heldout_label_permutation,B6,-1.2727657273197848
61,heldout_label_permutation,B8,-0.8153290095777279
61,heldout_label_permutation,ALL_FALLBACK,2.8713769485744726e-17
62,real_stave,B4,2.0053627234978237
62,real_stave,B6,-1.238697032428358
62,real_stave,B8,-0.7666656910694659
62,real_stave,ALL_FALLBACK,2.3582566736146705e-18
62,train_label_permutation,B4,-0.02913812223049514
62,train_label_permutation,B6,0.015417951626794995
62,train_label_permutation,B8,0.013720170603700147
62,train_label_permutation,ALL_FALLBACK,2.3582566736146705e-18
62,heldout_label_permutation,B4,2.0053627234978237
62,heldout_label_permutation,B6,-1.238697032428358
62,heldout_label_permutation,B8,-0.7666656910694659
62,heldout_label_permutation,ALL_FALLBACK,2.3582566736146705e-18
63,real_stave,B4,1.98787904871001
63,real_stave,B6,-1.2239406058534126
63,real_stave,B8,-0.7639384428565973
63,real_stave,ALL_FALLBACK,5.698072180491625e-17
63,train_label_permutation,B4,-0.02133573232229658
63,train_label_permutation,B6,-0.02768188615564027
63,train_label_permutation,B8,0.049017618477937015
63,train_label_permutation,ALL_FALLBACK,5.698072180491625e-17
63,heldout_label_permutation,B4,1.98787904871001
63,heldout_label_permutation,B6,-1.2239406058534126
63,heldout_label_permutation,B8,-0.7639384428565973
63,heldout_label_permutation,ALL_FALLBACK,5.698072180491625e-17
65,real_stave,B4,2.0412934651568397
65,real_stave,B6,-1.2455690498682055
65,real_stave,B8,-0.7957244152886344
65,real_stave,ALL_FALLBACK,-5.047364487729357e-18
65,train_label_permutation,B4,-0.0017146440694584466
65,train_label_permutation,B6,0.0655346666178192
65,train_label_permutation,B8,-0.06382002254836078
65,train_label_permutation,ALL_FALLBACK,-5.047364487729357e-18
65,heldout_label_permutation,B4,2.0412934651568397
65,heldout_label_permutation,B6,-1.2455690498682055
65,heldout_label_permutation,B8,-0.7957244152886344
65,heldout_label_permutation,ALL_FALLBACK,-5.047364487729357e-18
