method,family,label_policy,mean_sigma68_ns,median_sigma68_ns,min_sigma68_ns,max_sigma68_ns,mean_full_rms_ns,n_heldout_runs
gradient_boosted_trees_real_stave,gradient_boosted_trees,real_stave,1.0953325368264564,1.0931178420076655,0.8875660545318202,1.292700636354366,1.9880198384151702,7
mlp_real_stave,mlp,real_stave,1.2067381138525566,1.2245814280261595,0.9165182423038175,1.3930772155000026,2.2394393202019023,7
label_offset_real_stave,label_only_offset,real_stave,1.2520874325081546,1.313066157195569,0.9707743282321143,1.3743767949779582,2.337289192890246,7
ridge_real_stave,ridge,real_stave,1.3015184443290835,1.3094047328174745,1.1072894854119855,1.43120508173019,2.318492053006871,7
gated_label_fusion_real_stave,new_gated_label_fusion,real_stave,1.3236684332520379,1.359370023610985,1.1488587808599078,1.5163623388167162,2.3291024617980227,7
cnn_real_stave,cnn,real_stave,1.3606961184774509,1.3306205286072752,1.2816590426615069,1.5441864469446136,2.321237604013823,7
gradient_boosted_trees_train_label_permutation,gradient_boosted_trees,train_label_permutation,1.4560761240931,1.4167255317192424,1.3354562991281376,1.6171549865523007,2.158325852737011,7
gradient_boosted_trees_no_stave,gradient_boosted_trees,no_stave,1.4629139845828623,1.413582310965647,1.3504137596692987,1.6776039370651339,2.170359356934791,7
traditional_analytic_timewalk,traditional,none,1.496403819440369,1.4587081303487366,1.1874833645739167,2.1299643935400336,2.5046926909391165,7
label_offset_train_label_permutation,label_only_offset,train_label_permutation,1.4970017636314883,1.451259583135391,1.1752469074818956,2.140757066491801,2.510771779294497,7
mlp_train_label_permutation,mlp,train_label_permutation,1.5927648009425155,1.5626181097027352,1.436643637241117,1.950357741155158,2.541789286223056,7
mlp_no_stave,mlp,no_stave,1.6505183011466944,1.5617564929164658,1.4873151831514904,2.1462224270365327,2.586037472383004,7
gated_label_fusion_train_label_permutation,new_gated_label_fusion,train_label_permutation,1.6595358739482826,1.610537579385607,1.5098346900446562,2.148605533193261,2.514097153480424,7
gated_label_fusion_no_stave,new_gated_label_fusion,no_stave,1.7179823853349785,1.7131275182073873,1.4317137381570002,2.217494906350078,2.57042131261603,7
ridge_train_label_permutation,ridge,train_label_permutation,1.7295900135635978,1.664848356796561,1.5679804788593756,2.1733232696164464,2.5656972287325286,7
ridge_no_stave,ridge,no_stave,1.7319275340883773,1.6906630903131825,1.5950783781198452,2.1745604832161693,2.565483091737034,7
cnn_no_stave,cnn,no_stave,1.732892492893227,1.675148463032074,1.527950638258647,2.2379503061522463,2.5176548384640753,7
cnn_train_label_permutation,cnn,train_label_permutation,1.795022545737351,1.7619837381716739,1.61979174226915,2.260006576814971,2.6229258208816755,7
mlp_heldout_label_permutation,mlp,heldout_label_permutation,2.384658049802274,2.3781731358941016,2.050539949752852,3.0152435691991277,3.0678909448223806,7
gated_label_fusion_heldout_label_permutation,new_gated_label_fusion,heldout_label_permutation,2.452983347859226,2.5818033908658755,1.7325441566150692,2.987290882575548,3.04154829984952,7
cnn_heldout_label_permutation,cnn,heldout_label_permutation,2.4626409222480734,2.374186454943595,1.978916956270882,3.0525578939202913,3.0717462177574526,7
gradient_boosted_trees_heldout_label_permutation,gradient_boosted_trees,heldout_label_permutation,2.4934151854266156,2.434063039492311,2.2272401181894037,2.9417911603793456,3.006189196957524,7
ridge_heldout_label_permutation,ridge,heldout_label_permutation,2.519310787969591,2.44610114542368,2.300050115541458,2.9778673101218143,3.1453718980836483,7
label_offset_heldout_label_permutation,label_only_offset,heldout_label_permutation,2.59569785191269,2.536187515611785,2.291335863970505,3.1179845117450933,3.2187661329191295,7
