run,method,method_label,abstention_budget,abstain_fraction,n,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,calibration_ece,calibration_loss,mean_sigma_hat_ns
58,cnn1d,1D-CNN residual scale model,0.1,0.0639269406392694,205,1,1.3710658192232836,1.3455644514962766,0.0,1.0484307010679994,0.37073170731707317,0.9560975609756097,0.17780816070264635,0.1360735518915456,1.3766595389784837
58,gradient_boosted_trees,HistGradientBoosting residual scale model,0.1,0.1278538812785388,191,1,1.4153882456282585,2.564638812434464,0.015706806282722512,1.0063761275278893,0.46596858638743455,0.8952879581151832,0.13571647381719112,0.10338138724486565,1.4624419639828923
58,mlp,MLP residual scale model,0.1,0.13242009132420096,190,1,1.587357347855727,1.6184230497502945,0.005263157894736842,0.999960884168969,0.4052631578947368,0.8789473684210526,0.1750289565948158,0.13088675956176435,1.4452313322769967
58,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.1,0.07762557077625576,202,1,1.3828290009615989,1.3408053644414537,0.0,0.9369174249351679,0.5297029702970297,0.9801980198019802,0.09497264656856437,0.08530994081883674,1.571004691318413
58,ridge,Ridge residual scale model,0.1,0.0365296803652968,211,1,1.3121060880324869,1.5476512510881972,0.009478672985781991,0.9304276493711303,0.38388625592417064,0.909952606635071,0.1817475896703957,0.1475426424692559,1.3203455377811504
58,traditional,S02/S03/S04 atom robust-width baseline,0.1,0.05936073059360736,206,1,1.1851626212297732,2.3337160481320542,0.014563106796116505,4.31654540911583,0.3300970873786408,0.5485436893203883,0.37702435771898546,1.1119046205681966,0.8470902094863504
59,cnn1d,1D-CNN residual scale model,0.1,0.07252075141983394,2123,1,1.3754970454977211,1.6800310065385882,0.003297220913801225,1.0716988077110412,0.42581252943947245,0.9359397079604334,0.15374465186218816,0.12409517857758089,1.3169420171797528
59,gradient_boosted_trees,HistGradientBoosting residual scale model,0.1,0.034512887723896934,2210,1,1.4247712816164142,1.5601242166641747,0.0058823529411764705,1.012836830129552,0.49457013574660635,0.8841628959276018,0.13220221696354573,0.09974887688897241,1.3753375377897779
59,mlp,MLP residual scale model,0.1,0.07339449541284404,2121,1,1.5309955711684247,2.1128511414399362,0.008958038661008957,1.0678552466529192,0.5035360678925035,0.8741159830268741,0.13140839529056506,0.11357527079027666,1.4099342039400313
59,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.1,0.06727828746177367,2135,1,1.3781230643452023,1.4996324888283314,0.00234192037470726,0.9984176056542385,0.6370023419203747,0.9536299765807963,0.07717177969766302,0.03201782521021153,1.5544457224521582
