method,method_label,abstention_budget,sigma_hat_threshold_ns,abstain_fraction,n,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,calibration_ece,calibration_loss,mean_sigma_hat_ns,bootstrap_valid,coverage68_ci_low,coverage68_ci_high,coverage95_ci_low,coverage95_ci_high,calibration_loss_ci_low,calibration_loss_ci_high,sigma68_ns_ci_low,sigma68_ns_ci_high,tail_frac_abs_gt5ns_ci_low,tail_frac_abs_gt5ns_ci_high,abstain_fraction_ci_low,abstain_fraction_ci_high
traditional,S02/S03/S04 atom robust-width baseline,0.0,inf,0.0,11460,7,1.5510917109777835,2.666988996928635,0.03368237347294939,2.7120725531229497,0.3849912739965096,0.631588132635253,0.3080550427526186,0.6590594203452015,1.1016397867274643,600,0.31571546680781387,0.44200733135741466,0.5444104191962248,0.695902308570802,0.5496238221824071,0.7638192132775165,1.3692541438932313,1.894171264327292,0.016025228877099347,0.05945463027693627,0.0,0.0
ridge,Ridge residual scale model,0.0,inf,0.0,11460,7,1.5731825855146495,2.5465901524293555,0.027399650959860383,1.0202372113235316,0.48106457242582895,0.8717277486910995,0.13994858551003578,0.11002074196340975,1.5768866729985982,600,0.39071546757652165,0.5771309119819715,0.8106394358404534,0.9313091899208448,0.07911358114466635,0.19707299471134715,1.4256140777011714,1.8514916846345177,0.015434816698233472,0.04460834029386255,0.0,0.0
gradient_boosted_trees,HistGradientBoosting residual scale model,0.0,inf,0.0,11460,7,1.5542951071875146,2.315559803391101,0.02111692844677138,1.045099754589835,0.5027923211169284,0.8697207678883071,0.13302013873865706,0.10957407411506415,1.5934151687103055,600,0.41512688162305844,0.5854002114191913,0.8085912614689503,0.9202624838843108,0.0768636085766062,0.20927895712867634,1.41369448337092,1.7653300594644021,0.013549923780487807,0.030019685039370077,0.0,0.0
mlp,MLP residual scale model,0.0,inf,0.0,11460,7,1.6447738012513375,2.424531198736336,0.02155322862129145,1.05181909683363,0.5169284467713787,0.8760034904013961,0.12871873889290478,0.10507384767268999,1.6919834972208083,600,0.4482758620689655,0.5766006777242733,0.8373907615939019,0.9100225845938437,0.0674483669934454,0.17066284560796097,1.5386301818253432,1.7847236570578202,0.015432603947508712,0.029506302935157002,0.0,0.0
cnn1d,1D-CNN residual scale model,0.0,inf,0.0,11460,7,1.510096991761467,2.420418697948264,0.01780104712041885,1.009827486398175,0.4545375218150087,0.9361256544502617,0.14034125566710387,0.09804876448425212,1.6619881499916263,600,0.36841075002943596,0.5266293960883598,0.9210659961127309,0.949636918518081,0.08000623830245525,0.16595232423726328,1.3842227193874126,1.706373661742583,0.012860044062486864,0.02505779064563629,0.0,0.0
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.0,inf,0.0,11460,7,1.503985568351275,2.415318800709231,0.015270506108202443,0.9010218616401986,0.6319371727748692,0.9609947643979058,0.053988774235618146,0.05367849908886406,1.8812046822125577,600,0.5730747593199454,0.6909987071020178,0.9551523310315526,0.9673661418361975,0.04195471681824585,0.0709106952453677,1.3813921992332048,1.6616153855711302,0.010226155358898722,0.021033257201794373,0.0,0.0
traditional,S02/S03/S04 atom robust-width baseline,0.05,1.824903645635596,0.04171029668411863,10982,7,1.5455136877808857,2.65490189498131,0.03423784374430887,2.807123068900773,0.3750682935712985,0.6189218721544345,0.3193496632056334,0.6912930146294183,1.0611454315286455,600,0.3133772231906022,0.4277903539523765,0.5413626205463647,0.6816596569211334,0.6007037120902257,0.7780302569473118,1.3547122947285968,1.8822527005370049,0.01594127849550634,0.059248824350149984,0.023203094144486906,0.05882733122332792
ridge,Ridge residual scale model,0.05,2.489719641208649,0.050000000000000044,10887,7,1.5467501756191635,2.046793895026164,0.018829797005603013,1.0364374430021503,0.47359235785799575,0.8717736750252595,0.14366172962687235,0.11685565797069186,1.4810244806478359,600,0.3828276542349339,0.5612089036158754,0.8081031649672543,0.9280292125396095,0.0766043766902921,0.2053469266290936,1.3996651767164774,1.8410798275613238,0.005255830222543337,0.0374324202001387,0.022918885958431008,0.0809762381111693
gradient_boosted_trees,HistGradientBoosting residual scale model,0.05,2.5144812079293275,0.050000000000000044,10887,7,1.521432337540417,1.7335366127561478,0.011757141544961882,1.0600037849373272,0.49958666299255994,0.868191420960779,0.13696567010634328,0.1154702158068329,1.4774598918927662,600,0.4051237549705261,0.585709948231553,0.8019566865356451,0.9199720117844498,0.07187955222983612,0.22081844665930808,1.3806835685606142,1.7330645247264502,0.006536902428381685,0.01966392563460851,0.030662173881633857,0.0748065030344933
mlp,MLP residual scale model,0.05,2.95203102827072,0.050000000000000044,10887,7,1.6285104174842626,1.976978687859769,0.014053458252962248,1.080826455863269,0.5048222650868007,0.8741618444015798,0.13190087734447528,0.11660817896409092,1.5461208401134086,600,0.4358604468120234,0.5626646528688346,0.8344393737105309,0.908686681941816,0.06615468671014109,0.1868883491961058,1.5170594401981932,1.797583843401372,0.008391916081446212,0.023952080542087195,0.03599055356798653,0.0689498882142297
