method,amp_bin,n,mean_residual_ns,sigma68_ns
template_phase_base,"(1002.499, 1701.167]",33,-0.6785551305353245,3.737976980490841
template_phase_base,"(1701.167, 2010.833]",33,-1.6076081197055896,3.915775867232582
template_phase_base,"(2010.833, 2378.25]",33,-0.3455157251691434,3.415775867232572
template_phase_base,"(2378.25, 2813.333]",33,0.553102269264409,3.415775867232575
template_phase_base,"(2813.333, 3341.5]",33,0.2470308766842958,3.415775867232572
template_phase_base,"(3341.5, 6328.5]",33,1.8315458294613502,0.667953280388339
template_phase_base,max_abs_bin_mean,198,1.8315458294613502,
analytic_polynomial_timewalk,"(1002.499, 1701.167]",33,0.70889195582615,1.891229109062384
analytic_polynomial_timewalk,"(1701.167, 2010.833]",33,0.4605582669685206,1.6558134410655851
analytic_polynomial_timewalk,"(2010.833, 2378.25]",33,-0.3500355588901078,2.0109288311438713
analytic_polynomial_timewalk,"(2378.25, 2813.333]",33,-0.5306159749674572,1.2975198584370986
analytic_polynomial_timewalk,"(2813.333, 3341.5]",33,0.07637964688385801,1.6199906660748722
analytic_polynomial_timewalk,"(3341.5, 6328.5]",33,-0.36517833582096393,0.9967000670808229
analytic_polynomial_timewalk,max_abs_bin_mean,198,0.70889195582615,
ridge,"(1002.499, 1701.167]",33,0.09098103777344828,1.3285165867111746
ridge,"(1701.167, 2010.833]",33,-0.549206931455088,1.5846092474506672
ridge,"(2010.833, 2378.25]",33,-0.39901342294284436,1.324291140127413
ridge,"(2378.25, 2813.333]",33,-0.21479151961644932,1.032648858393262
ridge,"(2813.333, 3341.5]",33,0.09016329513480792,1.1826858048381452
ridge,"(3341.5, 6328.5]",33,0.9818675411061262,1.0163464449441866
ridge,max_abs_bin_mean,198,0.9818675411061262,
gradient_boosted_trees,"(1002.499, 1701.167]",33,-0.22509695022426646,1.3865548558800862
gradient_boosted_trees,"(1701.167, 2010.833]",33,-0.47028501783864735,1.236721035540031
gradient_boosted_trees,"(2010.833, 2378.25]",33,-0.029878694432952962,1.1171149462502181
gradient_boosted_trees,"(2378.25, 2813.333]",33,0.0022900217830375664,0.9532700795851202
gradient_boosted_trees,"(2813.333, 3341.5]",33,0.05520481307835575,1.1640980674796104
gradient_boosted_trees,"(3341.5, 6328.5]",33,0.6677658276344737,0.9052738793805719
gradient_boosted_trees,max_abs_bin_mean,198,0.6677658276344737,
mlp_waveform,"(1002.499, 1701.167]",33,0.12926305116560724,1.2584351739415354
mlp_waveform,"(1701.167, 2010.833]",33,-0.5020506429996533,1.0952680120586296
mlp_waveform,"(2010.833, 2378.25]",33,-0.24986541436105414,1.022060730418309
mlp_waveform,"(2378.25, 2813.333]",33,-0.001651409860140475,1.0370677983706962
mlp_waveform,"(2813.333, 3341.5]",33,-0.0557981539593515,1.323359569544288
mlp_waveform,"(3341.5, 6328.5]",33,0.6801025700145923,0.9413051935198617
mlp_waveform,max_abs_bin_mean,198,0.6801025700145923,
cnn_waveform,"(1002.499, 1701.167]",33,0.47596564897516763,1.3912469177819926
cnn_waveform,"(1701.167, 2010.833]",33,0.04989831753218836,1.0362570588133744
cnn_waveform,"(2010.833, 2378.25]",33,-0.33985251127398725,1.0406928875454242
cnn_waveform,"(2378.25, 2813.333]",33,-0.304139019824569,0.8116623528665238
cnn_waveform,"(2813.333, 3341.5]",33,0.07388108113416943,0.8160667136714231
cnn_waveform,"(3341.5, 6328.5]",33,0.044246483457030625,0.9199955373850379
cnn_waveform,max_abs_bin_mean,198,0.47596564897516763,
physics_residual_net,"(1002.499, 1701.167]",33,0.13400289966736179,1.2693289861870583
physics_residual_net,"(1701.167, 2010.833]",33,-0.5891187713145385,0.9891225563670802
physics_residual_net,"(2010.833, 2378.25]",33,-0.1929075124822637,1.0764349182923456
physics_residual_net,"(2378.25, 2813.333]",33,0.06644048478092657,0.970244276189557
physics_residual_net,"(2813.333, 3341.5]",33,0.03419535451684781,1.4799951093661374
physics_residual_net,"(3341.5, 6328.5]",33,0.5473875448316661,1.1078178959214593
physics_residual_net,max_abs_bin_mean,198,0.5891187713145385,
