method,event_id,pair,residual_ns
template_phase_base,65:683541:2987:258581,B6-B8,0.7239377071844544
template_phase_base,65:684986:4332:260026,B6-B8,-0.2760622928155527
template_phase_base,65:685607:4902:260647,B6-B8,0.7239377071844544
template_phase_base,65:685699:4986:260739,B6-B8,0.7239377071844615
template_phase_base,65:686924:6129:261964,B6-B8,-2.2760622928155527
template_phase_base,65:686970:6168:262010,B6-B8,0.7239377071844615
analytic_polynomial_timewalk,65:649169:4127:224209,B4-B6,2.096158167914453
analytic_polynomial_timewalk,65:650188:5110:225228,B4-B6,1.937870261007177
analytic_polynomial_timewalk,65:651341:6223:226381,B4-B6,3.6146185616580837
analytic_polynomial_timewalk,65:651631:6497:226671,B4-B6,3.9019053068407956
analytic_polynomial_timewalk,65:651940:6301:226980,B4-B6,4.657057039996538
analytic_polynomial_timewalk,65:652313:6632:227353,B4-B6,2.033448300581739
analytic_polynomial_timewalk,65:652429:6743:227469,B4-B6,2.144508588400285
analytic_polynomial_timewalk,65:652612:6917:227652,B4-B6,1.9602166772875478
analytic_polynomial_timewalk,65:653933:8154:228973,B4-B6,2.1026596432003686
analytic_polynomial_timewalk,65:654599:8777:229639,B4-B6,2.0201860149946853
analytic_polynomial_timewalk,65:655258:9389:230298,B4-B6,2.5735486414757816
analytic_polynomial_timewalk,65:655456:9566:230496,B4-B6,-0.4024781057413307
analytic_polynomial_timewalk,65:655741:9833:230781,B4-B6,0.1274850269462604
analytic_polynomial_timewalk,65:656000:10073:231040,B4-B6,3.093367336402629
analytic_polynomial_timewalk,65:656462:10504:231502,B4-B6,1.8078937053122104
analytic_polynomial_timewalk,65:657071:11070:232111,B4-B6,1.5592884020759996
analytic_polynomial_timewalk,65:657490:11464:232530,B4-B6,-0.9096574941277424
analytic_polynomial_timewalk,65:657989:11933:233029,B4-B6,0.5558473279343445
analytic_polynomial_timewalk,65:659709:13573:234749,B4-B6,-1.3751360607719505
analytic_polynomial_timewalk,65:660196:14017:235236,B4-B6,1.6918525788070582
analytic_polynomial_timewalk,65:660531:14330:235571,B4-B6,2.1015178769097105
analytic_polynomial_timewalk,65:660663:14455:235703,B4-B6,4.148590035047178
analytic_polynomial_timewalk,65:660707:14496:235747,B4-B6,5.349392097078415
analytic_polynomial_timewalk,65:662155:15837:237195,B4-B6,1.5633251134934198
analytic_polynomial_timewalk,65:662241:15919:237281,B4-B6,3.898257562180561
analytic_polynomial_timewalk,65:662756:13:237796,B4-B6,2.0622986324029284
analytic_polynomial_timewalk,65:663859:1029:238899,B4-B6,2.5963509256330113
analytic_polynomial_timewalk,65:664527:1645:239567,B4-B6,1.0993995026563468
analytic_polynomial_timewalk,65:664907:1997:239947,B4-B6,1.6939373012249206
analytic_polynomial_timewalk,65:665457:2517:240497,B4-B6,2.1092118854177
analytic_polynomial_timewalk,65:665509:2565:240549,B4-B6,2.035461690337499
analytic_polynomial_timewalk,65:665719:2794:240759,B4-B6,2.116178283419295
analytic_polynomial_timewalk,65:665814:2882:240854,B4-B6,0.10142106444121879
analytic_polynomial_timewalk,65:666623:3632:241663,B4-B6,-0.2966531801482901
analytic_polynomial_timewalk,65:667306:4269:242346,B4-B6,2.538774859477705
analytic_polynomial_timewalk,65:668204:5102:243244,B4-B6,2.6114488759262073
analytic_polynomial_timewalk,65:669147:5974:244187,B4-B6,0.5880944566722519
analytic_polynomial_timewalk,65:669345:6160:244385,B4-B6,2.001718220289348
analytic_polynomial_timewalk,65:669500:6304:244540,B4-B6,2.6092663894965398
analytic_polynomial_timewalk,65:669969:6739:245009,B4-B6,2.0287371057772248
analytic_polynomial_timewalk,65:670593:7322:245633,B4-B6,1.8794430501226742
analytic_polynomial_timewalk,65:670708:7428:245748,B4-B6,2.1147282357464903
analytic_polynomial_timewalk,65:671756:8387:246796,B4-B6,2.198848436199519
analytic_polynomial_timewalk,65:672239:8844:247279,B4-B6,0.6835211416900151
analytic_polynomial_timewalk,65:672890:9443:247930,B4-B6,1.9484526283366108
analytic_polynomial_timewalk,65:674077:10572:249117,B4-B6,2.620977773814971
analytic_polynomial_timewalk,65:674255:10737:249295,B4-B6,1.7066067563768499
analytic_polynomial_timewalk,65:674617:11075:249657,B4-B6,2.981295121466111
analytic_polynomial_timewalk,65:674684:11140:249724,B4-B6,1.4292522435601782
analytic_polynomial_timewalk,65:676071:12428:251111,B4-B6,2.99146909258868
analytic_polynomial_timewalk,65:677190:13474:252230,B4-B6,-0.560148964482913
analytic_polynomial_timewalk,65:678223:14427:253263,B4-B6,2.047366508475193
analytic_polynomial_timewalk,65:678819:14965:253859,B4-B6,2.04292212765224
analytic_polynomial_timewalk,65:680356:6:255396,B4-B6,4.6508085929893355
analytic_polynomial_timewalk,65:681202:802:256242,B4-B6,2.080852048431545
analytic_polynomial_timewalk,65:682284:1811:257324,B4-B6,1.8586208954203016
analytic_polynomial_timewalk,65:682664:2163:257704,B4-B6,3.2068998041815675
analytic_polynomial_timewalk,65:682740:2234:257780,B4-B6,2.134672282397375
analytic_polynomial_timewalk,65:682871:2356:257911,B4-B6,1.0162242983406742
analytic_polynomial_timewalk,65:683474:2923:258514,B4-B6,2.0913427557745905
analytic_polynomial_timewalk,65:683541:2987:258581,B4-B6,2.105420150419093
analytic_polynomial_timewalk,65:684986:4332:260026,B4-B6,0.6117342072423853
analytic_polynomial_timewalk,65:685607:4902:260647,B4-B6,2.2513440173924835
analytic_polynomial_timewalk,65:685699:4986:260739,B4-B6,2.6814885666936163
analytic_polynomial_timewalk,65:686924:6129:261964,B4-B6,7.419417260704719
analytic_polynomial_timewalk,65:686970:6168:262010,B4-B6,2.16960935031085
analytic_polynomial_timewalk,65:649169:4127:224209,B4-B8,2.0593565752135703
analytic_polynomial_timewalk,65:650188:5110:225228,B4-B8,2.192223269854722
analytic_polynomial_timewalk,65:651341:6223:226381,B4-B8,2.6288359916478683
analytic_polynomial_timewalk,65:651631:6497:226671,B4-B8,0.8613933606095401
analytic_polynomial_timewalk,65:651940:6301:226980,B4-B8,4.10258766912326
analytic_polynomial_timewalk,65:652313:6632:227353,B4-B8,0.1796333540671995
analytic_polynomial_timewalk,65:652429:6743:227469,B4-B8,2.080831238181915
analytic_polynomial_timewalk,65:652612:6917:227652,B4-B8,1.5455079861467311
analytic_polynomial_timewalk,65:653933:8154:228973,B4-B8,1.8809528177865502
analytic_polynomial_timewalk,65:654599:8777:229639,B4-B8,3.1712822035747905
analytic_polynomial_timewalk,65:655258:9389:230298,B4-B8,2.558035534224203
analytic_polynomial_timewalk,65:655456:9566:230496,B4-B8,0.6173230457800472
analytic_polynomial_timewalk,65:655741:9833:230781,B4-B8,0.4319121452289565
analytic_polynomial_timewalk,65:656000:10073:231040,B4-B8,2.574626352667991
analytic_polynomial_timewalk,65:656462:10504:231502,B4-B8,1.8962686533897255
analytic_polynomial_timewalk,65:657071:11070:232111,B4-B8,-0.9599980282044953
analytic_polynomial_timewalk,65:657490:11464:232530,B4-B8,0.1536818954047945
analytic_polynomial_timewalk,65:657989:11933:233029,B4-B8,-0.6450413588999595
analytic_polynomial_timewalk,65:659709:13573:234749,B4-B8,-0.818055548063441
analytic_polynomial_timewalk,65:660196:14017:235236,B4-B8,1.1808123019604366
analytic_polynomial_timewalk,65:660531:14330:235571,B4-B8,2.093450081203727
analytic_polynomial_timewalk,65:660663:14455:235703,B4-B8,2.984184745295458
analytic_polynomial_timewalk,65:660707:14496:235747,B4-B8,5.628472366055469
analytic_polynomial_timewalk,65:662155:15837:237195,B4-B8,0.8423056375553344
analytic_polynomial_timewalk,65:662241:15919:237281,B4-B8,1.1776460818744496
analytic_polynomial_timewalk,65:662756:13:237796,B4-B8,1.933383710874665
analytic_polynomial_timewalk,65:663859:1029:238899,B4-B8,1.7355740989041237
analytic_polynomial_timewalk,65:664527:1645:239567,B4-B8,2.5663600591675646
analytic_polynomial_timewalk,65:664907:1997:239947,B4-B8,1.930997703306403
analytic_polynomial_timewalk,65:665457:2517:240497,B4-B8,2.166764253525649
analytic_polynomial_timewalk,65:665509:2565:240549,B4-B8,1.4299682605730908
analytic_polynomial_timewalk,65:665719:2794:240759,B4-B8,-0.20051168815377451
analytic_polynomial_timewalk,65:665814:2882:240854,B4-B8,0.04645428356866432
analytic_polynomial_timewalk,65:666623:3632:241663,B4-B8,-0.6431563176646264
analytic_polynomial_timewalk,65:667306:4269:242346,B4-B8,0.051105205020476774
analytic_polynomial_timewalk,65:668204:5102:243244,B4-B8,2.3762313124706864
analytic_polynomial_timewalk,65:669147:5974:244187,B4-B8,1.3126506383532188
analytic_polynomial_timewalk,65:669345:6160:244385,B4-B8,2.2838553981288214
analytic_polynomial_timewalk,65:669500:6304:244540,B4-B8,2.4925922796847786
