candidate,alpha,fold,sigma68_ns,n_pair_residuals,n_features,model,learning_rate,max_iter,l2,hidden,weight_decay,pred_sigma_median_ns,channels
,0.01,1,1.4877425397124084,3534,,ridge,,,,,,,
,0.01,2,1.3953310535737473,4710,,ridge,,,,,,,
,0.01,-1,1.3854591944360777,0,,ridge,,,,,,,
,0.1,0,1.2699467606433745,3018,,ridge,,,,,,,
,0.1,1,1.4777988626237022,3534,,ridge,,,,,,,
,0.1,2,1.3883078864086587,4710,,ridge,,,,,,,
,0.1,-1,1.378684503225245,0,,ridge,,,,,,,
,1.0,0,1.2774511914057403,3018,,ridge,,,,,,,
,1.0,1,1.4738613780236192,3534,,ridge,,,,,,,
,1.0,2,1.362898239031492,4710,,ridge,,,,,,,
,1.0,-1,1.3714036028202836,0,,ridge,,,,,,,
,10.0,0,1.2660730854243418,3018,,ridge,,,,,,,
,10.0,1,1.4633477582216896,3534,,ridge,,,,,,,
,10.0,2,1.3598162822689437,4710,,ridge,,,,,,,
,10.0,-1,1.3630790419716583,0,,ridge,,,,,,,
,100.0,0,1.2177464123628057,3018,,ridge,,,,,,,
,100.0,1,1.4238238665257237,3534,,ridge,,,,,,,
,100.0,2,1.348609049487879,4710,,ridge,,,,,,,
,100.0,-1,1.3300597761254693,0,,ridge,,,,,,,
,,0,1.114426354591744,3018,,gradient_boosted_trees,0.03,120.0,0.0,,,,
,,1,1.1936422755927112,3534,,gradient_boosted_trees,0.03,120.0,0.0,,,,
,,2,1.1465497898849828,4710,,gradient_boosted_trees,0.03,120.0,0.0,,,,
,,-1,1.1515394733564792,0,,gradient_boosted_trees,0.03,120.0,0.0,,,,
,,0,1.1177526200745176,3018,,gradient_boosted_trees,0.03,120.0,0.1,,,,
,,1,1.199861282925776,3534,,gradient_boosted_trees,0.03,120.0,0.1,,,,
,,2,1.1453719625254557,4710,,gradient_boosted_trees,0.03,120.0,0.1,,,,
,,-1,1.1543286218419164,0,,gradient_boosted_trees,0.03,120.0,0.1,,,,
,,0,1.0896176525915462,3018,,gradient_boosted_trees,0.03,220.0,0.0,,,,
,,1,1.2301000068499806,3534,,gradient_boosted_trees,0.03,220.0,0.0,,,,
,,2,1.1648096512066304,4710,,gradient_boosted_trees,0.03,220.0,0.0,,,,
,,-1,1.1615091035493859,0,,gradient_boosted_trees,0.03,220.0,0.0,,,,
,,0,1.0845014735289469,3018,,gradient_boosted_trees,0.03,220.0,0.1,,,,
,,1,1.2164789942734828,3534,,gradient_boosted_trees,0.03,220.0,0.1,,,,
,,2,1.1664361063722255,4710,,gradient_boosted_trees,0.03,220.0,0.1,,,,
,,-1,1.155805524724885,0,,gradient_boosted_trees,0.03,220.0,0.1,,,,
,,0,1.113518395278023,3018,,gradient_boosted_trees,0.06,120.0,0.0,,,,
,,1,1.2518759000190274,3534,,gradient_boosted_trees,0.06,120.0,0.0,,,,
,,2,1.1744819562322009,4710,,gradient_boosted_trees,0.06,120.0,0.0,,,,
,,-1,1.1799587505097504,0,,gradient_boosted_trees,0.06,120.0,0.0,,,,
,,0,1.0869202068184707,3018,,gradient_boosted_trees,0.06,120.0,0.1,,,,
,,1,1.2376730799190354,3534,,gradient_boosted_trees,0.06,120.0,0.1,,,,
,,2,1.1829445543645487,4710,,gradient_boosted_trees,0.06,120.0,0.1,,,,
,,-1,1.1691792803673515,0,,gradient_boosted_trees,0.06,120.0,0.1,,,,
,,0,1.1213386021613916,3018,,gradient_boosted_trees,0.06,220.0,0.0,,,,
,,1,1.318894250816086,3534,,gradient_boosted_trees,0.06,220.0,0.0,,,,
,,2,1.190921781795058,4710,,gradient_boosted_trees,0.06,220.0,0.0,,,,
,,-1,1.2103848782575117,0,,gradient_boosted_trees,0.06,220.0,0.0,,,,
,,0,1.1106087513035026,3018,,gradient_boosted_trees,0.06,220.0,0.1,,,,
,,1,1.3035501237364984,3534,,gradient_boosted_trees,0.06,220.0,0.1,,,,
,,2,1.2074941948154958,4710,,gradient_boosted_trees,0.06,220.0,0.1,,,,
,,-1,1.2072176899518323,0,,gradient_boosted_trees,0.06,220.0,0.1,,,,
,,0,1.0802281855832498,3018,,mlp_waveform,,,,16.0,0.001,1.501140296459198,
,,1,1.5075655655006082,3534,,mlp_waveform,,,,16.0,0.001,1.5882289409637451,
,,2,1.305019935489652,4710,,mlp_waveform,,,,16.0,0.001,1.655977725982666,
,,-1,1.2976045621911698,0,,mlp_waveform,,,,16.0,0.001,,
,,0,1.0826880564481733,3018,,mlp_waveform,,,,16.0,0.01,1.4975174069404602,
,,1,1.508069905751318,3534,,mlp_waveform,,,,16.0,0.01,1.58825021982193,
,,2,1.3176185048949012,4710,,mlp_waveform,,,,16.0,0.01,1.5877785682678223,
,,-1,1.302792155698131,0,,mlp_waveform,,,,16.0,0.01,,
,,0,1.1890477229811982,3018,,mlp_waveform,,,,32.0,0.001,1.474890112876892,
,,1,1.2630190126017053,3534,,mlp_waveform,,,,32.0,0.001,1.4260047674179077,
,,2,1.2587988203902833,4710,,mlp_waveform,,,,32.0,0.001,1.519923210144043,
,,-1,1.2369551853243956,0,,mlp_waveform,,,,32.0,0.001,,
,,0,1.1874608928702193,3018,,mlp_waveform,,,,32.0,0.01,1.4757282137870789,
,,1,1.263409919525391,3534,,mlp_waveform,,,,32.0,0.01,1.4258931875228882,
,,2,1.2584584113838913,4710,,mlp_waveform,,,,32.0,0.01,1.5199820399284363,
,,-1,1.2364430745931674,0,,mlp_waveform,,,,32.0,0.01,,
,,0,1.1699670185573436,3018,,cnn_waveform,,,,,0.001,2.04312002658844,4.0
,,1,1.217999418183946,3534,,cnn_waveform,,,,,0.001,2.30828857421875,4.0
,,2,1.125379436907525,4710,,cnn_waveform,,,,,0.001,2.2366260290145874,4.0
,,-1,1.1711152912162717,0,,cnn_waveform,,,,,0.001,,4.0
,,0,1.172160475474578,3018,,cnn_waveform,,,,,0.01,2.0449575185775757,4.0
,,1,1.2198353284820036,3534,,cnn_waveform,,,,,0.01,2.3070567846298218,4.0
,,2,1.1265939044526558,4710,,cnn_waveform,,,,,0.01,2.2369731664657593,4.0
,,-1,1.1728632361364124,0,,cnn_waveform,,,,,0.01,,4.0
,,0,1.1918654377557596,3018,,cnn_waveform,,,,,0.001,2.0022525787353516,8.0
,,1,1.0459511523438567,3534,,cnn_waveform,,,,,0.001,2.090135097503662,8.0
,,2,1.0704887736130329,4710,,cnn_waveform,,,,,0.001,2.0065871477127075,8.0
,,-1,1.1027684545708831,0,,cnn_waveform,,,,,0.001,,8.0
,,0,1.1936078864304036,3018,,cnn_waveform,,,,,0.01,2.002685785293579,8.0
,,1,1.0462764381927254,3534,,cnn_waveform,,,,,0.01,2.089852213859558,8.0
,,2,1.07062006353182,4710,,cnn_waveform,,,,,0.01,2.007448673248291,8.0
,,-1,1.1035014627183164,0,,cnn_waveform,,,,,0.01,,8.0
,,0,1.2224969432734119,3018,,physics_residual_net,,,,12.0,0.001,,
,,1,1.2646476808166476,3534,,physics_residual_net,,,,12.0,0.001,,
,,2,1.2958454348349737,4710,,physics_residual_net,,,,12.0,0.001,,
,,-1,1.2609966863083444,0,,physics_residual_net,,,,12.0,0.001,,
,,0,1.223108003137042,3018,,physics_residual_net,,,,12.0,0.01,,
,,1,1.2648301259995933,3534,,physics_residual_net,,,,12.0,0.01,,
,,2,1.2953352546585584,4710,,physics_residual_net,,,,12.0,0.01,,
,,-1,1.2610911279317312,0,,physics_residual_net,,,,12.0,0.01,,
,,0,1.1926245601040102,3018,,physics_residual_net,,,,24.0,0.001,,
,,1,1.2610158972848942,3534,,physics_residual_net,,,,24.0,0.001,,
,,2,1.271003987131783,4710,,physics_residual_net,,,,24.0,0.001,,
,,-1,1.2415481481735624,0,,physics_residual_net,,,,24.0,0.001,,
,,0,1.1958084110803369,3018,,physics_residual_net,,,,24.0,0.01,,
,,1,1.2594957131794402,3534,,physics_residual_net,,,,24.0,0.01,,
,,2,1.270669268594427,4710,,physics_residual_net,,,,24.0,0.01,,
,,-1,1.2419911309514013,0,,physics_residual_net,,,,24.0,0.01,,
