run,event_index,eventno,evt,group,depth_idx,multiplicity
31,210,391600,5110,sample_i_calib,0,1
31,211,391601,5111,sample_i_calib,0,1
31,212,391602,5112,sample_i_calib,0,1
31,213,391603,5113,sample_i_calib,0,1
31,214,391604,5114,sample_i_calib,0,1
31,216,391606,5116,sample_i_calib,0,1
31,217,391607,5117,sample_i_calib,0,1
31,219,391609,5119,sample_i_calib,0,1
31,220,391610,5120,sample_i_calib,0,1
31,221,391611,5121,sample_i_calib,0,1
31,222,391612,5122,sample_i_calib,0,1
31,224,391614,5124,sample_i_calib,0,1
31,230,391620,5130,sample_i_calib,0,1
31,231,391621,5131,sample_i_calib,0,1
31,232,391622,5132,sample_i_calib,0,1
31,233,391623,5133,sample_i_calib,0,1
31,234,391624,5134,sample_i_calib,0,1
31,235,391625,5135,sample_i_calib,0,1
31,237,391627,5137,sample_i_calib,0,1
31,238,391628,5138,sample_i_calib,0,1
31,240,391630,5140,sample_i_calib,0,1
31,241,391631,5141,sample_i_calib,0,1
31,242,391632,5142,sample_i_calib,0,1
31,243,391633,5143,sample_i_calib,0,1
31,244,391634,5144,sample_i_calib,0,1
31,245,391635,5145,sample_i_calib,0,1
31,246,391636,5146,sample_i_calib,0,1
31,247,391637,5147,sample_i_calib,0,1
31,248,391638,5148,sample_i_calib,0,1
31,249,391639,5149,sample_i_calib,1,2
31,253,391643,5152,sample_i_calib,0,1
31,254,391644,5153,sample_i_calib,0,1
31,255,391645,5154,sample_i_calib,0,1
31,258,391648,5157,sample_i_calib,0,1
31,259,391649,5158,sample_i_calib,0,1
31,263,391653,5162,sample_i_calib,0,1
31,264,391654,5163,sample_i_calib,0,1
31,266,391656,5165,sample_i_calib,0,1
31,268,391658,5167,sample_i_calib,0,1
31,270,391660,5169,sample_i_calib,0,1
31,271,391661,5170,sample_i_calib,0,1
31,272,391662,5171,sample_i_calib,0,1
31,274,391664,5173,sample_i_calib,0,1
31,277,391667,5175,sample_i_calib,0,1
31,280,391670,5178,sample_i_calib,0,1
31,281,391671,5179,sample_i_calib,0,1
