path,exists,type,readable,rows_sampled,columns,truth_like_columns,join_key_columns,joinable_to_real_s15_rows,verdict
reports/0000000004.1.g4truth/event_pid_edep_summary.csv,True,.csv,True,29.0,"['pdg', 'particle', 'n_events', 'mean_total_edep_MeV', 'median_total_edep_MeV', 'q16_total_edep_MeV', 'q84_total_edep_MeV', 'mean_n_hits']","['pdg', 'particle']",[],False,not event-key joinable to real S15 rows
reports/0000000004.1.g4truth/input_sha256.csv,True,.csv,True,6.0,"['file', 'sha256', 'role']",[],[],False,not event-key joinable to real S15 rows
reports/0000000004.1.g4truth/manifest.json,True,.json,True,,"['ticket_id', 'study', 'worker', 'git_commit_at_execution', 'git_branch', 'environment', 'random_seeds', 'input_sha256_csv', 'commands', 'appended_ticket_id', 'large_uncommitted_outputs', 'output_sha256']",[],[],False,not event-key joinable to real S15 rows
reports/0000000004.1.g4truth/primary_truth_summary.csv,True,.csv,True,2.0,"['pdg', 'particle', 'n_primary_particles', 'mean_ekin_MeV', 'q05_ekin_MeV', 'q16_ekin_MeV', 'median_ekin_MeV', 'q84_ekin_MeV', 'q95_ekin_MeV']","['pdg', 'particle', 'n_primary_particles']",[],False,not event-key joinable to real S15 rows
reports/0000000004.1.g4truth/result.json,True,.json,True,,"['ticket_id', 'study', 'worker', 'title', 'reproduced', 'repro_tolerance', 'raw_root_reproduction', 'build', 'provided_macro', 'patched_smoke_run', 'traditional', 'ml', 'winner', 'validation', 'critic', 'next_tickets']",[],[],False,not event-key joinable to real S15 rows
reports/0000000004.1.g4truth/run_feasibility.csv,True,.csv,True,2.0,"['log', 'exists', 'command_not_found', 'processed_events', 'elapsed', 'max_rss_kb', 'run_kind', 'root_output', 'root_exists']",[],[],False,not event-key joinable to real S15 rows
reports/0000000004.1.g4truth/sci_bar_layer_pid_summary.csv,True,.csv,True,51.0,"['pdg', 'particle', 'layer1', 'layer2', 'n_hits', 'n_events', 'sum_edep_MeV', 'mean_hit_edep_MeV', 'median_hit_edep_MeV']","['pdg', 'particle']",[],False,not event-key joinable to real S15 rows
reports/0000000004.1.g4truth/sci_bar_pid_summary.csv,True,.csv,True,29.0,"['pdg', 'particle', 'n_hits', 'n_events', 'sum_edep_MeV', 'mean_hit_edep_MeV', 'median_hit_edep_MeV', 'mean_time_ns']","['pdg', 'particle']",[],False,not event-key joinable to real S15 rows
reports/0000000004.1.g4truth/truth_schema.csv,True,.csv,True,62.0,"['branch', 'detector_group', 'typename', 'interpretation']",[],[],False,not event-key joinable to real S15 rows
reports/0000000004.1.g4truth/validation_metadata.json,True,.json,True,,"['root_file', 'root_sha256', 'tree', 'tree_entries', 'n_branches', 'n_sci_bar_hits', 'seed', 'n_boot']",[],[],False,not event-key joinable to real S15 rows
reports/0000000004.1.g4truth/validation_metrics.csv,True,.csv,True,7.0,"['metric', 'value', 'ci_low', 'ci_high', 'interpretation']",[],[],False,not event-key joinable to real S15 rows
reports/0000000008.1.usesim/energy_scale_validation.csv,True,.csv,True,3.0,"['check', 'reference', 'metric', 'value', 'ci_low', 'ci_high', 'sim_truth_comparison']",['sim_truth_comparison'],[],False,not event-key joinable to real S15 rows
reports/0000000008.1.usesim/input_sha256.csv,True,.csv,True,2.0,"['path', 'sha256', 'role']",[],[],False,not event-key joinable to real S15 rows
reports/0000000008.1.usesim/layer_mapping_truth.csv,True,.csv,True,8.0,"['layer', 'mapped_stave', 'n_hits', 'n_hits_gt10MeV', 'mean_edep_MeV', 'median_edep_MeV', 'p_frac', 'd_frac', 'mean_z_mm']",[],[],False,not event-key joinable to real S15 rows
reports/0000000008.1.usesim/leakage_checks.csv,True,.csv,True,3.0,"['check', 'value', 'pass', 'interpretation']",[],[],False,not event-key joinable to real S15 rows
reports/0000000008.1.usesim/manifest.json,True,.json,True,,"['ticket_id', 'worker', 'created_utc', 'git_commit', 'python', 'platform', 'packages', 'random_seed', 'commands', 'input_sha256', 'output_sha256']",[],[],False,not event-key joinable to real S15 rows
reports/0000000008.1.usesim/pid_benchmark.csv,True,.csv,True,6.0,"['method', 'n', 'positives', 'purity_precision', 'efficiency_recall', 'balanced_accuracy', 'brier', 'f1', 'roc_auc', 'average_precision', 'purity_precision_ci_low', 'purity_precision_ci_high', 'efficiency_recall_ci_low', 'efficiency_recall_ci_high', 'balanced_accuracy_ci_low', 'balanced_accuracy_ci_high', 'f1_ci_low', 'f1_ci_high', 'roc_auc_ci_low', 'roc_auc_ci_high', 'average_precision_ci_low', 'average_precision_ci_high', 'brier_ci_low', 'brier_ci_high']",[],[],False,not event-key joinable to real S15 rows
