method,sigma68_ns,ci_low,ci_high,delta_vs_cfd20_ns,delta_ci_low,delta_ci_high,n_events,n_pair_residuals,full_rms_ns,heldout_run
strict CFD20,3.1884502039551736,3.0524470327988222,3.3032694318711755,0.0,0.0,0.0,408,1224,5.677758856597346,pooled
strict traditional hand-shape ridge,1.96163950630188,1.8654828884782806,2.0627225278738894,-1.2268106976532935,-1.3975931597535567,-1.062381305884986,408,1224,4.4592300527119315,pooled
strict ML AE latent ridge,1.9650565696573254,1.8912473339568805,2.0537449481723336,-1.2233936342978482,-1.4022909293061512,-1.0507995799141525,408,1224,4.199419205517002,pooled
strict ML event-shuffled target,2.055532479166984,1.9485859824531746,2.1729067179754367,-1.1329177247881899,-1.3177424368866661,-0.9545362962942544,408,1224,4.535989578040153,pooled
