method,sigma68_ns,ci_low,ci_high,delta_vs_cfd20_ns,delta_ci_low,delta_ci_high,n_events,n_pair_residuals,full_rms_ns,target_variant,diagnosis_family,feature_family,variant_seed,heldout_run
CFD20,3.304723900556563,3.033258184310791,3.5643923084624034,0.0,0.0,0.0,68,204,3.9307744540837968,CFD20,baseline,timing,-1,42
traditional_nominal,1.7037579941749572,1.5425315458959934,1.961763717282655,-1.600965906381606,-1.9473174561752942,-1.1719414004921171,68,204,2.6578544662144528,traditional_nominal,nominal,traditional,-1,42
ml_ae_nominal,1.8204277180433284,1.4703997490829233,2.0761421320973046,-1.4842961825132348,-1.9407974265873995,-1.0576829891071882,68,204,2.5032662055346324,ml_ae_nominal,nominal,ml_ae,-1,42
traditional_event_block_shuffle,1.7665800658512076,1.6252804262003862,2.1402621749103647,-1.5381438347053555,-1.8137796940496156,-0.9744688633505239,68,204,2.528764250517221,traditional_event_block_shuffle,event/block composition,traditional,186291227,42
ml_ae_event_block_shuffle,1.7975980026102043,1.6314691345736385,2.166966935065389,-1.5071258979463589,-1.816201862323099,-0.9820967515010373,68,204,2.540988646371414,ml_ae_event_block_shuffle,event/block composition,ml_ae,186291227,42
traditional_event_block_shuffle,1.8077709882259423,1.5858188060423744,2.1645529450029106,-1.4969529123306209,-1.857258798985235,-1.0274278168485123,68,204,2.5209728514038305,traditional_event_block_shuffle,event/block composition,traditional,186291324,42
ml_ae_event_block_shuffle,1.802674274387358,1.5945212613096795,2.171502187515793,-1.5020496261692051,-1.8476085226701564,-1.0520564538010346,68,204,2.529670749059058,ml_ae_event_block_shuffle,event/block composition,ml_ae,186291324,42
traditional_event_block_shuffle,1.8054819255495105,1.6401365620560695,2.1654837140813465,-1.4992419750070527,-1.8042831537916575,-1.0209510564415143,68,204,2.5297251590664653,traditional_event_block_shuffle,event/block composition,traditional,186291421,42
ml_ae_event_block_shuffle,1.7997907550907113,1.635913521129731,2.165095095463096,-1.5049331454658519,-1.817754225743411,-1.0470996022327195,68,204,2.5342531876550205,ml_ae_event_block_shuffle,event/block composition,ml_ae,186291421,42
traditional_event_block_shuffle,1.7754033104801201,1.6027175027155869,2.17817016007149,-1.529320590076443,-1.854077371560034,-1.0518177827528674,68,204,2.537273587804422,traditional_event_block_shuffle,event/block composition,traditional,186291518,42
ml_ae_event_block_shuffle,1.8098165634918175,1.6148805090420286,2.179008546106517,-1.4949073370647457,-1.856080062296925,-1.0456746181256196,68,204,2.5374815467070735,ml_ae_event_block_shuffle,event/block composition,ml_ae,186291518,42
traditional_event_block_shuffle,1.8299451738595995,1.6239289846785097,2.114750525684773,-1.4747787266969636,-1.8605415343588512,-1.03762935639918,68,204,2.528381310654642,traditional_event_block_shuffle,event/block composition,traditional,186291615,42
ml_ae_event_block_shuffle,1.8026395970010776,1.5945491865277326,2.1555888575047835,-1.5020843035554856,-1.9015476032056131,-1.0158229147433053,68,204,2.5247129658956475,ml_ae_event_block_shuffle,event/block composition,ml_ae,186291615,42
traditional_event_block_shuffle,1.790420327839854,1.6293281494754084,2.1381024356611076,-1.5143035727167091,-1.837108572237271,-1.0583072343579534,68,204,2.52760242270796,traditional_event_block_shuffle,event/block composition,traditional,186291712,42
ml_ae_event_block_shuffle,1.8011131196641943,1.6053910670117142,2.1160957111955896,-1.5036107808923689,-1.8504617534128556,-1.0673603056556598,68,204,2.5210050722470982,ml_ae_event_block_shuffle,event/block composition,ml_ae,186291712,42
traditional_event_block_shuffle,1.7866174196624736,1.607282815157679,2.107653538814931,-1.5181064808940896,-1.8292298418148734,-1.0636494003137142,68,204,2.5381868629084177,traditional_event_block_shuffle,event/block composition,traditional,186291809,42
ml_ae_event_block_shuffle,1.8082279710745797,1.6215235951775901,2.117468891094684,-1.4964959294819835,-1.826714828257079,-1.064687915188933,68,204,2.530231632974872,ml_ae_event_block_shuffle,event/block composition,ml_ae,186291809,42
traditional_row_shuffle,3.3667662672786394,3.142272438621661,3.6752113952480663,0.06204236672207619,-0.026251211210315116,0.21627620570012876,68,204,3.908923735602097,traditional_row_shuffle,global row target distribution,traditional,186291219,42
ml_ae_row_shuffle,3.365772281529903,3.1262860159545527,3.6566742540255297,0.06104838097333998,0.019891965220123358,0.11444405967230188,68,204,3.9155079636648433,ml_ae_row_shuffle,global row target distribution,ml_ae,186291219,42
traditional_row_shuffle,3.400765703784822,3.095985623950139,3.611699529015642,0.09604180322825862,-0.03243508317703429,0.196485143176085,68,204,3.974906983851138,traditional_row_shuffle,global row target distribution,traditional,186291316,42
ml_ae_row_shuffle,3.328286588303745,3.1047301638548173,3.596933389746578,0.023562687747181954,-0.015360918684429167,0.12047552916308014,68,204,3.9805099524035197,ml_ae_row_shuffle,global row target distribution,ml_ae,186291316,42
traditional_row_shuffle,3.352311301556824,3.1563898401290316,3.665426649262605,0.04758740100026104,-0.005522131639503091,0.23036112806805878,68,204,3.8485077343598557,traditional_row_shuffle,global row target distribution,traditional,186291413,42
ml_ae_row_shuffle,3.3987961322069165,3.094422892703948,3.6486127050386994,0.09407223165035328,0.010480948660053925,0.15477579014255274,68,204,3.837496226468889,ml_ae_row_shuffle,global row target distribution,ml_ae,186291413,42
traditional_row_shuffle,3.1956362094530437,3.012355747175828,3.4427763128508757,-0.10908769110351946,-0.19147690445455404,-0.011938832984714473,68,204,3.9149529187129417,traditional_row_shuffle,global row target distribution,traditional,186291510,42
ml_ae_row_shuffle,3.2137318109394966,3.0145867813304923,3.4784117364665095,-0.09099208961706662,-0.1611557685866241,0.0049413809301421694,68,204,3.921590499873826,ml_ae_row_shuffle,global row target distribution,ml_ae,186291510,42
traditional_row_shuffle,3.176997390650211,2.9749908206055413,3.4741342003592273,-0.12772650990635226,-0.1703419623726497,0.003615813319387281,68,204,3.990385074666676,traditional_row_shuffle,global row target distribution,traditional,186291607,42
ml_ae_row_shuffle,3.1876329533755743,2.9959404500817866,3.4820695964969404,-0.11709094718098889,-0.1275406311315574,-0.015150879120482474,68,204,3.9957815958427974,ml_ae_row_shuffle,global row target distribution,ml_ae,186291607,42
traditional_row_shuffle,3.213358823228626,2.9983774332842614,3.473702966130966,-0.09136507732793708,-0.14476674039667628,-0.018236031549516887,68,204,3.8046241362646636,traditional_row_shuffle,global row target distribution,traditional,186291704,42
