target_variant,diagnosis_family,feature_family,seed_repeats,sigma68_median_ns,sigma68_min_ns,sigma68_max_ns,delta_vs_cfd20_median_ns,n_pair_residuals_total
CFD20,baseline,timing,1,3.1668086478149546,3.1668086478149546,3.1668086478149546,0.0,1224
traditional_nominal,nominal,traditional,1,1.9484549658602595,1.9484549658602595,1.9484549658602595,-1.2183536819546947,1224
ml_ae_nominal,nominal,ml_ae,1,1.952433535492819,1.952433535492819,1.952433535492819,-1.2143751123221354,1224
traditional_event_block_shuffle,event/block composition,traditional,28,2.0131738183925325,1.7665800658512076,2.1645854311132373,-1.098027133461238,8568
ml_ae_event_block_shuffle,event/block composition,ml_ae,28,2.0229235415203153,1.7975980026102043,2.1376804929971716,-1.1073476519980987,8568
traditional_row_shuffle,global row target distribution,traditional,28,3.1991413501121855,2.8857877637147924,3.400765703784822,0.025983329610230532,8568
ml_ae_row_shuffle,global row target distribution,ml_ae,28,3.209793589761052,2.8521717171645147,3.398796132206917,0.02209772077292227,8568
traditional_same_event_permute,same-event target algebra,traditional,28,3.1771039328724155,2.9206614220786102,3.4426480087709415,-0.0008965925787423057,8568
ml_ae_same_event_permute,same-event target algebra,ml_ae,28,3.1873992311498522,2.8655800537937877,3.400781376463773,-0.0055877909724433295,8568
traditional_same_event_sign_flip,same-event target algebra,traditional,28,3.1701063256905186,2.8941518136286706,3.4532956351140145,0.02528751852799127,8568
ml_ae_same_event_sign_flip,same-event target algebra,ml_ae,28,3.2166584669081106,2.904097929149863,3.4334297594241754,0.016188141780048237,8568
traditional_per_run_stave_shuffle,train-run/stave nuisance,traditional,28,2.017264388796093,1.7787465044581903,2.168603432493211,-1.113363591781707,8568
ml_ae_per_run_stave_shuffle,train-run/stave nuisance,ml_ae,28,2.009990490591007,1.7850556518411644,2.154151112485677,-1.0963307276757777,8568
traditional_per_run_stave_amp_shuffle,train-run/stave/amplitude nuisance,traditional,28,2.001138091080189,1.7498474776744841,2.100332030683755,-1.1730910021141179,8568
ml_ae_per_run_stave_amp_shuffle,train-run/stave/amplitude nuisance,ml_ae,28,2.003071755673738,1.7868686145544057,2.1045158854293833,-1.1912825304546941,8568
traditional_train_run_stave_mean,train-run-only target,traditional,4,2.0171657715466633,1.8038364256000505,2.1326329223811626,-1.111905727505382,1224
ml_ae_train_run_stave_mean,train-run-only target,ml_ae,4,2.017271786847787,1.8073661690950393,2.1290955536067484,-1.1117997122042582,1224
