target_variant,diagnosis_family,feature_family,variant_seed,heldout_run,sigma68_ns,ci_low,ci_high,delta_vs_cfd20_ns,n_pair_residuals,n_events
CFD20,baseline,timing,-1,pooled,3.1668086478149546,2.917241028349848,3.417892038728429,0.0,1224,408
traditional_nominal,nominal,traditional,-1,pooled,1.9484549658602595,1.7556318609957435,2.1222960753130042,-1.2183536819546947,1224,408
ml_ae_nominal,nominal,ml_ae,-1,pooled,1.952433535492819,1.741359680927955,2.1200235910048884,-1.2143751123221354,1224,408
traditional_event_block_shuffle,event/block composition,traditional,186291227,pooled,1.7665800658512076,1.6252804262003862,2.1402621749103647,-1.5381438347053558,204,68
ml_ae_event_block_shuffle,event/block composition,ml_ae,186291227,pooled,1.7975980026102043,1.6314691345736385,2.166966935065389,-1.5071258979463589,204,68
traditional_event_block_shuffle,event/block composition,traditional,186291324,pooled,1.8077709882259423,1.5858188060423744,2.1645529450029106,-1.4969529123306209,204,68
ml_ae_event_block_shuffle,event/block composition,ml_ae,186291324,pooled,1.802674274387358,1.5945212613096793,2.171502187515793,-1.5020496261692051,204,68
traditional_event_block_shuffle,event/block composition,traditional,186291421,pooled,1.8054819255495105,1.6401365620560693,2.1654837140813465,-1.4992419750070527,204,68
ml_ae_event_block_shuffle,event/block composition,ml_ae,186291421,pooled,1.7997907550907113,1.6359135211297309,2.165095095463096,-1.5049331454658517,204,68
traditional_event_block_shuffle,event/block composition,traditional,186291518,pooled,1.7754033104801203,1.6027175027155869,2.17817016007149,-1.529320590076443,204,68
ml_ae_event_block_shuffle,event/block composition,ml_ae,186291518,pooled,1.8098165634918175,1.6148805090420286,2.179008546106517,-1.4949073370647457,204,68
traditional_event_block_shuffle,event/block composition,traditional,186291615,pooled,1.8299451738595998,1.6239289846785097,2.114750525684773,-1.4747787266969636,204,68
ml_ae_event_block_shuffle,event/block composition,ml_ae,186291615,pooled,1.8026395970010776,1.5945491865277326,2.1555888575047835,-1.5020843035554856,204,68
traditional_event_block_shuffle,event/block composition,traditional,186291712,pooled,1.790420327839854,1.6293281494754084,2.1381024356611076,-1.5143035727167091,204,68
ml_ae_event_block_shuffle,event/block composition,ml_ae,186291712,pooled,1.8011131196641943,1.6053910670117142,2.1160957111955896,-1.5036107808923689,204,68
traditional_event_block_shuffle,event/block composition,traditional,186291809,pooled,1.7866174196624736,1.607282815157679,2.107653538814931,-1.5181064808940896,204,68
ml_ae_event_block_shuffle,event/block composition,ml_ae,186291809,pooled,1.8082279710745797,1.6215235951775901,2.117468891094684,-1.4964959294819835,204,68
traditional_row_shuffle,global row target distribution,traditional,186291219,pooled,3.366766267278639,3.1422724386216614,3.6752113952480663,0.06204236672207619,204,68
ml_ae_row_shuffle,global row target distribution,ml_ae,186291219,pooled,3.365772281529903,3.1262860159545527,3.65667425402553,0.06104838097333998,204,68
traditional_row_shuffle,global row target distribution,traditional,186291316,pooled,3.400765703784822,3.095985623950139,3.611699529015642,0.09604180322825862,204,68
ml_ae_row_shuffle,global row target distribution,ml_ae,186291316,pooled,3.328286588303745,3.1047301638548173,3.596933389746578,0.023562687747181954,204,68
traditional_row_shuffle,global row target distribution,traditional,186291413,pooled,3.352311301556824,3.1563898401290316,3.665426649262605,0.04758740100026104,204,68
ml_ae_row_shuffle,global row target distribution,ml_ae,186291413,pooled,3.398796132206917,3.094422892703948,3.6486127050386994,0.09407223165035329,204,68
traditional_row_shuffle,global row target distribution,traditional,186291510,pooled,3.1956362094530437,3.012355747175828,3.4427763128508757,-0.10908769110351944,204,68
ml_ae_row_shuffle,global row target distribution,ml_ae,186291510,pooled,3.2137318109394966,3.0145867813304923,3.4784117364665095,-0.09099208961706662,204,68
traditional_row_shuffle,global row target distribution,traditional,186291607,pooled,3.176997390650211,2.9749908206055413,3.4741342003592273,-0.12772650990635226,204,68
ml_ae_row_shuffle,global row target distribution,ml_ae,186291607,pooled,3.1876329533755743,2.9959404500817866,3.4820695964969404,-0.11709094718098889,204,68
traditional_row_shuffle,global row target distribution,traditional,186291704,pooled,3.213358823228626,2.998377433284262,3.473702966130966,-0.09136507732793707,204,68
ml_ae_row_shuffle,global row target distribution,ml_ae,186291704,pooled,3.220996549794862,2.9905405876721605,3.462264096373689,-0.08372735076170112,204,68
traditional_row_shuffle,global row target distribution,traditional,186291801,pooled,3.2602543369108434,3.04635752136378,3.5443953326861544,-0.04446956364572019,204,68
ml_ae_row_shuffle,global row target distribution,ml_ae,186291801,pooled,3.309996717983801,3.046361795612859,3.5578192276365366,0.005272817427237619,204,68
traditional_same_event_permute,same-event target algebra,traditional,186291226,pooled,3.3093663639947803,3.0292793366496413,3.528051872088339,0.00464246343821717,204,68
ml_ae_same_event_permute,same-event target algebra,ml_ae,186291226,pooled,3.2702661719173176,3.061477166812183,3.4905610720864124,-0.034457728639245566,204,68
traditional_same_event_permute,same-event target algebra,traditional,186291323,pooled,3.2333001777837076,2.895806066826141,3.3546111926156135,-0.07142372277285558,204,68
ml_ae_same_event_permute,same-event target algebra,ml_ae,186291323,pooled,3.212259402424094,2.9784464910077517,3.463077474845801,-0.09246449813246915,204,68
traditional_same_event_permute,same-event target algebra,traditional,186291420,pooled,3.1465427126908296,2.932373973247319,3.406935039277186,-0.15818118786573357,204,68
ml_ae_same_event_permute,same-event target algebra,ml_ae,186291420,pooled,3.170400628335774,2.971570293729558,3.434884003422218,-0.1343232722207892,204,68
traditional_same_event_permute,same-event target algebra,traditional,186291517,pooled,3.21020392453298,3.0016383560225366,3.47442678005021,-0.09451997602358375,204,68
ml_ae_same_event_permute,same-event target algebra,ml_ae,186291517,pooled,3.2203540078923085,3.018389149508708,3.502301887611243,-0.08436989266425467,204,68
traditional_same_event_permute,same-event target algebra,traditional,186291614,pooled,3.311960070011618,3.0629323372044572,3.6417917765175614,0.007236169455054675,204,68
ml_ae_same_event_permute,same-event target algebra,ml_ae,186291614,pooled,3.283846678435802,3.0806029591709363,3.515745000768446,-0.020877222120761374,204,68
traditional_same_event_permute,same-event target algebra,traditional,186291711,pooled,3.3292128682509046,3.1408716187004004,3.575395782185717,0.02448896769434139,204,68
ml_ae_same_event_permute,same-event target algebra,ml_ae,186291711,pooled,3.400781376463773,3.1602401673151146,3.6535430018018586,0.0960574759072097,204,68
traditional_same_event_permute,same-event target algebra,traditional,186291808,pooled,3.3026081471317985,3.13104781821383,3.558741986057994,-0.002115753424764666,204,68
ml_ae_same_event_permute,same-event target algebra,ml_ae,186291808,pooled,3.304254577495156,3.053603164695042,3.55597603364987,-0.0004693230614072341,204,68
traditional_same_event_sign_flip,same-event target algebra,traditional,186291228,pooled,3.350200006254016,3.0909228227741123,3.6110112373756125,0.04547610569745286,204,68
ml_ae_same_event_sign_flip,same-event target algebra,ml_ae,186291228,pooled,3.3396921636052457,3.0730715883902597,3.584853463745952,0.03496826304868206,204,68
traditional_same_event_sign_flip,same-event target algebra,traditional,186291325,pooled,3.404870019257063,3.144545240934158,3.697734334496781,0.10014611870049972,204,68
ml_ae_same_event_sign_flip,same-event target algebra,ml_ae,186291325,pooled,3.4334297594241754,3.1687961862341134,3.733242851662199,0.1287058588676122,204,68
traditional_same_event_sign_flip,same-event target algebra,traditional,186291422,pooled,3.1563158809877323,2.907950838202612,3.369720945072114,-0.14840801956883043,204,68
ml_ae_same_event_sign_flip,same-event target algebra,ml_ae,186291422,pooled,3.2008796755224456,2.969846751564469,3.4467323552556333,-0.1038442250341176,204,68
traditional_same_event_sign_flip,same-event target algebra,traditional,186291519,pooled,3.1310433070063595,2.8866762883805634,3.4424547368366816,-0.17368059355020327,204,68
