stave,amp_bin,amp_low_adc,amp_high_adc,support,fallback_global,template_peak_sample,template_area,heldout_run
B2,0,0.0,2060.99999989415,706,False,4,0.21696371846263574,58
B2,1,2060.99999989415,2937.6666668077996,706,False,5,6.784811084755193,58
B2,2,2937.6666668077996,,706,False,7,8.34428814064776,58
B4,0,0.0,1796.9999999002498,665,False,4,-0.08467724192685921,58
B4,1,1796.9999999002498,2542.5000000665,666,False,6,6.597653965484243,58
B4,2,2542.5000000665,,665,False,8,7.911022950145681,58
B6,0,0.0,2238.333333263,704,False,4,4.185441195049849,58
B6,1,2238.333333263,3238.000000211,703,False,4,7.502560929728934,58
B6,2,3238.000000211,,704,False,8,8.786493172122618,58
B8,0,0.0,2419.1666666085,233,False,3,4.103955226588247,58
B8,1,2419.1666666085,3400.3333334264,233,False,4,8.177079620870344,58
B8,2,3400.3333334264,,233,False,4,9.791560558341237,58
B2,0,0.0,2083.83333313045,580,False,4,0.21585346300214037,59
B2,1,2083.83333313045,2944.16666669565,580,False,4,6.82456014970256,59
B2,2,2944.16666669565,,580,False,7,8.216368909432434,59
B4,0,0.0,1834.9999998343997,552,False,4,0.07999207228303484,59
B4,1,1834.9999998343997,2569.0000000276,553,False,6,6.692936220726419,59
B4,2,2569.0000000276,,552,False,8,7.982063775699859,59
B6,0,0.0,2278.4999997109994,578,False,4,4.25432716208805,59
B6,1,2278.4999997109994,3304.5000001156,579,False,4,7.735571218594007,59
B6,2,3304.5000001156,,578,False,8,8.656086323634607,59
B8,0,0.0,2475.4999995988996,191,False,3,4.43761561235521,59
B8,1,2475.4999995988996,3434.50000004775,192,False,4,8.393805149786697,59
B8,2,3434.50000004775,,191,False,4,9.967037009179528,59
B2,0,0.0,2088.1666666379,576,False,4,0.6050093756710027,60
B2,1,2088.1666666379,2960.5000001726003,575,False,6,7.094991899670888,60
B2,2,2960.5000001726003,,576,False,7,8.46908929733078,60
B4,0,0.0,1780.999999811,540,False,4,0.053327141855685434,60
B4,1,1780.999999811,2533.000000054,541,False,6,6.656476088779298,60
B4,2,2533.000000054,,540,False,8,7.931916587239784,60
B6,0,0.0,2182.6666666092997,574,False,4,4.244879982989606,60
B6,1,2182.6666666092997,3163.1666669534993,574,False,4,7.437153911237271,60
B6,2,3163.1666669534993,,574,False,8,8.749001798542293,60
B8,0,0.0,2415.666666592,187,False,4,4.160249492774183,60
B8,1,2415.666666592,3356.6666668159996,187,False,4,8.2987352359322,60
B8,2,3356.6666668159996,,187,False,4,10.308508817211942,60
B2,0,0.0,2011.83333330755,516,False,4,0.2677611572776869,61
B2,1,2011.83333330755,2929.0,515,False,5,6.63382648473704,61
B2,2,2929.0,,517,False,7,8.62019559217825,61
