row_id,heldout_run,template_secondary_fraction,template_residual_improvement,best_stave,best_delay_samples,threshold,threshold_pred
58:392347:10770:3399:raw_clean,58,0.174142305175595,0.20344698215975043,B4,2,0.16,1
58:392347:10770:3399:injected_two_pulse,58,0.2564020999759647,0.41272972319748646,B4,3,0.16,1
58:392858:11249:3908:raw_clean,58,0.08138976948145159,0.039706373114764826,B6,6,0.16,0
58:392858:11249:3908:injected_two_pulse,58,0.08138976948145159,0.039706373114764826,B6,6,0.16,0
58:392996:11382:4044:raw_clean,58,0.0,0.0,,-1,0.16,0
58:392996:11382:4044:injected_two_pulse,58,0.0,0.0,,-1,0.16,0
58:397938:15966:8976:raw_clean,58,0.0,0.0,,-1,0.16,0
58:397938:15966:8976:injected_two_pulse,58,0.0,0.0,,-1,0.16,0
58:398418:42:9453:raw_clean,58,0.45,1.240877042854149,B4,5,0.16,1
58:398418:42:9453:injected_two_pulse,58,0.43887670805548323,1.154531130932127,B6,6,0.16,1
58:400048:1585:11080:raw_clean,58,0.0,0.0,,-1,0.16,0
58:400048:1585:11080:injected_two_pulse,58,0.00041933480556693813,8.397295024054063e-07,B4,6,0.16,0
58:400125:1658:11157:raw_clean,58,0.0,0.0,,-1,0.16,0
58:400125:1658:11157:injected_two_pulse,58,0.1653276862088893,0.1531141179353348,B4,5,0.16,1
58:400389:1911:11420:raw_clean,58,0.027090826444273006,0.0043991127220730925,B6,6,0.16,0
58:400389:1911:11420:injected_two_pulse,58,0.027090826444273006,0.0043991127220730925,B6,6,0.16,0
58:400931:2410:11960:raw_clean,58,0.40087007910188927,0.7657017066271083,B6,6,0.16,1
58:400931:2410:11960:injected_two_pulse,58,0.40087007910188927,0.7657017066271083,B6,6,0.16,1
58:401796:3214:12823:raw_clean,58,0.08009132285534341,0.03056492013405778,B6,6,0.16,0
58:401796:3214:12823:injected_two_pulse,58,0.2063189387212067,0.20314141962123006,B6,5,0.16,1
58:402308:3701:13332:raw_clean,58,0.09273440859711733,0.046172423952820285,B4,6,0.16,0
58:402308:3701:13332:injected_two_pulse,58,0.09273440859711733,0.046172423952820285,B4,6,0.16,0
58:402626:3997:13647:raw_clean,58,0.0,0.0,,-1,0.16,0
58:402626:3997:13647:injected_two_pulse,58,0.0,0.0,,-1,0.16,0
58:404573:5824:15589:raw_clean,58,0.07219720384931777,0.027986050745763436,B4,6,0.16,0
58:404573:5824:15589:injected_two_pulse,58,0.07219720384931777,0.027986050745763436,B4,6,0.16,0
58:404672:5917:15687:raw_clean,58,0.070220668210124,0.026474683508963925,B4,6,0.16,0
58:404672:5917:15687:injected_two_pulse,58,0.173505290850075,0.1616316128872295,B4,6,0.16,1
58:405213:6424:16228:raw_clean,58,0.45,1.2769530213515903,B4,6,0.16,1
58:405213:6424:16228:injected_two_pulse,58,0.45,1.2769530213515903,B4,6,0.16,1
58:406327:7441:17342:raw_clean,58,0.038938937399124435,0.01017210573527022,B4,2,0.16,0
58:406327:7441:17342:injected_two_pulse,58,0.0,0.0,,-1,0.16,0
58:406372:7482:17387:raw_clean,58,0.16039068769259743,0.12285020577449046,B4,6,0.16,1
58:406372:7482:17387:injected_two_pulse,58,0.16039068769259743,0.12285020577449046,B4,6,0.16,1
58:406604:7705:17619:raw_clean,58,0.45,1.5862182587752995,B6,5,0.16,1
58:406604:7705:17619:injected_two_pulse,58,0.45,1.5862182587752995,B6,5,0.16,1
58:407377:8428:18392:raw_clean,58,0.45,2.550680698214011,B6,5,0.16,1
58:407377:8428:18392:injected_two_pulse,58,0.45,2.727933967176338,B4,6,0.16,1
58:409620:10496:20631:raw_clean,58,0.17009163858495333,0.15533409492808115,B4,6,0.16,1
58:409620:10496:20631:injected_two_pulse,58,0.3776217477004607,0.765622798349789,B4,6,0.16,1
58:409671:10543:20681:raw_clean,58,0.40732282892383526,0.9260545072670254,B4,6,0.16,1
58:409671:10543:20681:injected_two_pulse,58,0.4202980849486163,0.9859930858822636,B4,6,0.16,1
58:410177:11017:21186:raw_clean,58,0.2138060549379339,0.21781728069653702,B6,6,0.16,1
58:410177:11017:21186:injected_two_pulse,58,0.2138060549379339,0.21781728069653702,B6,6,0.16,1
58:410450:11283:21459:raw_clean,58,0.0,0.0,,-1,0.16,0
58:410450:11283:21459:injected_two_pulse,58,0.0,0.0,,-1,0.16,0
58:411658:12377:22663:raw_clean,58,0.0,0.0,,-1,0.16,0
58:411658:12377:22663:injected_two_pulse,58,0.0,0.0,,-1,0.16,0
58:412612:13256:23614:raw_clean,58,0.45,1.4533227699648887,B4,5,0.16,1
58:412612:13256:23614:injected_two_pulse,58,0.45,1.4533227699648887,B4,5,0.16,1
58:413675:14293:24677:raw_clean,58,0.0,0.0,,-1,0.16,0
58:413675:14293:24677:injected_two_pulse,58,0.0,0.0,,-1,0.16,0
58:414493:15051:25495:raw_clean,58,0.0,0.0,,-1,0.16,0
58:414493:15051:25495:injected_two_pulse,58,0.0,0.0,,-1,0.16,0
58:414565:15120:25567:raw_clean,58,0.05980169219824069,0.019961170020789506,B4,6,0.16,0
58:414565:15120:25567:injected_two_pulse,58,0.0,0.0,,-1,0.16,0
58:415534:16017:26536:raw_clean,58,0.0,0.0,,-1,0.16,0
58:415534:16017:26536:injected_two_pulse,58,0.0,0.0,,-1,0.16,0
58:417761:1736:28763:raw_clean,58,0.029869598495142424,0.005228480931240214,B4,2,0.16,0
58:417761:1736:28763:injected_two_pulse,58,0.1564649318147467,0.11966553668712737,B6,6,0.16,0
58:418646:2556:29648:raw_clean,58,0.0,0.0,,-1,0.16,0
58:418646:2556:29648:injected_two_pulse,58,0.09080203497238304,0.04879841077680669,B6,4,0.16,0
