n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
500,7,10,0.8544126054446305,0.8683681251905708,0.15937472914192624
400,5,15,0.8224314037930458,0.8419443279103112,0.17362286273218686
300,4,20,0.801860132105232,0.8228018163823982,0.18245704600500343
200,3,30,0.7807297549001136,0.8014448242317387,0.18912505691947407
