dimension,stratum,bin_low,bin_high,bin_mid,n_pair_residuals,n_runs,support_fraction,saturation_fraction,dropout_fraction,anomaly_noncommon_fraction,wide_baseline_fraction,high_q_template_fraction,any_action_band_fraction
amplitude_bin,"amp_adc[1000,1500)",1000.0,1500.0,1250.0,256,7,0.022338568935427575,0.0,0.046875,0.25390625,0.66015625,0.9765625,0.9765625
amplitude_bin,"amp_adc[1500,2500)",1500.0,2500.0,2000.0,3901,7,0.3404013961605585,0.0,0.003845167905665214,0.09920533196616252,0.3742630094847475,0.7541655985644706,0.7582671109971802
amplitude_bin,"amp_adc[2500,4000)",2500.0,4000.0,3250.0,6811,7,0.5943280977312391,0.0,0.0,0.06386727352811629,0.23975921303773307,0.6750844222581118,0.6796358831302305
amplitude_bin,"amp_adc[4000,7000)",4000.0,7000.0,5500.0,492,7,0.04293193717277487,0.032520325203252036,0.0,0.11585365853658537,0.22967479674796748,0.7154471544715447,0.7154471544715447
charge_bin,"charge[1000,4000)",1000.0,4000.0,2500.0,60,7,0.005235602094240838,0.0,0.016666666666666666,1.0,0.05,1.0,1.0
charge_bin,"charge[4000,8000)",4000.0,8000.0,6000.0,285,7,0.024869109947643978,0.0,0.03508771929824561,0.7087719298245614,0.4982456140350877,1.0,1.0
charge_bin,"charge[8000,14000)",8000.0,14000.0,11000.0,1471,7,0.12835951134380455,0.0,0.008837525492861998,0.24201223657375934,0.47926580557443915,0.8721957851801495,0.8749150237933379
charge_bin,"charge[14000,24000)",14000.0,24000.0,19000.0,5990,7,0.5226876090750436,0.0,0.0005008347245409015,0.03923205342237062,0.2601001669449082,0.6606010016694491,0.6657762938230384
charge_bin,"charge[24000,40000)",24000.0,40000.0,32000.0,3624,7,0.3162303664921466,0.0033112582781456954,0.0,0.022902869757174392,0.26158940397350994,0.6972958057395143,0.70060706401766
charge_bin,"charge[40000,80000)",40000.0,80000.0,60000.0,30,6,0.002617801047120419,0.13333333333333333,0.0,0.26666666666666666,0.6333333333333333,1.0,1.0
