dimension,stratum,method,method_label,n,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,coverage68_error,coverage95_error,calibration_ece,calibration_loss,sigma68_ci_low_ns,sigma68_ci_high_ns,pull_width68_ci_low,pull_width68_ci_high,coverage68_ci_low,coverage68_ci_high,coverage95_ci_low,coverage95_ci_high,calibration_loss_ci_low,calibration_loss_ci_high
all,all,cnn1d,1D-CNN residual scale model,11460,1.2350417473466806,1.590679490732974,1.510096991761467,2.420418697948264,0.012914485165794066,1.009827486398175,0.4545375218150087,0.9361256544502617,0.2281519703219913,0.01387434554973821,0.1374878525257426,0.0973354136989118,1.3899072871182936,1.6700883097887498,0.9222336817010458,1.1202486864147931,0.37785903120013664,0.5304977625830822,0.9216656447995389,0.9501299958257282,0.07941797913276549,0.15956251473233396
all,all,gradient_boosted_trees,HistGradientBoosting residual scale model,11460,1.2628787423393077,1.5212649917186951,1.5542951071875146,2.315559803391101,0.015357766143106457,1.045099754589835,0.5027923211169284,0.8697207678883071,0.17989717102007163,0.08027923211169286,0.13075137783115273,0.10900688388818808,1.4049689072572724,1.7834826233168795,0.8849587515042914,1.2463543113345086,0.40728060319412496,0.5904754015865127,0.8004100930108515,0.92081789749149,0.07407265413549653,0.218837006297997
all,all,mlp,MLP residual scale model,11460,1.2684239161242667,1.4721173344323866,1.6447738012513375,2.424531198736336,0.01387434554973822,1.05181909683363,0.5169284467713787,0.8760034904013961,0.1657610453656213,0.07399650959860382,0.12231121064284521,0.1034719656101751,1.5343073750393361,1.7833305138040387,0.9396476546991287,1.162351768725275,0.4472673433090246,0.580574938402036,0.8371830413247578,0.91245011882982,0.06670661601865498,0.17019685504815701
all,all,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,11460,1.2192959705902011,1.5745709315340974,1.503985568351275,2.415318800709231,0.011431064572425828,0.9010218616401986,0.6319371727748692,0.9609947643979058,0.05075231936213087,0.01099476439790581,0.053068251133420785,0.05344836831331472,1.3773029035293658,1.6835747824493226,0.8424099861123406,0.9596197206285288,0.5723794664857048,0.6914729731988024,0.9537123698298622,0.9680852167056626,0.04141975261815986,0.07046327215017092
all,all,ridge,Ridge residual scale model,11460,1.2469281174743705,1.3830260011901565,1.5731825855146495,2.5465901524293555,0.01614310645724258,1.0202372113235316,0.48106457242582895,0.8717277486910995,0.20162491971117108,0.07827225130890048,0.13994858551003578,0.11002074196340975,1.4169458168759455,1.8935200431248072,0.8825102127492422,1.1750039590815349,0.37563965884861406,0.575987449680322,0.7992754880572284,0.9279736412266556,0.0776086335486874,0.21698267184952366
all,all,traditional,S02/S03/S04 atom robust-width baseline,11460,1.244169340772551,1.4947512901245903,1.5510917109777835,2.666988996928635,0.019109947643979056,2.7120725531229497,0.3849912739965096,0.631588132635253,0.2976982181404904,0.3184118673647469,0.3080550427526187,0.6590594203452015,1.3585574790932629,1.9325592503840407,2.4437330055310698,2.9467142060604745,0.3037746844749227,0.43786055965210813,0.5273208244463667,0.6958567488449194,0.5499436811302684,0.7752570534286872
pair,B4-B6,cnn1d,1D-CNN residual scale model,3820,2.2253439710416907,2.1990145069411042,0.9717440806677896,2.0523401058445576,0.011780104712041885,0.2818177313842377,0.3931937172774869,0.9756544502617801,0.2894957748595131,0.02565445026178015,0.16537615968106548,0.29967716335453026,0.8457730897566679,1.0571736106764,0.2488113508912117,0.3044311660528993,0.24578698087035517,0.5301005020396832,0.9639912024765743,0.9886461241505321,0.2546415318860975,0.3520936030924453
pair,B4-B6,gradient_boosted_trees,HistGradientBoosting residual scale model,3820,2.1717858844573388,2.1632582151113553,1.0581085851789407,1.9662386904999611,0.015968586387434557,0.5741541978174732,0.46963350785340313,0.8895287958115183,0.2130559842835969,0.06047120418848162,0.14421123821509685,0.21089605721742555,0.9395481171571164,1.1773764176725603,0.42624018823899257,0.6967654552610316,0.30079190954500856,0.6175619459405212,0.783145248249696,0.9712073366577556,0.17175387921681953,0.2812218710646909
pair,B4-B6,mlp,MLP residual scale model,3820,2.2295922024258332,2.2209152269502432,1.076007378329178,2.107375836461888,0.014136125654450262,0.5558460190376302,0.512303664921466,0.9086387434554973,0.17038582721553408,0.04136125654450262,0.13148224031125708,0.1968458262584159,0.9969359193123559,1.1230080217222334,0.45550988165759904,0.6155577074331677,0.40808641482973257,0.6152427458455161,0.8529404501320024,0.9570261008339713,0.17229726074937346,0.2363279745306124
pair,B4-B6,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,3820,2.2584856860315177,2.1902322316515885,0.8671434813854856,2.0486362292260347,0.01099476439790576,0.24093746542920363,0.6573298429319372,0.9887434554973822,0.02535964920506284,0.03874345549738223,0.06275199319467697,0.2214794081169796,0.771300309151411,0.9195412577880936,0.21876090307289142,0.25501640894402305,0.544067046518898,0.7640533804620133,0.9836043780911553,0.9936875058419072,0.21529849655831423,0.2606175540265793
