layer,hits,hits_gt10MeV,mean_edep_MeV,p_frac,d_frac
0,371089,311247,23.3447089755593,0.4954040674878533,0.39248536065472167
1,288230,245197,20.907364379187054,0.5484508899143046,0.3633070811504701
2,175489,148042,20.535003877146956,0.6921459464695793,0.20136304839619576
3,143580,122023,17.71756402545068,0.7274481125504945,0.189657333890514
4,100797,86361,16.94477199808007,0.895205214440906,0.008026032520809152
5,95953,81368,23.224951481136767,0.8851104186424603,0.005283836878471752
6,69737,58409,22.59389224001373,0.9019458823866814,0.0036279163141517416
7,34565,28013,19.905209765019734,0.8865036887024447,0.004223925936641111
