feature
log_amp
peak_sample
cfd20_sample
area_over_peak
baseline_noise_fraction
norm_tail_area_10plus
norm_tail_positive_area_10plus
norm_late_max_fraction
norm_final_fraction
post_peak_rebound_fraction
post_peak_min_fraction
norm_s00
norm_s01
norm_s02
norm_s03
norm_s04
norm_s05
norm_s06
norm_s07
norm_s08
norm_s09
norm_s10
norm_s11
norm_s12
norm_s13
norm_s14
norm_s15
norm_s16
norm_s17
stave_B2
stave_B4
stave_B6
stave_B8
amplitude_bin_amp_1k_1p5k
amplitude_bin_amp_1p5k_2p5k
amplitude_bin_amp_2p5k_q95
amplitude_bin_amp_top5pct
downstream_topology_downstream_event
downstream_topology_single_upstream
downstream_topology_three_or_more_staves
downstream_topology_two_staves
