heldout_run,n_pulses,traditional_template_live_5pct_ns,train_template_weighted_live_5pct_ns,empirical_mean_live_5pct_ns,empirical_median_live_5pct_ns,traditional_template_live_10pct_ns,train_template_weighted_live_10pct_ns,empirical_mean_live_10pct_ns,empirical_median_live_10pct_ns,traditional_template_live_20pct_ns,train_template_weighted_live_20pct_ns,empirical_mean_live_20pct_ns,empirical_median_live_20pct_ns,traditional_template_live_noise_floor_ns,train_template_weighted_live_noise_floor_ns,empirical_mean_live_noise_floor_ns,empirical_median_live_noise_floor_ns
44,2038,134.79862400157435,137.14783004672975,118.86404668112745,127.72261051785819,119.71824180400847,121.32471004478943,116.44500840831097,126.88224894609067,98.46363686482388,99.02327496572121,110.25266297160839,122.57929380280287,153.44968123603405,156.71763017480038,111.2928984966329,127.4485226630607
45,24333,138.39047174272844,141.46480130880758,120.02028987642888,128.38587047939444,122.6893680247759,124.98196609633276,117.98108385990821,127.74893617021277,100.55990523913702,101.750714651301,112.36689736420273,125.13324708926262,157.79917457629398,161.84001503910034,112.24730668487838,128.05436337625179
46,687,140.39594755006823,139.45965608631343,127.71236331113789,130.65234375,124.5257754243097,123.21823368503408,124.61192662991516,129.64073672806066,102.1580241013822,100.32723448706055,117.59591498508257,127.72362787076685,160.07215714148,159.59615042915271,124.34991789629073,130.46718419195483
47,5276,142.24683698036972,142.88431866583807,127.9031735946975,131.0644892956946,126.05149737576761,126.13478559371028,125.24775282138434,129.62670808262715,103.22544823178038,102.52764462739279,118.56276419363623,128.3567687104486,162.31214944024936,163.63429038514096,124.62038360227893,130.78296850869535
48,14000,137.82936990665596,136.55424916396325,119.2234164393732,127.45411455063922,122.42656081010601,120.83354040645213,116.69127358223045,126.3638050542292,100.71752068022853,98.67644586949723,109.82413072508734,120.44394128242499,156.85993520501404,155.97990651014996,110.84770215365882,127.01912551659711
49,14815,138.7723960009969,138.67522131527912,119.04977123830813,127.57142857142856,123.19633347019185,122.62031337190054,116.53340269291486,126.39363143631435,101.24310633953367,99.99219153778897,109.85031123155811,120.91242937853107,158.01811049319193,158.51246024348555,110.62992648636747,127.13857677902622
50,35217,143.92295024946037,146.19408536404825,129.0175805281847,131.125,126.85994574444646,128.97602910539769,128.38748710739378,130.86174496644296,102.81099160798331,104.70854179613421,126.5977264804238,130.2904073587385,165.04566135340053,167.50818301518942,127.18437497404906,130.93416149068324
51,14740,140.59114839097293,138.34220183066952,127.40180261556368,130.33466835114825,124.10559622654579,122.32032191838309,126.59583246630997,129.95110194601705,100.87051545281204,99.73875047958545,124.36788131298576,129.72957725763,160.996767414421,158.17218888915767,124.45539827363703,129.98458995176594
52,7152,141.93838251190235,144.81033221293083,127.90483571453214,130.55886962577497,125.21984881414237,127.75822744419483,127.0449363856731,130.1932914355222,101.65639901207504,103.72463562318852,124.84694980849189,129.8242603141174,162.6461239379053,165.93058840733943,125.23285584876035,130.33335541175146
53,32200,144.42640276636192,142.07863342732938,128.15595364936226,129.6708469709228,127.43600416469366,125.4944285243524,127.62489774874123,129.61053922754897,103.48938230148771,102.12030452501779,126.10440085433142,129.4940622293329,165.4622428395842,162.60996040463678,126.30253750029415,129.62131744289508
54,30440,147.48146113389117,139.34227990356183,128.39441326877767,129.7050277365309,130.02590368229406,123.1693012118506,127.82838173132689,129.63532058256465,105.42367724224925,100.37476800448552,126.33265242777885,129.5227809449877,169.09157287768238,159.362154091584,126.66543823592603,129.6415175421323
55,17387,139.5062574469719,140.14788367399632,127.03614095074539,130.17754262198707,123.21455937684186,123.84659158376648,126.23611794505145,129.95513666352497,100.25270060346263,100.87121079852247,124.05575330480288,129.73360655737704,159.6678680826194,160.32168638443443,123.9177191413474,129.95601233299075
56,40148,147.15767431607105,140.33626894097378,129.05655664936754,131.91434164688474,129.59650229233844,124.03439631737739,128.36461682671134,131.64853179607277,104.84542047335482,101.05819731630845,126.34359460891723,131.06568590804721,168.89451454191874,160.5125237359429,127.0146118451432,131.71296323841727
57,13833,137.3220421156942,142.2527225214554,118.5531416682215,127.33695652173914,121.99643798642357,125.66583969658687,115.98464604182081,126.08237601569067,100.39621214635426,102.28794137833127,109.31870228413989,120.32224168126095,156.25104764656098,162.7424390748482,110.44427157496614,126.89584799437016
