heldout_run,n_train_fit,n_test,test_positive_rate,pred_positive_mean,auc,average_precision,brier,log_loss
44,50000,2038,0.6310107948969578,0.5948151376904159,0.9954367410079084,0.997068892846418,0.03262845290817201,0.11529004465862741
45,50000,24333,0.657913122097563,0.6285054265480923,0.9975788036576854,0.9984057121489087,0.02333061353721361,0.08274628290419543
46,50000,687,0.6739446870451238,0.656964163052813,0.9971555846960815,0.9984939071661479,0.017257739237758377,0.06484979045000618
47,50000,5276,0.6829037149355572,0.6701756623485782,0.9978426691312396,0.9989979892925895,0.016404905567096832,0.058388131306757025
48,50000,14000,0.5959285714285715,0.5641829895796987,0.9974630665832619,0.9984001825522523,0.02447580993775105,0.08536409380511746
49,50000,14815,0.5999325008437395,0.5697026565281488,0.9967021883561733,0.9972780408934204,0.02457363066109725,0.09095580260157497
50,50000,35217,0.8946247550898714,0.886855637470963,0.9995230962324732,0.9999446196712056,0.006406792421046624,0.022418063618861686
51,50000,14740,0.86078697421981,0.8500923520054823,0.9991543175052666,0.9998640384223048,0.009072134658355947,0.03218774282161722
52,50000,7152,0.8597595078299777,0.8559928268166845,0.9980671094538793,0.9996747307366383,0.009014701189648089,0.03732080643215268
53,50000,32200,0.9040372670807454,0.8976813138423909,0.9993479370182734,0.9999321106601844,0.005966788461266141,0.02287491954385812
54,50000,30440,0.9029566360052562,0.8999599313381031,0.9993792740722414,0.999929451817848,0.004522977511606779,0.016818749873650785
55,50000,17387,0.8596077529188474,0.8476590808320904,0.9989104844078036,0.9998155896499236,0.00983837121081203,0.03674929742236164
56,50000,40148,0.8786489987047923,0.8746875266785701,0.9994508644568908,0.9999256448034828,0.005630449105905117,0.020393931433024485
57,50000,13833,0.5969782404395286,0.5612383063514499,0.9975729799178293,0.9985170105475372,0.025926135293886814,0.09200457462023358
