late_residual_taxon,current_group,downstream_topology,amplitude_bin,run,n_pulses,mean_inflation20_ns,mean_live20_ns,inflated_label_rate,final_sample_censored_rate,mean_positive_residual_area
final_sample_censored_tail,high_20nA,single_upstream,amp_2p5k_q95,56,30619,27.71379805110067,132.53513337246142,0.9997713837813123,1.0,0.7599379941641669
final_sample_censored_tail,high_20nA,single_upstream,amp_2p5k_q95,50,27323,29.37467879697968,132.18424389844108,0.9998536031914504,1.0,0.7813934224177173
final_sample_censored_tail,high_20nA,single_upstream,amp_2p5k_q95,53,27241,27.797009112276378,131.30126761804786,0.9999632906280973,1.0,0.7836119408837731
final_sample_censored_tail,high_20nA,single_upstream,amp_2p5k_q95,54,25762,25.855290137102383,131.3176750814267,0.9997282819656859,1.0,0.7484226823797538
final_sample_censored_tail,high_20nA,single_upstream,amp_2p5k_q95,55,13139,31.839909935464103,131.9396445727407,0.9998477814141107,1.0,0.8081571401968722
final_sample_censored_tail,high_20nA,single_upstream,amp_2p5k_q95,45,12745,29.70929141699533,130.19110211191264,0.9992153785798352,1.0,0.6951459494520134
final_sample_censored_tail,high_20nA,single_upstream,amp_2p5k_q95,51,11041,31.076035279804177,131.89054790686285,0.9998188569875917,1.0,0.7951918868312082
final_sample_censored_tail,high_20nA,single_upstream,amp_2p5k_q95,49,7043,28.35436064418704,129.46063948407638,0.9985801505040466,1.0,0.6591898881430335
final_sample_censored_tail,high_20nA,single_upstream,amp_2p5k_q95,48,6537,29.03525887103698,129.38580377503428,0.9989291724032431,1.0,0.6589190485264738
final_sample_censored_tail,high_20nA,single_upstream,amp_2p5k_q95,57,6445,28.9688103871552,129.20877287841657,0.9979829325058185,1.0,0.65973668961881
final_sample_censored_tail,high_20nA,single_upstream,amp_2p5k_q95,52,5389,30.34999786620801,132.0074496382461,0.9994433104472072,1.0,0.7885912388776517
high_amplitude_late_tail,high_20nA,single_upstream,amp_top5pct,56,3122,28.168067010870313,132.98940233223107,1.0,1.0,0.5819175989107778
final_sample_censored_tail,low_2nA,single_upstream,amp_2p5k_q95,47,2976,28.755993666440514,132.0567068346339,1.0,1.0,0.6806133503366641
high_amplitude_late_tail,high_20nA,single_upstream,amp_top5pct,50,2858,29.522608974447966,132.33217407590936,1.0,1.0,0.5820365279358475
prompt_clean,high_20nA,single_upstream,amp_2p5k_q95,45,2380,-12.352842510096691,88.12896818482061,0.0,0.06218487394957983,0.011157415839834064
