run,group,raw_margin_below_cut_adc_p01,raw_margin_below_cut_adc_p05,raw_margin_below_cut_adc_p50,raw_margin_below_cut_adc_p95,raw_margin_below_cut_adc_p99,median_minus_minimum_adc_p01,median_minus_minimum_adc_p05,median_minus_minimum_adc_p50,median_minus_minimum_adc_p95,median_minus_minimum_adc_p99,sorted_minus_raw_amp_adc_p01,sorted_minus_raw_amp_adc_p05,sorted_minus_raw_amp_adc_p50,sorted_minus_raw_amp_adc_p95,sorted_minus_raw_amp_adc_p99
31,sample_i_calib,15.5,86.0,688.0,955.5,978.5700000000002,536.515,945.15,3230.25,4286.15,5113.840000000002,1.0,3.0,14.0,56.5,3592.0049999999906
32,sample_i_calib,14.0,96.0,682.5,955.0,979.5,602.5,956.5,3261.5,4314.0,5229.5,1.0,2.5,14.0,81.92499999999995,4225.745000000018
33,sample_i_calib,12.200000000000003,104.0,658.5,947.5,969.0,157.80000000000007,747.0,2703.5,4124.0,5269.300000000001,1.0,2.5,13.5,51.44999999999982,347.14000000000306
34,sample_i_calib,16.205,101.12500000000001,653.25,943.8749999999998,972.4750000000001,200.9,806.6,2671.0,4073.699999999999,4894.885,1.0,2.5,13.5,54.0,352.08000000000175
35,sample_i_calib,14.125,112.25,697.5,952.5,976.375,284.875,880.0,3065.75,4188.25,5172.875,1.5,3.0,15.5,68.75,3349.6000000000145
36,sample_i_calib,10.325000000000012,91.625,677.75,947.5,975.925,423.2750000000001,933.25,3179.25,4295.5,5086.9,1.5,3.0,14.5,77.0,3779.58
37,sample_i_calib,15.5,108.97500000000001,684.0,954.0,977.0,431.37,901.9250000000001,3144.75,4259.05,5133.625000000003,1.0,3.0,15.0,136.75,3920.999999999997
39,sample_i_calib,10.05,83.75,685.0,957.0,979.5,288.15000000000003,879.0,3152.5,4310.5,5145.650000000002,1.0,3.0,15.5,80.27499999999998,3604.1500000000024
40,sample_i_calib,13.16,116.60000000000002,690.0,953.1999999999998,975.8399999999999,547.76,871.4000000000001,3073.5,4105.199999999999,4985.5199999999995,1.0,3.0,16.0,126.64999999999986,4141.515000000002
41,sample_i_calib,15.0,96.05000000000001,680.5,951.5,977.595,475.45500000000004,968.5,3139.5,4247.424999999999,4996.57,1.0899999999999999,3.0,15.5,104.24999999999977,3691.24
42,sample_i_calib,22.155,103.35000000000002,681.25,954.0,978.5,476.395,914.0,3149.0,4313.699999999997,5028.07,1.0,3.0,16.5,326.19999999999436,4714.480000000006
44,sample_i_analysis,20.62,85.1,705.5,961.1999999999999,976.88,312.18000000000006,924.1,3054.0,4237.099999999999,5032.78,1.74,3.0,17.0,344.5999999999991,3976.9800000000055
45,sample_i_analysis,17.795,91.87500000000004,674.75,951.5250000000001,976.0,508.08000000000004,926.0,3125.0,4293.05,5174.959999999999,1.5,3.0,15.5,189.1000000000015,4232.660000000002
46,sample_i_analysis,109.06,171.20000000000002,666.5,942.9999999999999,954.7199999999999,687.94,1066.3,3447.0,4386.9,4648.599999999999,1.435,2.5,16.25,61.57499999999995,5162.284999999995
47,sample_i_analysis,6.549999999999998,91.25,721.0,952.75,979.0999999999999,9.799999999999999,926.5,3111.5,4104.0,5045.499999999996,1.5,3.0,14.5,59.0,2462.239999999998
48,sample_i_analysis,25.009999999999998,106.0,679.0,953.95,976.49,486.53,922.2,3095.5,4222.700000000001,5012.2300000000005,1.0,2.575000000000003,16.0,86.12499999999977,4061.510000000004
49,sample_i_analysis,12.0,106.92500000000003,688.5,952.0,976.6149999999998,257.05,909.7750000000001,3114.75,4157.7249999999985,5058.779999999999,1.0,3.0,15.5,99.54999999999973,3861.915000000002
50,sample_i_analysis,11.300000000000002,96.30000000000001,660.5,954.1999999999999,978.0,222.96,797.3,2833.5,4054.7999999999997,4947.759999999982,1.0,3.0,15.5,68.5,4664.939999999939
51,sample_i_analysis,18.83,111.90000000000003,671.25,953.5,974.0,466.3,893.275,3055.0,4297.199999999999,4994.269999999997,1.3650000000000002,3.0,15.5,64.67499999999995,3063.3649999999952
52,sample_i_analysis,14.100000000000001,76.75,641.0,943.25,965.625,595.525,827.625,2985.0,4362.125,5402.475,1.5,3.5,15.5,72.39999999999998,4098.2999999999865
53,sample_i_analysis,13.0,98.40000000000003,673.0,954.8999999999999,978.97,556.29,813.1,2892.5,4039.399999999999,4910.220000000001,1.0,3.0,16.0,60.0,2283.1000000000313
54,sample_i_analysis,27.64,107.5,651.0,949.65,971.43,331.04,771.8,2849.5,4094.0999999999995,4984.809999999997,1.5,3.0,15.0,64.70000000000005,1161.8399999999958
55,sample_i_analysis,14.0,83.80000000000001,675.0,953.0,977.02,298.79,809.4000000000001,2962.0,4192.65,5047.1399999999985,1.165,3.0,15.5,77.17499999999995,3388.5500000000193
56,sample_i_analysis,16.85,110.875,675.0,955.25,979.6500000000001,388.67500000000007,807.75,2915.75,4071.375,4888.925000000001,1.0,3.0,15.0,68.64999999999986,3268.859999999997
57,sample_i_analysis,30.29,114.95,680.0,956.0,978.9200000000001,480.56,920.95,3096.5,4229.5,5048.71,1.5,3.0,16.0,313.4499999999889,4214.094999999999
58,sample_ii_analysis,2.0199999999999996,60.10000000000001,606.0,930.7249999999999,964.235,12.785,670.4250000000001,2386.5,3579.6749999999997,4088.235,1.25,3.0,15.5,59.75,461.75
59,sample_ii_analysis,5.370000000000001,49.35,528.5,921.6499999999999,967.2599999999998,28.240000000000002,693.75,2433.0,3800.5499999999993,4412.839999999998,1.5,3.5,17.0,114.89999999999918,2985.9700000000016
60,sample_ii_analysis,7.5,57.85000000000001,529.0,927.5,969.165,127.01,780.85,2638.0,3944.4750000000004,4644.32,1.1099999999999994,3.0,16.0,78.44999999999993,2408.5400000000286
61,sample_ii_analysis,10.86,58.0,545.5,927.7,966.6400000000001,441.74,763.5,2569.0,3802.6000000000004,4562.780000000001,1.0,3.0,17.0,92.0,2784.424999999972
62,sample_ii_analysis,9.0,48.900000000000006,532.5,927.5,969.04,95.22,758.0,2502.0,3908.5999999999995,4772.759999999999,1.5,3.5,17.0,104.99999999999909,2958.440000000003
63,sample_ii_analysis,5.71,33.0,498.0,917.5,961.79,23.0,613.85,2444.5,3978.2499999999995,4787.219999999999,1.4649999999999999,3.0,16.0,66.67499999999995,1701.1100000000283
64,sample_ii_calib,7.6450000000000005,57.45,531.75,931.55,970.855,49.370000000000005,653.125,2529.0,4051.399999999999,4938.480000000001,1.5,3.0,16.5,71.17499999999995,2177.270000000006
65,sample_ii_analysis,2.49,41.35000000000001,529.0,920.1999999999998,970.52,12.49,513.2,2335.0,4080.7,4751.0,1.5,3.5,16.5,68.0,1483.7000000000025
