bin,mean_prob,frac_positive,n
"(-0.001, 0.1]",1.3479636011754246e-05,9.128614236669247e-05,251955
"(0.1, 0.2]",0.18615429421985924,0.1,10
"(0.2, 0.3]",0.2878596632766819,1.0,1
"(0.3, 0.4]",0.33395744285205026,0.5,8
"(0.4, 0.5]",0.5,0.6666666666666666,3
"(0.5, 0.6]",,,0
"(0.6, 0.7]",0.6461988304093567,0.8333333333333334,24
"(0.7, 0.8]",0.7260204040973715,0.5,2
"(0.8, 0.9]",0.8333333333333334,0.7142857142857143,7
"(0.9, 1.0]",0.9999135679826302,0.9997017373797629,26822
