method,stratum,level,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns,calibration_slope,q_template_mse,failure_rate_abs_gt_5ns
1d_cnn,curvature_energy_bin,curved,1457,-1.2754400298069424,5.989662363193031,8.54224397747745,0.39670555936856555,0.15030885380919698,1.018237190393858,0.335784078166962,0.39670555936856555
compact_waveform_transformer,curvature_energy_bin,curved,1457,-2.0691171080806487,6.195827758016858,8.076178056940215,0.43376801647220314,0.1695264241592313,1.0576802166998855,0.335784078166962,0.43376801647220314
gradient_boosted_trees,curvature_energy_bin,curved,1457,-0.9551210460434723,3.512184237300577,4.839908253681322,0.19011667810569663,0.035003431708991076,1.0055405932012882,0.335784078166962,0.19011667810569663
mlp,curvature_energy_bin,curved,1457,-1.101595421872366,4.219277173679234,5.0401221392169955,0.26492793411118737,0.0425531914893617,1.0009113687673306,0.335784078166962,0.26492793411118737
ridge,curvature_energy_bin,curved,1457,-0.7933209131406738,4.166105604953738,5.224171696823215,0.2477693891557996,0.05147563486616335,0.9959852734397969,0.335784078166962,0.2477693891557996
shape_time_gate_transformer_new,curvature_energy_bin,curved,1457,-1.2818750325582258,6.277209124426448,8.049718565142916,0.4282772820864791,0.16746739876458477,0.9210204312609267,0.335784078166962,0.4282772820864791
traditional_median_template_cfd_timewalk_shape,curvature_energy_bin,curved,1457,0.2800228408499663,1.054646955831693,0.9970018826459217,0.0,0.0,0.9938968391410317,0.335784078166962,0.0
1d_cnn,curvature_energy_bin,moderate,1779,-6.749003477324322e-05,4.703259474471553,6.81153156275427,0.29117481731309725,0.11523327712197864,1.030412138457636,0.11707805994706925,0.29117481731309725
compact_waveform_transformer,curvature_energy_bin,moderate,1779,3.0853788536971507,5.770219455667126,7.345753498393962,0.46655424395727935,0.178752107925801,1.0144496569013879,0.11707805994706925,0.46655424395727935
gradient_boosted_trees,curvature_energy_bin,moderate,1779,-0.5636888195569014,3.5931788905535615,4.755584837507509,0.1697582911748173,0.04328274311410905,1.0109132313425784,0.11707805994706925,0.1697582911748173
mlp,curvature_energy_bin,moderate,1779,-0.816680662290385,3.9034451453690524,4.977015576631452,0.20123664980326025,0.04440697020798201,1.0104762839432302,0.11707805994706925,0.20123664980326025
ridge,curvature_energy_bin,moderate,1779,-0.477922759061439,3.902140657280173,5.017408434157988,0.20460933108487914,0.04215851602023609,1.007947020897736,0.11707805994706925,0.20460933108487914
shape_time_gate_transformer_new,curvature_energy_bin,moderate,1779,-0.7745984532056269,5.189293279725161,6.576267341762433,0.3350196739741428,0.09162450815064643,0.9977376698696843,0.11707805994706925,0.3350196739741428
traditional_median_template_cfd_timewalk_shape,curvature_energy_bin,moderate,1779,0.3087877419573246,0.8716571961991448,0.8459607961218697,0.0,0.0,0.9959808058081494,0.11707805994706925,0.0
1d_cnn,curvature_energy_bin,smooth,1690,-1.6075201951237776,4.8596073775872854,6.446860594065147,0.32189349112426036,0.08579881656804733,1.0594205745682044,0.11800096388036196,0.32189349112426036
compact_waveform_transformer,curvature_energy_bin,smooth,1690,3.911986495789953,5.826066436180946,7.027509456760172,0.4846153846153846,0.1863905325443787,1.0009278501116112,0.11800096388036196,0.4846153846153846
gradient_boosted_trees,curvature_energy_bin,smooth,1690,-1.1265072768197877,3.3608437424186173,4.504522551530316,0.14852071005917158,0.034911242603550295,1.0123504862126926,0.11800096388036196,0.14852071005917158
mlp,curvature_energy_bin,smooth,1690,-1.4640256733175185,3.7444829086807614,4.604024011748451,0.18520710059171597,0.034911242603550295,1.0138520833468097,0.11800096388036196,0.18520710059171597
ridge,curvature_energy_bin,smooth,1690,-0.07021637458367547,3.760281055207402,4.862939502117586,0.18284023668639054,0.03727810650887574,1.014616367740549,0.11800096388036196,0.18284023668639054
shape_time_gate_transformer_new,curvature_energy_bin,smooth,1690,-1.5698231827159903,5.242151790312541,6.454408188333229,0.33550295857988166,0.08816568047337278,1.0697785811486908,0.11800096388036196,0.33550295857988166
traditional_median_template_cfd_timewalk_shape,curvature_energy_bin,smooth,1690,0.1254218440859418,0.9920824149906196,1.0252517056640722,0.0,0.0,0.9965340423642024,0.11800096388036196,0.0
1d_cnn,derivative_onset_bin,nominal,1662,-1.6065311947399294,4.5237000738531785,5.363317818988659,0.28941034897713597,0.05475330926594465,0.9216009274523417,0.039688519294106564,0.28941034897713597
compact_waveform_transformer,derivative_onset_bin,nominal,1662,2.0985564167093007,6.69104017311004,7.036753102768008,0.4789410348977136,0.1510228640192539,1.0296343910991708,0.039688519294106564,0.4789410348977136
gradient_boosted_trees,derivative_onset_bin,nominal,1662,-1.1084510964695333,3.0864927447086377,3.904933622112612,0.14741275571600482,0.018050541516245487,0.9949417371411203,0.039688519294106564,0.14741275571600482
mlp,derivative_onset_bin,nominal,1662,-1.7147435704870022,3.663070866239929,4.296461477767605,0.21179302045728038,0.02045728038507822,0.9990006215554327,0.039688519294106564,0.21179302045728038
ridge,derivative_onset_bin,nominal,1662,-1.2265748488718913,3.7450673986495637,4.468521114567274,0.19434416365824309,0.026474127557160047,1.0484955978507733,0.039688519294106564,0.19434416365824309
shape_time_gate_transformer_new,derivative_onset_bin,nominal,1662,-2.1784418329041157,5.09010301100683,5.803192609150114,0.338748495788207,0.10529482551143202,1.317542145067782,0.039688519294106564,0.338748495788207
traditional_median_template_cfd_timewalk_shape,derivative_onset_bin,nominal,1662,0.3012503972100924,0.9508714082257532,0.9138529899437694,0.0,0.0,0.9946865241476899,0.039688519294106564,0.0
1d_cnn,derivative_onset_bin,sharp,1727,-0.9400491931299406,4.692029059545992,5.74121931526742,0.28836132020845395,0.061378112333526344,0.8441107657049977,0.042367785020976066,0.28836132020845395
compact_waveform_transformer,derivative_onset_bin,sharp,1727,2.6154291927822158,6.59629472768556,6.969225496281072,0.48928778228141284,0.16560509554140126,0.8627083381432581,0.042367785020976066,0.48928778228141284
gradient_boosted_trees,derivative_onset_bin,sharp,1727,-1.1499484162107425,3.0335407233727345,3.908169877913682,0.11986103068905617,0.019687319050376375,0.9941598310605458,0.042367785020976066,0.11986103068905617
mlp,derivative_onset_bin,sharp,1727,-1.6876021639622119,3.713526874112171,4.452283533759609,0.19281991893456862,0.02721482339316734,0.9835379492356766,0.042367785020976066,0.19281991893456862
ridge,derivative_onset_bin,sharp,1727,-0.8283598918784811,3.8774659961518165,4.689708360489266,0.19803126809496235,0.030689056166763172,1.0485745081330817,0.042367785020976066,0.19803126809496235
shape_time_gate_transformer_new,derivative_onset_bin,sharp,1727,-1.5958137266409054,4.901805605606605,6.148377699459623,0.328314997104806,0.07353792704111176,1.1657082278179907,0.042367785020976066,0.328314997104806
traditional_median_template_cfd_timewalk_shape,derivative_onset_bin,sharp,1727,0.3829060638901316,0.9182829603397276,0.9410255057784187,0.0,0.0,0.992427574233664,0.042367785020976066,0.0
1d_cnn,derivative_onset_bin,slow,1537,0.11868915949187198,7.80890387370388,10.16071336570621,0.43005855562784645,0.2420299284320104,1.0691134303640193,0.4930445124885366,0.43005855562784645
compact_waveform_transformer,derivative_onset_bin,slow,1537,1.1504798358775403,6.4114047854498235,9.428134898819081,0.41639557579700714,0.22316200390370852,1.053660935233422,0.4930445124885366,0.41639557579700714
gradient_boosted_trees,derivative_onset_bin,slow,1537,0.048949814461241914,4.135855026678605,6.058535112982246,0.24593363695510737,0.08002602472348731,1.0048176982046466,0.4930445124885366,0.24593363695510737
mlp,derivative_onset_bin,slow,1537,0.23359549024328885,4.048790552587057,5.825813211823535,0.2420299284320104,0.07742355237475602,1.0052858064978545,0.4930445124885366,0.2420299284320104
