method,cluster,n,amplitude_median,tail_fraction_median,pedestal_baseline_median,flat_top_samples_mean,reconstruction_mse_median,timing_abs_error_median_ns,energy_proxy_area_median,pid_inner_high_charge_fraction
1d_cnn,0,967,2951.0,0.9619103428069148,6937.5,1.2068252326783868,0.8589679678299915,3.0949072117732044,12404.0,0.0031023784901758012
1d_cnn,1,3577,3186.5,0.309459153654673,6920.0,1.272295219457646,0.1531913407716325,3.301342445249656,26104.0,0.014816885658372938
1d_cnn,2,335,1728.5,-0.4902001408859238,8475.0,1.1492537313432836,0.4856710270129221,6.718290370051349,2459.0,0.03582089552238806
1d_cnn,3,47,1140.0,-9.438226431338784,10827.0,1.0,25.97740585929886,18.61491873823368,-25143.0,0.0
compact_waveform_transformer,0,928,2905.5,0.966837241233629,6939.75,1.1918103448275863,3.8517615750741765,3.975959138133934,11512.0,0.0010775862068965517
compact_waveform_transformer,1,1366,3566.5,0.23127155467566474,6937.5,1.2320644216691068,0.22046716530623411,3.6373859674036346,31112.0,0.04172767203513909
compact_waveform_transformer,2,306,1587.75,-0.663182860119645,8719.5,1.1176470588235294,2.239329582585147,3.7300807670634697,-68.5,0.0196078431372549
compact_waveform_transformer,3,2326,3031.75,0.3356719476371022,6917.25,1.2979363714531384,0.0788468781739751,5.348208764385922,23808.5,0.0017196904557179708
gradient_boosted_trees,0,913,5323.5,0.3420619062642409,6783.5,1.0525739320920044,1118995.6809961596,2.0527661127260477,46023.0,0.054764512595837894
gradient_boosted_trees,1,71,1154.0,-8.115989515072084,11093.0,1.0,14905531.437070545,2.9695918160182444,-24989.0,0.0
gradient_boosted_trees,2,892,2929.75,0.9704036913824233,6937.5,1.1939461883408071,194985.4276624244,2.8578290755858227,11800.0,0.0011210762331838565
gradient_boosted_trees,3,3050,2809.25,0.2741466603943329,6933.75,1.3288524590163935,748679.4500973407,2.327304115723594,20865.5,0.005573770491803279
mlp,0,898,2922.5,0.9701060958752417,6937.5,1.1959910913140313,201094.4809353167,2.60823941823136,11815.5,0.0011135857461024498
mlp,1,918,5317.75,0.3420181502541181,6786.75,1.0522875816993464,1136222.3198071436,2.7812789926174544,45969.5,0.054466230936819175
mlp,2,71,1154.0,-8.115989515072084,11093.0,1.0,15054167.099367822,3.371320083025175,-24989.0,0.0
mlp,3,3039,2809.0,0.2740060167493292,6933.5,1.3290556103981572,754492.2226815706,2.863107728887289,20863.0,0.005593945376768674
ridge,0,3076,2810.0,0.27587475808347484,6934.0,1.328998699609883,760350.5267511053,2.5805230191659074,20843.5,0.0055266579973992196
ridge,1,71,1154.0,-8.115989515072084,11093.0,1.0,15024391.213529134,3.809977984524594,-24989.0,0.0
ridge,2,907,5359.0,0.3419743942439953,6783.0,1.0529217199558987,1106037.414289207,2.563957319794566,46125.0,0.05512679162072767
ridge,3,872,2941.75,0.971462818960195,6937.5,1.188073394495413,197751.38889655095,2.2189388212417285,11575.0,0.0011467889908256881
shape_time_gate_transformer_new,0,921,2905.5,0.9672784766618546,6940.0,1.1921824104234529,4.184996197955629,3.6994648079664794,11361.0,0.0010857763300760044
shape_time_gate_transformer_new,1,2329,3031.5,0.3364410214835833,6917.5,1.2979819665092314,0.12121363830873268,2.84442328532079,23800.0,0.0017174753112924003
shape_time_gate_transformer_new,2,1370,3566.5,0.23127155467566474,6937.25,1.2313868613138685,0.2968824756247775,5.4678436381275795,31112.0,0.041605839416058395
shape_time_gate_transformer_new,3,306,1587.75,-0.663182860119645,8719.5,1.1176470588235294,3.1984309409450717,8.261071085027396,-68.5,0.0196078431372549
traditional_median_template_cfd_timewalk_shape,0,990,2944.75,0.9605398750327419,6937.25,1.2121212121212122,4.399877825634908,0.7350907160035973,12547.5,0.00202020202020202
traditional_median_template_cfd_timewalk_shape,1,302,1781.75,-0.5338001862875892,8671.75,1.119205298013245,45.69628017243865,0.7852867478622372,1803.5,0.06291390728476821
traditional_median_template_cfd_timewalk_shape,2,58,1136.0,-8.837591537212365,11117.0,1.0,1096.4157751676175,1.077387018039051,-26289.0,0.0
traditional_median_template_cfd_timewalk_shape,3,3576,3174.25,0.30803305313524865,6920.5,1.273489932885906,3.8368717208579133,0.7312222196400466,25995.0,0.013143176733780761
