method,atom,matched_controls,n_cells,n_exposed_weighted,n_control_weighted,delta_abs_frac,delta_abs_frac_ci95,delta_catastrophic_rate,delta_catastrophic_rate_ci95
dropout_injected_integral,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,1.384865978652866,"[1.2906428090240174, 1.5061843662020569]",0.6107934130599599,"[0.5861611854398254, 0.6466362636220251]"
dropout_injected_integral,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.062267794291567424,"[-0.07797476912055207, -0.04173012392221229]",-0.04446229942615984,"[-0.057827024600054774, -0.02785748716083421]"
dropout_injected_integral,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,0.6028428413054071,"[0.48422285515572516, 0.7039890870797161]",0.29346398583122923,"[0.25326195632139376, 0.32666124540787045]"
hgb_waveform_atoms,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,0.04360707307541236,"[0.0361507093752094, 0.05101824744068691]",0.02990529794412469,"[0.0206699438260322, 0.03939545408171789]"
hgb_waveform_atoms,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.0015745435122478013,"[-0.002664743566262797, -0.00036340497152638235]",-0.002341762183486308,"[-0.003265194864504985, -0.0014804577560133781]"
hgb_waveform_atoms,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,0.0456259965047123,"[0.04031307761854833, 0.0499908296732784]",0.04110506419935113,"[0.03171286059183867, 0.047851058434754984]"
integral_logcal,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,2.8547160401364557,"[2.687569450695407, 3.0370060221323056]",0.4821915884751576,"[0.45056379305699706, 0.5235322252850764]"
integral_logcal,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.2600626188658872,"[-0.31977331427586286, -0.1668366123784322]",-0.005987856408434464,"[-0.01835152830474562, 0.003591358708938711]"
integral_logcal,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,3.030937841211839,"[2.680372823766755, 3.4370124638888253]",0.22817615248417883,"[0.19673483435727454, 0.25642967719697785]"
