method,atom,matched_controls,n_cells,n_exposed_weighted,n_control_weighted,delta_abs_frac,delta_abs_frac_ci95,delta_catastrophic_rate,delta_catastrophic_rate_ci95
peak_logcal,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,2.8878856334913623,"[2.7147230299455725, 3.0996478389544917]",0.5575193062066129,"[0.5345861827877111, 0.5900952303944828]"
peak_logcal,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.39042092355794455,"[-0.4815289310321819, -0.27437660289960775]",0.042471941193823345,"[0.021142833905436316, 0.06784109126135822]"
peak_logcal,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,3.895530317214118,"[3.3345966559171702, 4.617321234213269]",0.23708534764007358,"[0.20370358166263416, 0.2507371642914228]"
integral_logcal,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,2.8547160401364557,"[2.7017419412449026, 3.0350421262503615]",0.4821915884751576,"[0.4494874125917065, 0.5241594475327583]"
integral_logcal,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.2600626188658872,"[-0.3197808354393631, -0.17645933967776486]",-0.005987856408434464,"[-0.01695476518560459, 0.005288617435151063]"
integral_logcal,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,3.030937841211839,"[2.655033450720385, 3.4264738800096524]",0.22817615248417883,"[0.19644215001962595, 0.2581813395542458]"
adaptive_template_logcal,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,3.2331384699211085,"[3.1026967139158375, 3.409530637474194]",0.26035215789055394,"[0.22146959796694754, 0.31747162343007385]"
adaptive_template_logcal,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.2449119415458421,"[-0.3069765900442821, -0.1494241887707737]",0.04356131487631855,"[0.02822291483104492, 0.06670176794002156]"
adaptive_template_logcal,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,4.703975329025338,"[4.251686258438311, 5.255987654151751]",0.06875849543927813,"[0.048353684423141516, 0.09730030210280688]"
strong_huber_atoms,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,0.4076311669069579,"[0.36644073752694, 0.42932829385691024]",0.32161821739487223,"[0.3104109243157912, 0.3324151388173261]"
