n_pair_residuals,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,run,method,policy,pair_scope,n_accepted_events,acceptance
414,3.465762583007815,18.759447217305507,0.2028985507246377,58,traditional_explicit_timewalk,train95_b2_atom_abstention,all_six_with_b2,69,0.9583333333333334
207,1.7819383593750004,2.6573603645353887,0.07246376811594203,58,traditional_explicit_timewalk,train95_b2_atom_abstention,downstream_only,69,0.9583333333333334
4392,2.9893389208984407,10.326981450315424,0.13501821493624772,59,traditional_explicit_timewalk,train95_b2_atom_abstention,all_six_with_b2,732,0.9773030707610146
2196,1.7579194885253897,4.187514837440836,0.060109289617486336,59,traditional_explicit_timewalk,train95_b2_atom_abstention,downstream_only,732,0.9773030707610146
4758,2.7877318713378907,8.554518471421812,0.08364859184531316,60,traditional_explicit_timewalk,train95_b2_atom_abstention,all_six_with_b2,793,0.9887780548628429
2379,1.9673210906982423,5.7866792300860865,0.07650273224043716,60,traditional_explicit_timewalk,train95_b2_atom_abstention,downstream_only,793,0.9887780548628429
5532,2.9694823352050785,7.816696270346975,0.09092552422270427,61,traditional_explicit_timewalk,train95_b2_atom_abstention,all_six_with_b2,922,0.9967567567567568
2766,1.9703006332397452,6.53921847273464,0.08170643528561099,61,traditional_explicit_timewalk,train95_b2_atom_abstention,downstream_only,922,0.9967567567567568
4734,2.82815818786621,7.649407534440206,0.08893113645965357,62,traditional_explicit_timewalk,train95_b2_atom_abstention,all_six_with_b2,789,0.9887218045112782
2367,1.8409010394287102,2.5745921177724416,0.05618926911702577,62,traditional_explicit_timewalk,train95_b2_atom_abstention,downstream_only,789,0.9887218045112782
2130,3.1051507263183584,13.939400992681744,0.1704225352112676,63,traditional_explicit_timewalk,train95_b2_atom_abstention,all_six_with_b2,355,0.9726027397260274
1065,1.739952988891601,6.416979363916339,0.07323943661971831,63,traditional_explicit_timewalk,train95_b2_atom_abstention,downstream_only,355,0.9726027397260274
360,2.922184875488289,18.26373101816892,0.16944444444444445,65,traditional_explicit_timewalk,train95_b2_atom_abstention,all_six_with_b2,60,0.9523809523809523
180,1.6448623217773497,2.1509804540177972,0.027777777777777776,65,traditional_explicit_timewalk,train95_b2_atom_abstention,downstream_only,60,0.9523809523809523
414,4.540623550415042,18.981089826680027,0.21980676328502416,58,ridge,train95_b2_atom_abstention,all_six_with_b2,69,0.9583333333333334
207,1.8993197985839776,3.3891730442109487,0.07729468599033816,58,ridge,train95_b2_atom_abstention,downstream_only,69,0.9583333333333334
4392,3.5692130361938466,10.406822687913625,0.15186703096539161,59,ridge,train95_b2_atom_abstention,all_six_with_b2,732,0.9773030707610146
2196,1.9548805099487336,4.250801392118326,0.06739526411657559,59,ridge,train95_b2_atom_abstention,downstream_only,732,0.9773030707610146
4758,3.3662531579589876,8.688647647820998,0.10844892812105927,60,ridge,train95_b2_atom_abstention,all_six_with_b2,793,0.9887780548628429
2379,2.0199082641601556,6.030254819698667,0.08280790248003363,60,ridge,train95_b2_atom_abstention,downstream_only,793,0.9887780548628429
5532,3.591405878906249,7.833731113583114,0.13792480115690528,61,ridge,train95_b2_atom_abstention,all_six_with_b2,922,0.9967567567567568
2766,2.249204635620114,6.563732557674446,0.11749819233550253,61,ridge,train95_b2_atom_abstention,downstream_only,922,0.9967567567567568
4734,3.4102011871337896,7.828898242404221,0.11787072243346007,62,ridge,train95_b2_atom_abstention,all_six_with_b2,789,0.9887218045112782
2367,2.0529477770996105,3.213774633383599,0.06928601605407689,62,ridge,train95_b2_atom_abstention,downstream_only,789,0.9887218045112782
2130,3.785093168334962,13.9969661852314,0.1892018779342723,63,ridge,train95_b2_atom_abstention,all_six_with_b2,355,0.9726027397260274
1065,2.009026916503904,6.613317023895665,0.08544600938967137,63,ridge,train95_b2_atom_abstention,downstream_only,355,0.9726027397260274
360,3.7967700653076184,18.302141602655926,0.18888888888888888,65,ridge,train95_b2_atom_abstention,all_six_with_b2,60,0.9523809523809523
180,2.1473224200439414,2.6724162104737115,0.05555555555555555,65,ridge,train95_b2_atom_abstention,downstream_only,60,0.9523809523809523
414,3.7232543890380874,19.060346095770882,0.21014492753623187,58,hgb,train95_b2_atom_abstention,all_six_with_b2,69,0.9583333333333334
207,2.0045536727905278,3.3319766854262234,0.07729468599033816,58,hgb,train95_b2_atom_abstention,downstream_only,69,0.9583333333333334
4392,2.8249223406982433,10.250720505215428,0.13000910746812386,59,hgb,train95_b2_atom_abstention,all_six_with_b2,732,0.9773030707610146
2196,1.7863692687988284,4.129877470491171,0.050546448087431695,59,hgb,train95_b2_atom_abstention,downstream_only,732,0.9773030707610146
4758,2.546828705444338,8.39145606160908,0.06473308112652375,60,hgb,train95_b2_atom_abstention,all_six_with_b2,793,0.9887780548628429
2379,1.7627796936035138,5.370855352666325,0.04623791509037411,60,hgb,train95_b2_atom_abstention,downstream_only,793,0.9887780548628429
5532,2.820691937561036,7.766860109517278,0.08875632682574114,61,hgb,train95_b2_atom_abstention,all_six_with_b2,922,0.9967567567567568
2766,2.0200727737426725,6.3440679054537945,0.06579898770788142,61,hgb,train95_b2_atom_abstention,downstream_only,922,0.9967567567567568
4734,2.607401199340824,7.601708965760394,0.0777355302070131,62,hgb,train95_b2_atom_abstention,all_six_with_b2,789,0.9887218045112782
2367,1.8569012829589904,2.6141056437841677,0.034643008027038444,62,hgb,train95_b2_atom_abstention,downstream_only,789,0.9887218045112782
