gallery_row_id,neighbor_rank,distance,neighbor_run,neighbor_stave,neighbor_event_index,neighbor_taxon
0,1,1.5138672197184968,59,B8,12088,baseline_excursion
0,2,1.639612204680645,37,B2,6797,baseline_excursion
0,3,1.8275544527875158,39,B2,24465,baseline_excursion
0,4,2.008947077505483,45,B2,21839,baseline_excursion
0,5,2.00948148456448,59,B2,33391,baseline_excursion
0,6,2.447995862204756,41,B2,2907,baseline_excursion
0,7,2.504439063384636,45,B2,29253,baseline_excursion
1,1,0.15672836308309812,45,B2,3332,baseline_excursion
1,2,0.5529306306631174,44,B2,1935,baseline_excursion
1,3,0.630511566603317,48,B2,23585,baseline_excursion
1,4,1.0813052098845177,56,B2,30263,baseline_excursion
1,5,2.3526630349857895,54,B2,22612,unassigned_common
1,6,2.385218973275144,60,B2,19696,baseline_excursion
1,7,2.3930844084161937,53,B2,20772,unassigned_common
2,1,1.0836665305130975,56,B2,30263,baseline_excursion
2,2,1.7831849017669341,45,B2,3332,baseline_excursion
2,3,1.788269015439402,37,B2,26830,baseline_excursion
2,4,1.8499995086441319,48,B2,23585,baseline_excursion
2,5,1.8709390416805471,56,B2,5167,baseline_excursion
2,6,2.2460758903849634,44,B2,1935,baseline_excursion
2,7,2.593215025121143,63,B2,35169,novel_early_pretrigger
3,1,0.374823351908824,39,B2,20461,baseline_excursion
3,2,0.44802837383424315,63,B2,17210,baseline_excursion
3,3,0.5570163661207614,56,B2,38147,baseline_excursion
3,4,0.6859277919592573,31,B2,36579,baseline_excursion
3,5,0.7150502794389272,54,B2,14734,baseline_excursion
3,6,0.7278153669118193,39,B2,4667,baseline_excursion
3,7,0.7392182119073215,37,B2,48623,baseline_excursion
4,1,0.8577219767953483,49,B2,14927,baseline_excursion
4,2,0.9387041411484697,52,B2,4378,baseline_excursion
4,3,0.9503550315810055,59,B2,21450,baseline_excursion
4,4,0.9685794644507639,50,B2,35817,baseline_excursion
4,5,1.0028238879963929,48,B2,19074,baseline_excursion
4,6,2.2696950563066163,39,B2,28340,baseline_excursion
4,7,2.46695978466791,45,B2,31565,unassigned_common
5,1,0.14625892730878326,51,B2,12651,baseline_excursion
5,2,0.1896067085544046,40,B2,13597,baseline_excursion
5,3,0.19396626132019143,47,B2,6397,baseline_excursion
5,4,0.2011648499846096,45,B2,33727,baseline_excursion
5,5,0.484329076821942,35,B2,14824,baseline_excursion
5,6,0.5016390563528627,32,B2,6243,baseline_excursion
5,7,0.5852870807507763,44,B2,4154,baseline_excursion
6,1,0.5163129569031415,61,B2,2938,baseline_excursion
6,2,1.0072457889522244,40,B2,20306,baseline_excursion
6,3,1.9541931645185004,51,B2,17371,baseline_excursion
6,4,2.149558785932586,61,B2,6980,baseline_excursion
6,5,2.165705892791338,60,B2,15335,baseline_excursion
6,6,2.168984247989658,33,B2,21310,baseline_excursion
6,7,2.1855454817952378,61,B2,18331,baseline_excursion
7,1,0.2228878448016529,61,B2,2938,baseline_excursion
7,2,1.5043760973864093,40,B2,20306,baseline_excursion
7,3,1.9391143183290662,51,B2,17371,baseline_excursion
7,4,2.133664586519781,60,B2,15335,baseline_excursion
7,5,2.1526062488143842,61,B2,6980,baseline_excursion
7,6,2.1924359157439373,33,B2,21310,baseline_excursion
7,7,2.194844166121115,61,B2,18331,baseline_excursion
8,1,0.19750415577644662,36,B2,9760,baseline_excursion
8,2,0.301555497977733,37,B2,29142,baseline_excursion
8,3,0.3142026426525669,35,B2,24221,baseline_excursion
8,4,0.33945310322774636,48,B2,26311,baseline_excursion
8,5,0.3652596600529839,61,B2,34666,baseline_excursion
8,6,0.3709383053151037,63,B2,7401,baseline_excursion
8,7,0.3825224800220295,39,B2,8894,baseline_excursion
9,1,0.37024302982893775,50,B4,16243,baseline_excursion
9,2,0.6102438479653358,49,B2,5728,baseline_excursion
9,3,0.6384295971325226,37,B2,49328,baseline_excursion
9,4,0.7046229563781011,50,B2,20250,baseline_excursion
9,5,0.7265514399388964,39,B2,24462,baseline_excursion
9,6,0.7377880366677706,59,B2,19262,baseline_excursion
9,7,0.7413475049725077,44,B2,433,baseline_excursion
10,1,0.37005412146199534,61,B4,32229,novel_early_pretrigger
10,2,0.510619977421886,60,B8,24434,novel_early_pretrigger
10,3,0.528550141840007,59,B2,4421,novel_early_pretrigger
