gallery_row_id,method,run,event_index,eventno,evt,stave,amplitude_adc,taxon,traditional_score,ml_score,q_template_rmse,pca_recon_mse,ae_recon_mse,isolation_anomaly_score,peak_sample,late_fraction,baseline_mad,saturation_count,secondary_peak,post_peak_min,timing_span_dup,normalized_waveform,review_peak_sample,review_peak_value,review_width_half,review_width_035,review_early_fraction,review_late_fraction,review_secondary_peak,review_secondary_sep,review_post_peak_min,review_undershoot_area,review_first4_span,review_last4_mean,review_tail_rise,reviewer_a_label,reviewer_b_label,consensus_label,reviewers_agree,consensus_target_any,p09a_target_any,consensus_curated_any
0,traditional_robust_template,42,31984,799290,14156,B2,9003.0,baseline_excursion,2012.5721,31.232725,0.4394563,0.10213863,0.1661224,0.6440067,5,0.22902526,7341.0,1,0.9603466,0.32033765,5.157401,"[0.96035, -0.81539, -0.81539, 0.81539, 0.80851, 1.0, 0.82295, 0.62635, 0.48695, 0.40275, 0.37721, 0.36266, 0.34755, 0.32245, 0.32034, 0.32067, 0.33389, 0.33444]",5,1.0,6,10,0.2054669317656037,0.22902504249208008,0.960349977016449,5,0.32034000754356384,0.0,1.7757399082183838,0.327335000038147,-0.01311001181602478,baseline_excursion,baseline_excursion,baseline_excursion,True,False,False,True
1,traditional_robust_template,42,25326,792632,7946,B2,9081.5,baseline_excursion,1766.15,16.497889,0.42981544,0.029659119,0.13094012,0.6118094,2,0.2811615,6442.5,1,0.65886694,0.21664923,0.4248755,"[-0.70941, -0.70941, 1.0, 0.70941, 0.65887, 0.59258, 0.52144, 0.4731, 0.41518, 0.38876, 0.34526, 0.42906, 0.44315, 0.44084, 0.41518, 0.387, 0.26158, 0.21665]",2,1.0,5,13,0.22205722459293398,0.2811617106364512,0.6588699817657471,2,0.21664999425411224,0.0,1.7094099521636963,0.3201025128364563,-0.2265000194311142,baseline_excursion,baseline_excursion,baseline_excursion,True,False,False,True
2,traditional_robust_template,42,15089,782391,14806,B2,8639.5,baseline_excursion,1653.3973,16.928087,0.41283575,0.030125298,0.1347822,0.61625713,2,0.29197112,6031.5,1,0.6756757,0.26673996,0.37670445,"[-0.69813, -0.69813, 1.0, 0.69813, 0.67568, 0.64616, 0.58724, 0.54396, 0.46513, 0.45147, 0.45599, 0.51074, 0.51074, 0.5112, 0.47948, 0.41964, 0.30065, 0.26674]",2,1.0,9,14,0.1992420660940633,0.2919705638158837,0.6756799817085266,2,0.26673999428749084,0.0,1.6981300115585327,0.3666274845600128,-0.24399998784065247,baseline_excursion,baseline_excursion,baseline_excursion,True,False,False,True
3,traditional_robust_template,42,1005,768306,1682,B2,7070.5,baseline_excursion,1264.493,45.274616,0.5269346,0.1811834,0.18326767,0.6480088,2,0.16565777,4612.5,1,0.8215119,-1.2820169,0.8281736,"[-0.30472, 0.30472, 1.0, -1.28202, 0.82151, 0.45874, 0.4214, 0.35648, 0.28492, 0.2217, 0.15918, 0.12354, 0.07602, 0.18436, 0.19624, 0.19581, 0.15508, 0.0169]",2,1.0,2,5,0.2621709851192227,0.16565729054222766,0.8215100169181824,2,-1.2820199728012085,-1.2820199728012085,2.282020092010498,0.14100749790668488,-0.05912000313401222,dropout,dropout,dropout,True,False,False,True
4,traditional_robust_template,42,31400,798706,13620,B2,7533.5,baseline_excursion,1199.7439,39.627613,0.44639018,0.15986148,0.15832001,0.62584925,4,0.25144818,4377.5,1,0.99495584,0.22068095,1.0396408,"[-0.16719, 0.16719, 0.99496, -1.06624, 1.0, 0.62103, 0.46174, 0.49652, 0.41793, 0.3886, 0.29077, 0.25572, 0.22068, 0.29263, 0.32621, 0.32289, 0.30006, 0.24882]",4,1.0,3,7,0.17076003747296148,0.25144771227794394,0.9949600100517273,2,0.22067999839782715,0.0,2.061199903488159,0.29949498176574707,0.028140008449554443,baseline_excursion,baseline_excursion,baseline_excursion,True,False,False,True
5,traditional_robust_template,42,33597,800903,15650,B2,7194.5,baseline_excursion,1146.6116,39.1422,0.4426626,0.15763655,0.15787448,0.61587125,2,0.24511443,4183.0,1,0.9074293,-1.1075822,1.0443965,"[-0.16283, 0.16283, 1.0, -1.10758, 0.90743, 0.57579, 0.55299, 0.49086, 0.42859, 0.36952, 0.31225, 0.27361, 0.23052, 0.33199, 0.34367, 0.34089, 0.27389, 0.12656]",2,1.0,4,7,0.17300438634918813,0.24511596629259955,0.9074299931526184,2,-1.1075799465179443,-1.1075799465179443,2.1075799465179443,0.27125248312950134,-0.10395999252796173,dropout,dropout,dropout,True,False,False,True
6,traditional_robust_template,42,7189,774490,7434,B2,10260.5,baseline_excursion,1136.7227,24.481483,0.35551137,0.06899301,0.1519179,0.6116251,1,0.3345411,4147.5,1,0.94093853,-0.40422007,2.9158018,"[0.40422, 1.0, -0.40422, -0.40422, 0.94094, 0.69631, 0.75235, 0.70333, 0.69066, 0.61269, 0.57312, 0.55343, 0.58287, 0.61717, 0.60889, 0.60694, 0.5778, 0.48872]",1,1.0,14,16,0.1348987177199121,0.33454155385645995,0.9409400224685669,3,-0.40422001481056213,-0.8084400296211243,1.4042199850082397,0.5705874562263489,-0.09415000677108765,baseline_excursion,baseline_excursion,baseline_excursion,True,False,False,True
7,traditional_robust_template,42,24541,791847,7211,B2,10066.5,baseline_excursion,1134.5353,25.359816,0.36205313,0.071028866,0.15829132,0.61512774,1,0.3320187,4139.5,1,0.9918542,-0.41121542,3.072713,"[0.41122, 1.0, -0.41122, -0.41122, 0.99185, 0.73884, 0.78861, 0.73705, 0.71142, 0.62946, 0.58993, 0.56917, 0.59489, 0.62499, 0.62112, 0.61625, 0.5942, 0.51115]",1,1.0,15,16,0.13151913481175373,0.3320176870779739,0.9918500185012817,3,-0.4112200140953064,-0.8224400281906128,1.4112200736999512,0.5856800079345703,-0.0837399959564209,baseline_excursion,baseline_excursion,baseline_excursion,True,False,False,True
8,traditional_robust_template,42,22973,790277,5765,B4,3101.0,baseline_excursion,626.4071,6.677193,0.6527002,0.010976592,0.05252426,0.5656374,3,0.05930903,2286.5,1,0.39471138,-0.5272493,18.0,"[-0.85714, -0.61754, 0.61754, 1.0, 0.73138, 0.37923, 0.39471, 0.35569, 0.31699, 0.188, 0.11029, 0.05934, 0.10319, 0.15866, -0.08965, -0.26056, -0.38794, -0.52725]",3,1.0,3,6,0.36637206759975843,0.059308904620903755,0.3947100043296814,3,-0.5272499918937683,-1.2653999328613281,1.857140064239502,-0.31634998321533203,-0.6304399967193604,baseline_excursion,baseline_excursion,baseline_excursion,True,False,False,True
9,traditional_robust_template,42,16250,783552,15902,B4,2267.5,baseline_excursion,583.681,13.4945965,1.2460182,0.0069809994,0.130817,0.67772985,3,0.0,2129.0,1,0.0,-1.5173098,1.6139162,"[-2.14311, -0.87784, 0.87784, 1.0, 0.30937, -0.28423, -0.24146, -0.41213, -0.53693, -0.77552, -0.86505, -0.9806, -0.85623, -0.74333, -0.69305, -0.78479, -1.18523, -1.51731]",3,1.0,2,2,0.8585549493864282,0.0,0.0,3,-1.5173100233078003,-9.875860214233398,3.1431100368499756,-1.0450949668884277,-0.661080002784729,dropout,dropout,dropout,True,False,False,True
