method,n_events,n_pair_residuals,sigma68_ns,ci_low,ci_high,full_rms_ns,delta_vs_s02_ridge_ns,delta_ci_low,delta_ci_high,heldout_run,train_runs
analytic_timewalk,73,219,1.187483364573917,1.1377470129764595,1.4003497490714998,2.677930132419911,-0.7321519855220062,-1.00095989777586,-0.4130917910901964,58,"59,60,61,62,63,65"
mlp_waveform,73,219,1.8878258627999176,1.6006998850087837,2.223930397575926,4.645244942591538,-0.031809487296005,-0.4316826265929452,0.3570138631823198,58,"59,60,61,62,63,65"
s02_ridge_cfd20,73,219,1.919635350095923,1.6563638478659268,2.1718479072573915,4.812564964752962,0.0,0.0,0.0,58,"59,60,61,62,63,65"
template_phase,73,219,2.6428031039120548,2.6428031039120548,2.773172938595049,3.5439701583551564,0.7231677538161319,0.4709551966546632,1.0421315850394972,58,"59,60,61,62,63,65"
cfd20_reference,73,219,3.1154211816170307,2.8854745809273883,3.366499220616201,4.88610097512565,1.1957858315211078,0.7877542019284282,1.6414346523162735,58,"59,60,61,62,63,65"
analytic_timewalk,763,2289,1.4587081303487366,1.3823263577702831,1.5269402087661137,2.5401850621944355,-0.4217793128188174,-0.5298106588464114,-0.327926288246025,59,"58,60,61,62,63,65"
mlp_waveform,763,2289,1.711081397102825,1.643664474560963,1.7774319473234157,5.445497172856238,-0.1694060460647291,-0.2610877148034696,-0.0947426822473539,59,"58,60,61,62,63,65"
s02_ridge_cfd20,763,2289,1.880487443167554,1.8102181877538943,1.9703810934506345,5.38597193652049,0.0,0.0,0.0,59,"58,60,61,62,63,65"
template_phase,763,2289,2.9923192689628024,2.873326745052516,3.123326745052505,3.3427809218901774,1.1118318257952484,0.990801996043724,1.276145067437351,59,"58,60,61,62,63,65"
cfd20_reference,763,2289,3.1903942554003875,3.0952455526638443,3.2678472755090358,5.795444490088401,1.3099068122328337,1.1698853115722228,1.41287006421405,59,"58,60,61,62,63,65"
analytic_timewalk,808,2424,1.3437044382667396,1.282984572703227,1.4076808053247607,2.3952884674835904,-0.4762243091604483,-0.5971564209139579,-0.3724212956936864,60,"58,59,61,62,63,65"
mlp_waveform,808,2424,1.60695557892521,1.533155409970979,1.6685401631310657,6.627847559208187,-0.2129731685019777,-0.3362297205141418,-0.1260111989472423,60,"58,59,61,62,63,65"
s02_ridge_cfd20,808,2424,1.819928747427188,1.7391425557535678,1.917947562856857,6.471564076204401,0.0,0.0,0.0,60,"58,59,61,62,63,65"
template_phase,808,2424,2.6639289881627697,2.6639289881627697,2.7113035001817245,3.278995401321622,0.8440002407355818,0.7299700954785185,0.9638652945839788,60,"58,59,61,62,63,65"
cfd20_reference,808,2424,3.138618995026782,3.0629510158714126,3.227286539998513,7.26201016710757,1.318690247599594,1.1926753854149246,1.4429852083140866,60,"58,59,61,62,63,65"
mlp_waveform,933,2799,2.1136738442212386,2.040881739268777,2.180391068741013,6.245342748934684,-0.1287590689111089,-0.2314617028179247,-0.0287399985619485,61,"58,59,60,62,63,65"
analytic_timewalk,933,2799,2.1299643935400336,1.9843646885938948,2.209345108032456,3.008059720087321,-0.1124685195923138,-0.3019590376983181,0.016283148570766,61,"58,59,60,62,63,65"
s02_ridge_cfd20,933,2799,2.2424329131323475,2.1479278934165267,2.329657743567444,6.158791219575816,0.0,0.0,0.0,61,"58,59,60,62,63,65"
template_phase,933,2799,2.703513027082288,2.703513027082288,2.703513027082288,3.207161448714155,0.4610801139499401,0.3738552835148437,0.5555851336657607,61,"58,59,60,62,63,65"
cfd20_reference,933,2799,2.9140833320178547,2.839234750415884,2.9983595595354777,6.59865538327557,0.6716504188855072,0.540440603886907,0.81261944918598,61,"58,59,60,62,63,65"
analytic_timewalk,807,2421,1.469004872429904,1.409163227885896,1.5155785592012692,2.5841895829635635,-0.391007535965844,-0.4828223734776283,-0.2939370446221722,62,"58,59,60,61,63,65"
mlp_waveform,807,2421,1.743312167059219,1.6769372389341448,1.8198673317931755,4.51534884762075,-0.1167002413365287,-0.2117613920419995,-0.0180535744714596,62,"58,59,60,61,63,65"
s02_ridge_cfd20,807,2421,1.860012408395748,1.776262832796564,1.941807432342437,4.616059969691884,0.0,0.0,0.0,62,"58,59,60,61,63,65"
