heldout_run,stave,n_pulses,n_events,pred_sigma_median_ns,abs_error_median_ns,abs_error_ci_low,abs_error_ci_high,error_sigma68_ns,error_sigma68_ci_low,error_sigma68_ci_high,pull_width_sigma68,pull_width_ci_low,pull_width_ci_high,signed_error_median_ns
58,B4,73,73,2.9340152740478516,0.9696642690858681,0.8167830780227732,1.117315013301976,1.332020057090688,1.1012516470035298,1.8788557586584202,0.2920879728258451,0.19562827683925077,0.407945816461579,-0.21946421608769384
58,B6,73,73,2.0180304050445557,1.1435814447713284,0.835079115541614,2.0307227315350644,2.055969087156072,1.709414497781172,2.49455498667894,0.2915225220332785,0.17365466503436267,0.39783923130945714,0.9410883640463794
58,B8,73,73,2.419741630554199,0.9623410758600954,0.8044024363773978,1.197963840374939,1.4261486887913852,1.0952950165130346,1.6559685635748789,0.41957397846690525,0.2757221461192478,0.6184414351989235,0.4463060547702291
59,B4,763,763,2.026200771331787,0.8663627644185148,0.7884612003839848,0.9129654336476152,1.295159610829557,1.2115186317707218,1.37899638068863,0.5684437107861822,0.5366002729471541,0.611256447187196,-0.2903417783562716
59,B6,763,763,1.718956470489502,0.7016374505773015,0.6436109274630002,0.7612151147840791,1.064713403161776,0.9924456100627941,1.1513090773472923,0.5628771094049662,0.5145504459049087,0.6116709203923747,-0.041726250465849546
59,B8,763,763,1.600118637084961,0.7020809388866667,0.6475499590979581,0.7489372470482678,1.0035952983638863,0.9251744233970586,1.0668269386827636,0.575690322754829,0.5316713439326564,0.62807312368697,-0.19785505785732127
60,B4,808,808,1.998628556728363,0.8922864777606154,0.8091136766997415,0.9782528163452974,1.310400406956055,1.2241483183670876,1.4104936845664986,0.5646610617525911,0.5012397579596627,0.6056694146468437,-0.12768434225114866
60,B6,808,808,1.9337117671966553,0.8002797159147512,0.7333201637704292,0.8611647482387426,1.0328814519534282,0.9481253287531872,1.122818402905323,0.4760376231311391,0.4284202040476699,0.5081127811848826,0.5412115647132616
60,B8,808,808,1.8768845200538635,0.7640536997772891,0.7210772247199669,0.8247000136257832,1.1088686027649477,1.0265241890346424,1.2302998519978872,0.5556651652443116,0.5169338289034656,0.600104692149409,0.20034141518284088
61,B4,933,933,2.142878770828247,1.0800173994619016,0.9977191754323345,1.1470834883776815,1.2902239878990867,1.21750111749357,1.3932843781466513,0.5422127891738171,0.511713504185598,0.5764040823443308,0.7847165466972292
61,B6,933,933,1.6987097263336182,0.7296574071515423,0.6749788259259795,0.7737929118817064,1.1107675505851864,1.0477305955203837,1.1879441317529498,0.5366834699790011,0.5061667298224636,0.5828770513697432,-0.05497337382067258
61,B8,933,933,1.6919312477111816,0.7281754487648868,0.6728115760661524,0.7818192848906875,1.0911664922396251,1.036511500023714,1.158136221091034,0.5768055222531369,0.5427364785367434,0.6234707030355492,-0.14731206442902334
62,B4,807,807,2.1220779418945312,0.9051988613156823,0.843482958132834,0.9861708529991233,1.3112924245487663,1.2335531863714082,1.4277982239616407,0.5677667383800628,0.5322509153857364,0.6079300350618222,-0.24259074889094734
62,B6,807,807,1.7107385396957397,0.7469063686016497,0.6980847047025733,0.7999083106714803,1.1174937522353032,1.0286808920486248,1.2151291295703035,0.5593654600331562,0.5106182315857885,0.5872104381819425,0.1254851905452341
62,B8,807,807,1.860482096672058,0.7030193347195599,0.6441998474072079,0.7724800774049317,1.1142839651220797,1.0438524033501353,1.2033684922845718,0.5307316327649685,0.4844542192619844,0.5703790230987407,-0.034219320087750305
63,B4,370,370,2.0551565885543823,1.104539433832283,1.024347668294883,1.2415869914474342,1.4882619046990249,1.3396301920962737,1.59473110184948,0.6218004955548031,0.5476832193654055,0.6983096297803444,-0.6408598248033073
63,B6,370,370,1.7620656490325928,0.7908892565671053,0.6792592979824028,0.9234600348732561,1.1988735981139225,0.9996798798027827,1.3353619435379829,0.5302868131927297,0.46999168152709764,0.6295144356557395,0.2330234026180591
63,B8,370,370,1.8161723017692566,0.6772426213029874,0.552971045698385,0.7912402068321782,1.0330317532327,0.9006170610882123,1.1434663798659457,0.4542269445844731,0.3957411475171906,0.508296028574934,-0.04728578793104887
65,B4,66,66,2.1490750312805176,1.3612852247898246,1.0305852427026017,1.5223985892838243,1.3874534428646612,1.0528951587143829,1.7201101153881124,0.5617734860461513,0.3962463861916612,0.7009122246409691,-1.0183252401561447
65,B6,66,66,1.9069815874099731,1.1610638387280119,0.8210926035984834,1.3661393748280357,1.6553764743203718,1.3013886316344996,2.428690151653465,0.4857859410243829,0.3312004336765668,0.6520505092820292,0.2574944580073648
65,B8,66,66,1.8376026153564453,0.7075918508415029,0.5567728868930075,0.9585935059118817,1.044343104823424,0.8140349083231941,1.3097112387380292,0.3772883483734206,0.2727711925904293,0.5131065476662133,0.2803723914981653
