event_id,run,heldout_run,stave,amplitude_adc,peak_sample,mlp_target_residual_ns,mlp_pred_residual_ns,mlp_pred_sigma_ns,mlp_target_error_ns,mlp_pull
58:391631:10103:2692,58,58,B4,2799.5,9,-3.6780551080360624,-4.632020950317383,2.096733570098877,0.9539658422813204,0.4549771396259629
58:391631:10103:2692,58,58,B6,2949.5,8,2.1968225190043356,2.4562058448791504,1.5106288194656372,-0.25938332587481483,-0.17170553251232681
58:391631:10103:2692,58,58,B8,3882.5,8,1.481232589031734,1.034860610961914,1.6492003202438354,0.4463719780698199,0.27065964794611697
58:391841:10300:2900,58,58,B4,3077.0,12,-4.047980989214281,-5.150846481323242,20.085599899291992,1.1028654921089611,0.05490826749704581
58:391841:10300:2900,58,58,B6,3075.5,13,3.1104256068536387,-2.0542151927948,20.085599899291992,5.1646407996484385,0.257131518378522
58:391841:10300:2900,58,58,B8,5070.5,12,0.9375553823606424,1.8662782907485962,20.085599899291992,-0.9287229083879538,-0.04623824595951903
58:392066:10514:3123,58,58,B4,2045.0,8,-2.3841875897395894,-4.4577836990356445,2.019634485244751,2.073596109296055,1.0267185099311495
58:392066:10514:3123,58,58,B6,2216.0,8,3.2069059201278662,3.02882719039917,1.5980510711669922,0.17807872972869632,0.11143494281359394
58:392066:10514:3123,58,58,B8,5431.0,7,-0.8227183303882768,0.44049105048179626,2.3777389526367188,-1.263209380870073,-0.5312649563440414
58:392204:10642:3261,58,58,B4,3032.5,10,-4.74100161121666,-5.047183990478516,2.259634256362915,0.30618237926185543,0.1355008574505697
58:392204:10642:3261,58,58,B6,2875.5,8,2.580403374600536,2.4982032775878906,1.512026071548462,0.0822000970126453,0.054364206120112994
58:392204:10642:3261,58,58,B8,3628.0,7,2.1605982366161243,1.2737090587615967,1.5756679773330688,0.8868891778545276,0.5628655215521047
58:392294:10722:3348,58,58,B4,1661.5,9,-4.045193929371138,-3.878638744354248,1.998036503791809,-0.1665551850168896,-0.08335943047126844
58:392294:10722:3348,58,58,B6,1168.0,9,3.1725950927600977,3.209303379058838,1.8798396587371826,-0.036708286298740234,-0.019527349648213992
58:392294:10722:3348,58,58,B8,2771.5,9,0.8725988366110329,2.5972437858581543,1.8109897375106812,-1.7246449492471214,-0.9523217683263926
58:392636:11042:3687,58,58,B4,4675.5,8,-6.25533157156395,-7.314050674438477,7.425269603729248,1.0587191028745266,0.14258325412760747
58:392636:11042:3687,58,58,B6,2622.0,10,4.065908533302093,2.7738561630249023,3.7840418815612793,1.2920523702771902,0.34144769289500965
58:392636:11042:3687,58,58,B8,3248.0,9,2.1894230382618503,2.7711849212646484,2.622699499130249,-0.5817618830027982,-0.2218179715959547
58:393248:11615:4294,58,58,B4,2459.0,16,-3.8313266685785408,-5.789556503295898,20.085599899291992,1.9582298347173577,0.09749421697812394
58:393248:11615:4294,58,58,B6,2430.0,16,2.126969365773533,-2.2868642807006836,20.085599899291992,4.413833646474217,0.21975114851460334
58:393248:11615:4294,58,58,B8,3724.0,15,1.7043573028050218,-0.32162415981292725,20.085599899291992,2.025981462617949,0.10086736133230274
58:394656:12923:5698,58,58,B4,3165.0,11,-6.114271188578172,-5.011007308959961,2.2864596843719482,-1.1032638796182113,-0.4825205916199039
58:394656:12923:5698,58,58,B6,2652.5,9,3.0969794493794893,2.7329251766204834,1.6122430562973022,0.3640542727590059,0.2258060726867682
58:394656:12923:5698,58,58,B8,4076.0,8,3.017291739198683,1.3265058994293213,1.8060280084609985,1.6907858397693616,0.9361902649617044
58:394684:12945:5726,58,58,B4,2211.0,4,-2.0709958326563687,-1.6678166389465332,2.023591995239258,-0.40317919370983546,-0.19923936972391804
58:394684:12945:5726,58,58,B6,2371.0,5,2.245447314771212,1.4002033472061157,1.6837124824523926,0.8452439675650965,0.5020120575063777
58:394684:12945:5726,58,58,B8,2932.0,4,-0.17445148211484351,0.18328845500946045,1.350607991218567,-0.35773993712430396,-0.2648732566742317
58:394786:13037:5828,58,58,B4,1717.0,17,-3.531824390994899,-4.649139404296875,20.085599899291992,1.117315013301976,0.05562766454097101
58:394786:13037:5828,58,58,B6,2201.5,17,2.5782929695298833,-0.9274103045463562,20.085599899291992,3.5057032740762395,0.1745381413377558
58:394786:13037:5828,58,58,B8,1275.5,17,0.9535314214650157,0.41945987939834595,20.085599899291992,0.5340715420666697,0.026589773008746206
58:394965:13201:6007,58,58,B4,1871.5,8,-5.224092035719131,-4.4327616691589355,2.0117099285125732,-0.7913303665601958,-0.39336206246458855
58:394965:13201:6007,58,58,B6,1581.5,8,5.194099915945145,3.162316083908081,1.6600407361984253,2.031783832037064,1.223936128633776
58:394965:13201:6007,58,58,B8,3699.0,7,0.029992119773986303,1.6070973873138428,1.5647374391555786,-1.5771052675398565,-1.0079040918142486
58:395467:13673:6509,58,58,B4,3101.0,10,-4.566643935846308,-5.14491605758667,2.3013551235198975,0.5782721217403619,0.25127461460876194
58:395467:13673:6509,58,58,B6,2711.5,8,3.691626122862111,2.648587703704834,1.5399678945541382,1.043038419157277,0.6773117951652261
58:395467:13673:6509,58,58,B8,4611.5,7,0.8750178129842041,-0.049286164343357086,2.0968406200408936,0.9243039773275612,0.44080793193978424
58:396978:15063:8018,58,58,B4,3170.0,11,-6.0235459268185,-4.907710075378418,2.250389575958252,-1.1158358514400817,-0.49584119272545996
58:396978:15063:8018,58,58,B6,3148.0,8,3.211278029509799,2.464142084121704,1.56544029712677,0.747135945388095,0.4772688851560793
58:396978:15063:8018,58,58,B8,2151.0,9,2.8122678973087005,3.073423385620117,2.003324508666992,-0.26115548831141666,-0.1303610509338744
58:398418:42:9453,58,58,B4,2453.5,8,-2.220252258039821,-4.010828971862793,1.9640100002288818,1.790576713822972,0.9116942956575077
58:398418:42:9453,58,58,B6,2825.0,8,1.935530462187728,2.465768814086914,1.5221174955368042,-0.530238351899186,-0.34835573039135664
58:398418:42:9453,58,58,B8,4086.0,8,0.2847217958520929,0.6884227991104126,1.7581005096435547,-0.4037010032583197,-0.22962339243059993
58:398580:196:9615,58,58,B4,3259.5,9,-5.0126930317366885,-4.163742542266846,6.082913398742676,-0.8489504894698428,-0.1395631392097936
58:398580:196:9615,58,58,B6,2625.0,11,3.092212254555264,1.9486308097839355,7.896223068237305,1.1435814447713284,0.14482638533495903
58:398580:196:9615,58,58,B8,2753.0,10,1.9204807771814245,3.0556840896606445,5.014800548553467,-1.13520331247922,-0.22637058074157557
58:399270:859:10304,58,58,B4,2176.5,11,-7.1079685854317916,-2.768134355545044,19.782686233520508,-4.339834229886748,-0.21937537595542378
58:399270:859:10304,58,58,B6,2923.5,11,1.9418940411850087,-0.0888286903500557,20.085599899291992,2.0307227315350644,0.10110341447190963
58:399270:859:10304,58,58,B8,1563.5,12,5.166074544246797,2.2042906284332275,20.085599899291992,2.9617839158135695,0.1474580759680457
58:399602:1163:10635,58,58,B4,2133.0,10,-4.354057522754331,-3.223947763442993,8.396825790405273,-1.1301097593113383,-0.1345877344034779
58:399602:1163:10635,58,58,B6,1827.0,11,1.4126345738209949,1.7828627824783325,9.570846557617188,-0.37022820865733763,-0.03868291132122295
58:399602:1163:10635,58,58,B8,2681.0,11,2.9414229489333366,3.1369094848632812,6.788102626800537,-0.1954865359299447,-0.028798406075673036
58:399989:1517:11021,58,58,B4,1606.5,12,-4.612360685370106,-3.1888134479522705,20.085599899291992,-1.4235472374178357,-0.0708740214161099
58:399989:1517:11021,58,58,B6,1172.5,12,3.3320278170379822,0.16012191772460938,20.085599899291992,3.171905899313373,0.15791940072574984
58:399989:1517:11021,58,58,B8,2976.5,14,1.2803328683321382,1.2770273685455322,20.085599899291992,0.003305499786605992,0.00016457062787168778
58:400792:2281:11821,58,58,B4,1086.0,7,-45.03340890121963,0.8320171236991882,2.99114727973938,-45.86542602491882,-15.333723730553013
58:400792:2281:11821,58,58,B6,2916.0,9,21.197157817634164,2.787776231765747,1.78571355342865,18.409381585868417,10.309257915706347
58:400792:2281:11821,58,58,B8,2094.0,10,23.836251083585466,3.374159812927246,2.324025869369507,20.46209127065822,8.804588425777487
58:401022:2495:12051,58,58,B4,2443.5,5,-3.409741108052721,-2.8436248302459717,1.9963568449020386,-0.5661162778067492,-0.28357469219613823
58:401022:2495:12051,58,58,B6,1955.0,6,2.1227402478445185,2.483431577682495,1.6099492311477661,-0.3606913298379766,-0.22403894660754753
58:401022:2495:12051,58,58,B8,2916.0,8,1.2870008602082024,1.3024203777313232,1.3129479885101318,-0.015419517523120874,-0.011744195244640404
58:401083:2548:12110,58,58,B4,2457.5,8,-5.9876469560504475,-4.0356364250183105,1.921760082244873,-1.952010531032137,-1.0157410121412904
58:401083:2548:12110,58,58,B6,2347.0,9,2.148143489779571,2.6511013507843018,1.6354763507843018,-0.5029578610047309,-0.3075298892359616
58:401083:2548:12110,58,58,B8,1125.0,10,3.839503466270884,2.8492565155029297,1.8840383291244507,0.9902469507679541,0.5255980918541828
58:401283:2737:12310,58,58,B4,2840.5,9,-5.04712727466169,-4.263491153717041,2.9340152740478516,-0.7836361209446494,-0.26708658536174645
58:401283:2737:12310,58,58,B6,2941.0,9,1.29004619230939,2.5323257446289062,3.023054838180542,-1.2422795523195163,-0.4109351694947074
58:401283:2737:12310,58,58,B8,2097.5,10,3.7570810823523146,3.6562626361846924,3.3547370433807373,0.10081844616762226,0.030052562947235482
58:401498:2943:12525,58,58,B4,2425.0,7,-5.877898962506386,-4.898008346557617,2.268821954727173,-0.9798906159487686,-0.43189401173905734
58:401498:2943:12525,58,58,B6,2513.5,7,3.4204566215757737,3.5575525760650635,1.7733179330825806,-0.1370959544892898,-0.07731042016305231
58:401498:2943:12525,58,58,B8,5886.0,6,2.457442340930619,0.5542089939117432,2.9186689853668213,1.903233347018876,0.6520894820759113
58:401532:2974:12559,58,58,B4,2236.0,8,-3.859761324969547,-3.9330992698669434,2.050246477127075,0.07333794489739631,0.035770306504885066
58:401532:2974:12559,58,58,B6,2436.0,9,2.878671327513729,3.0534539222717285,1.891426920890808,-0.17478259475799973,-0.09240779690059721
58:401532:2974:12559,58,58,B8,4856.5,8,0.9810899974558183,1.136504054069519,2.1340653896331787,-0.15541405661370078,-0.07282534891792358
58:401733:3159:12760,58,58,B4,2778.5,7,-3.5434788690548515,-4.594220161437988,2.0567171573638916,1.0507412923831367,0.5108827378723669
58:401733:3159:12760,58,58,B6,3266.5,7,1.2154894184243403,1.237435221672058,1.8976231813430786,-0.021945803247717777,-0.011564889944159103
58:401733:3159:12760,58,58,B8,4237.5,7,2.327989450630511,0.4164322018623352,1.8828028440475464,1.911557248768176,1.015272127302939
58:402308:3701:13332,58,58,B4,1103.0,4,-0.5608885507768342,-0.6390992403030396,2.683781623840332,0.07821068952620536,0.029141972219889675
58:402308:3701:13332,58,58,B6,1400.0,5,0.8809910534012815,0.7376741766929626,2.4340808391571045,0.14331687670831883,0.05887925922704683
58:402308:3701:13332,58,58,B8,1239.5,5,-0.3201025026244473,1.0934176445007324,1.5884774923324585,-1.4135201471251797,-0.889858467588119
58:402542:3915:13565,58,58,B4,1954.0,12,-6.692731568984428,-3.0098140239715576,20.085599899291992,-3.68291754501287,-0.18336109269719603
58:402542:3915:13565,58,58,B6,2143.5,12,2.741661819135757,0.16586372256278992,20.085599899291992,2.575798096572967,0.12824103384951738
58:402542:3915:13565,58,58,B8,2639.0,12,3.951069749848685,1.9219911098480225,20.085599899291992,2.0290786400006624,0.10102156023092874
58:402594:3966:13616,58,58,B4,2824.5,12,-4.010510359042243,-3.291407346725464,15.93156909942627,-0.7191030123167792,-0.045136986057617866
58:402594:3966:13616,58,58,B6,2687.0,11,3.008762685673389,1.2412283420562744,15.288347244262695,1.7675343436171147,0.11561317357443086
58:402594:3966:13616,58,58,B8,4135.5,10,1.0017476733688682,1.2862006425857544,15.653620719909668,-0.28445296921688623,-0.01817170444503575
58:402626:3997:13647,58,58,B4,2007.0,5,-1.8167630766376206,-1.5972988605499268,1.94636070728302,-0.21946421608769384,-0.11275618916190008
58:402626:3997:13647,58,58,B6,2394.0,5,1.0707053643509532,0.9316210746765137,1.763502836227417,0.13908428967443953,0.07886819732707454
58:402626:3997:13647,58,58,B8,4544.5,4,0.746057712286671,-0.5933287143707275,1.5272177457809448,1.3393864266573985,0.8770107801310948
58:402712:4076:13733,58,58,B4,2469.0,13,-5.219593482535345,-3.7795064449310303,20.085599899291992,-1.4400870376043144,-0.07169748699689457
58:402712:4076:13733,58,58,B6,3356.5,12,3.0637120094555144,-2.338975191116333,20.085599899291992,5.402687200571847,0.2689831136565799
58:402712:4076:13733,58,58,B8,2871.5,13,2.1558814730798304,0.9558047652244568,20.085599899291992,1.2000767078553736,0.059748113766702866
58:403406:4719:14427,58,58,B4,2016.5,17,-4.7774819145405445,-3.96075439453125,20.085599899291992,-0.8167275200092945,-0.04066234138409198
