stave,amplitude_atom,shape_atom,winner_method,traditional_method,n_pulses,n_runs,winner_sigma68_ns,traditional_sigma68_ns,delta_vs_traditional_ns,delta_ci_low,delta_ci_high,winner_full_rms_ns,traditional_full_rms_ns,winner_tail_frac_abs_gt5ns,traditional_tail_frac_abs_gt5ns,winner_median_bias_ns,decision
B4,1000_1500,high_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,52,6,1.952810173610301,1.952810173610301,0.0,0.0,0.0,1.6674358265337033,1.6674358265337033,0.0,0.0,2.428630239458297,diagnostic_only
B4,1000_1500,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,224,7,0.05286823012454023,0.05286823012454023,0.0,0.0,0.0,2.105433859008863,2.105433859008863,0.013392857142857142,0.013392857142857142,2.178335616980789,diagnostic_only
B4,1000_1500,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,67,6,1.5921475389921294,1.5921475389921294,0.0,0.0,0.0,1.6178730979573592,1.6178730979573592,0.0,0.0,2.6710316238751233,diagnostic_only
B4,1500_2200,high_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,367,7,1.4902311813066351,1.4902311813066351,0.0,0.0,0.0,1.6033193213627612,1.6033193213627612,0.0,0.0,2.0735564710276435,diagnostic_only
B4,1500_2200,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,449,7,0.02734456529567697,0.02734456529567697,0.0,0.0,0.0,1.160759450107691,1.160759450107691,0.004454342984409799,0.004454342984409799,2.0804643186762775,diagnostic_only
B4,1500_2200,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,355,7,1.4972782484164757,1.4972782484164757,0.0,0.0,0.0,1.5545040855054078,1.5545040855054078,0.005633802816901409,0.005633802816901409,2.5677693575177045,diagnostic_only
B4,2200_3200,high_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,851,7,1.3615899114997525,1.3615899114997525,0.0,0.0,0.0,1.3637521079011639,1.3637521079011639,0.0011750881316098707,0.0011750881316098707,2.065829038698759,diagnostic_only
B4,2200_3200,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,514,7,0.017114894891437027,0.017114894891437027,0.0,0.0,0.0,2.8976852158989175,2.8976852158989175,0.019455252918287938,0.019455252918287938,2.0570218685109403,diagnostic_only
B4,2200_3200,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,794,7,1.369712789768629,1.369712789768629,0.0,0.0,0.0,1.4587397495670749,1.4587397495670749,0.003778337531486146,0.003778337531486146,2.302746041596656,diagnostic_only
B4,3200_4700,high_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,7,3,1.5342525505089477,1.5342525505089477,0.0,0.0,0.0,1.5404089104837053,1.5404089104837053,0.0,0.0,1.5600112347345956,diagnostic_only
B4,3200_4700,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,43,6,6.0801108323905275,6.0801108323905275,0.0,0.0,0.0,8.333969943929707,8.333969943929707,0.4418604651162791,0.4418604651162791,2.095469515685906,diagnostic_only
B4,3200_4700,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,76,7,1.8948163267284954,1.8948163267284954,0.0,0.0,0.0,5.09662613005939,5.09662613005939,0.13157894736842105,0.13157894736842105,2.417693015401923,diagnostic_only
B4,4700_6800,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,10,5,6.0348231358819415,6.0348231358819415,0.0,0.0,0.0,10.97407295171531,10.97407295171531,0.5,0.5,2.1601765883097883,diagnostic_only
