method,metric,bootstrap_unit,value,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high,full_rms_delta_vs_traditional_ns,full_rms_delta_ci_low,full_rms_delta_ci_high,tail_delta_vs_traditional,tail_delta_ci_low,tail_delta_ci_high,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
run64_analytic_amp_only,pooled_sample_ii_pairwise_sigma68_ns,heldout_run,1.408217140010661,1.236142628182261,1.7202077363679862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11460,1.941813826942429,1.408217140010661,2.629714667756582,0.020593368237347295,1.4065168683221088,110.32627906865484
ridge_run64,pooled_sample_ii_pairwise_sigma68_ns,heldout_run,1.4205634038216788,1.303292119285386,1.6119569221945702,0.012346263811017888,-0.08911745377679425,0.08925963117805452,-0.12211623610015554,-0.14798751833383367,-0.08277596520608381,-0.002966841186736475,-0.0036242693340324088,-0.0009599383168492577,11460,1.6520508050865175,1.4205634038216788,2.5075984316564264,0.01762652705061082,1.4198402728054924,18.672758122746025
hgb_mixed_sample_i_run64_sentinel,pooled_sample_ii_pairwise_sigma68_ns,heldout_run,1.4324102305196298,1.3225144937462576,1.639841068747751,0.024193090508968895,-0.09180623411399434,0.11247926084075334,-0.22057739738124882,-0.2690990587646533,-0.15658013442791655,-0.0030541012216404907,-0.004830839878844752,0.00010259567046270665,11460,1.5726187777779685,1.4324102305196298,2.409137270375333,0.017539267015706805,1.5221527529779992,33.37728715592947
hgb_run64,pooled_sample_ii_pairwise_sigma68_ns,heldout_run,1.4662809273138617,1.3473091719126333,1.5859784615850927,0.05806378730320083,-0.12413425857527893,0.17330211052005384,-0.15414540572265212,-0.20637314581636057,-0.10312223935433806,-0.0058464223385689355,-0.009498969066583235,-0.0031474377889249543,11460,1.680395889153484,1.4662809273138617,2.47556926203393,0.01474694589877836,1.4633342691571263,24.864225443631554
run64_monotone_binned_timewalk,pooled_sample_ii_pairwise_sigma68_ns,heldout_run,1.5256563035234976,1.3409871752219011,1.840987175221894,0.11743916351283668,0.055532395439128045,0.16074123388685602,0.0552297171739653,0.05021422232828902,0.060479973376723936,0.0044502617801047105,0.00011261261261261146,0.0054432184229465256,11460,1.920650863650124,1.5256563035234976,2.684944384930547,0.025043630017452006,1.3764735199689215,194.8861197367394
mlp_run64,pooled_sample_ii_pairwise_sigma68_ns,heldout_run,1.6159204997482133,1.4903742473751285,1.7516014447773884,0.20770335973755238,0.051792016823066195,0.3238998239750843,-0.15424838418555442,-0.21045796709310766,-0.09727555232203103,-0.007242582897033159,-0.011470734126984128,-0.004058441558441558,11460,1.6282649755424465,1.6159204997482133,2.4754662835710275,0.013350785340314137,1.6161699262213371,13.093194371280939
gated_tcn_new_run64,pooled_sample_ii_pairwise_sigma68_ns,heldout_run,2.1764198147713607,2.1097462403175795,2.2280685728965177,0.7682026747606998,0.4643125390088163,0.9815398778434574,0.3284685977048274,0.15324812889066797,0.46627613992902317,0.01701570680628272,0.00810767691595103,0.026089561771738073,11460,-1.9268506689779947,2.1764198147713607,2.9581832654614093,0.037609075043630015,2.528504863568445,60.8996464745709
template_phase_base,pooled_sample_ii_pairwise_sigma68_ns,heldout_run,2.3513126070469674,2.2819743504438,2.5319743504438037,0.9430954670363065,0.6028955217381975,1.2933801789607522,0.512820815726772,0.3191219983626414,0.6642015658225708,0.041884816753926704,0.023037950893326626,0.0637935913221857,11460,-3.3413017273002623,2.3513126070469674,3.142535483483354,0.062478184991274,1.7032215460397109,133.45127802295895
cnn1d_run64,pooled_sample_ii_pairwise_sigma68_ns,heldout_run,2.3662913586979397,2.264859595604928,2.477628285087879,0.9580742186872788,0.6262353718161099,1.2289349320086953,0.4907661943692787,0.29215670438413754,0.6426419374023509,0.028184991273996512,0.019579160289489014,0.035460992907801414,11460,-2.3007379141253566,2.3662913586979397,3.1204808621258606,0.04877835951134381,3.2270739855346364,42.2316136386731
hgb_shuffled_target_sentinel,pooled_sample_ii_pairwise_sigma68_ns,heldout_run,3.111802275785147,3.0011491922153795,3.194896646217787,1.7035851357744862,1.3073731632619534,1.9536270865547842,0.9417291687439544,0.7432737420663128,1.0913704943213594,0.07268760907504362,0.05521891327134384,0.08946433452255302,11460,-2.676860689893111,3.111802275785147,3.5714438365005363,0.09328097731239092,186.54662731826994,7.627935829823008
