run,stave,amplitude_atom,shape_atom,method,n_pulses,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns
58,B4,1000_1500,low_template_corr,hgb_mixed_sample_i_run64_sentinel,6,1.8294416628757126,2.413184202229701,8.175375554023052,0.16666666666666666
58,B4,1000_1500,low_template_corr,hgb_shuffled_target_sentinel,6,-4.645896613425265,3.2714969932008087,9.539583741507508,0.16666666666666666
58,B4,1000_1500,low_template_corr,run64_analytic_amp_only,6,2.14944405063536,2.3368115745873013,8.623887190715621,0.16666666666666666
58,B4,1500_2200,high_template_corr,hgb_mixed_sample_i_run64_sentinel,3,1.9846766582041155,1.2138177186059338,1.457523615080362,0.0
58,B4,1500_2200,high_template_corr,hgb_shuffled_target_sentinel,3,-6.545499983337685,1.6845986556538854,2.2958737219125624,0.0
58,B4,1500_2200,high_template_corr,run64_analytic_amp_only,3,1.8051875414858856,1.8595881745598428,2.2454149189190136,0.0
58,B4,1500_2200,low_template_corr,hgb_mixed_sample_i_run64_sentinel,17,1.8877365580694914,0.23855312090450242,1.6461905467152371,0.058823529411764705
58,B4,1500_2200,low_template_corr,hgb_shuffled_target_sentinel,17,-4.530382776000749,1.822023914515051,1.7765156966607498,0.0
58,B4,1500_2200,low_template_corr,run64_analytic_amp_only,17,2.063869464570672,0.029053457632877366,0.033480827353252696,0.0
58,B4,1500_2200,mid_template_corr,hgb_mixed_sample_i_run64_sentinel,4,2.2552172409440345,0.8887719835921548,1.0567234295096932,0.0
58,B4,1500_2200,mid_template_corr,hgb_shuffled_target_sentinel,4,-4.634186155200933,1.6212598675419378,2.1438571269204973,0.0
58,B4,1500_2200,mid_template_corr,run64_analytic_amp_only,4,2.3974663710876456,1.2370002705239465,1.4445899569101293,0.0
58,B4,2200_3200,high_template_corr,hgb_mixed_sample_i_run64_sentinel,12,2.1481093627564753,0.46749599801177666,0.8774334626970358,0.0
58,B4,2200_3200,high_template_corr,hgb_shuffled_target_sentinel,12,-3.781591448013767,1.3774616502992199,1.511212066546677,0.0
58,B4,2200_3200,high_template_corr,run64_analytic_amp_only,12,2.30721361878469,0.6856546073096405,1.1568320744197162,0.0
58,B4,2200_3200,low_template_corr,hgb_mixed_sample_i_run64_sentinel,18,1.9340338146446427,0.1565815622043879,0.16538819334705562,0.0
58,B4,2200_3200,low_template_corr,hgb_shuffled_target_sentinel,18,-3.9910345791045714,1.2677957028030722,1.1611690315209633,0.0
58,B4,2200_3200,low_template_corr,run64_analytic_amp_only,18,2.0602809664271007,0.009606789417712092,0.010982816212768101,0.0
58,B4,2200_3200,mid_template_corr,hgb_mixed_sample_i_run64_sentinel,9,1.9383773642898348,0.506087378696475,0.4662842055196927,0.0
58,B4,2200_3200,mid_template_corr,hgb_shuffled_target_sentinel,9,-3.982271571471294,1.3676391336435711,1.3252693811844192,0.0
58,B4,2200_3200,mid_template_corr,run64_analytic_amp_only,9,2.062747076140191,0.5928212360479161,0.7043213004973081,0.0
58,B4,3200_4700,low_template_corr,hgb_mixed_sample_i_run64_sentinel,1,1.2680694141621274,0.0,0.0,0.0
58,B4,3200_4700,low_template_corr,hgb_shuffled_target_sentinel,1,-3.998203661851072,0.0,0.0,0.0
58,B4,3200_4700,low_template_corr,run64_analytic_amp_only,1,2.072085763218311,0.0,0.0,0.0
58,B4,3200_4700,mid_template_corr,hgb_mixed_sample_i_run64_sentinel,2,8.053279788730247,3.582112795500951,5.267812934560222,1.0
58,B4,3200_4700,mid_template_corr,hgb_shuffled_target_sentinel,2,-3.1611542845596077,1.7741004964961051,2.608971318376625,0.0
58,B4,3200_4700,mid_template_corr,run64_analytic_amp_only,2,4.729918835298651,2.6307667896123066,3.868774690606333,0.0
58,B4,4700_6800,mid_template_corr,hgb_mixed_sample_i_run64_sentinel,1,3.0435575170787175,0.0,0.0,0.0
58,B4,4700_6800,mid_template_corr,hgb_shuffled_target_sentinel,1,-6.8770247814486325,0.0,0.0,0.0
58,B4,4700_6800,mid_template_corr,run64_analytic_amp_only,1,-0.1464908731537804,0.0,0.0,0.0
58,B6,1000_1500,high_template_corr,hgb_mixed_sample_i_run64_sentinel,1,-2.578868945295838,0.0,0.0,0.0
58,B6,1000_1500,high_template_corr,hgb_shuffled_target_sentinel,1,-0.2308008313242027,0.0,0.0,0.0
58,B6,1000_1500,high_template_corr,run64_analytic_amp_only,1,-2.694920483367561,0.0,0.0,0.0
58,B6,1000_1500,low_template_corr,hgb_mixed_sample_i_run64_sentinel,3,-0.9036683930462175,0.5059494446054309,0.6319617727139579,0.0
58,B6,1000_1500,low_template_corr,hgb_shuffled_target_sentinel,3,2.684909678642626,0.15797669395364844,0.2171197561673396,0.0
58,B6,1000_1500,low_template_corr,run64_analytic_amp_only,3,-0.7924194958245891,0.07903534194695172,0.09567061772725084,0.0
58,B6,1000_1500,mid_template_corr,hgb_mixed_sample_i_run64_sentinel,1,-1.2507799669992465,0.0,0.0,0.0
58,B6,1000_1500,mid_template_corr,hgb_shuffled_target_sentinel,1,3.913309431779311,0.0,0.0,0.0
58,B6,1000_1500,mid_template_corr,run64_analytic_amp_only,1,-0.6802859686978948,0.0,0.0,0.0
58,B6,1500_2200,high_template_corr,hgb_mixed_sample_i_run64_sentinel,2,0.17953488983869192,0.017724915924426626,0.026066052830039155,0.0
58,B6,1500_2200,high_template_corr,hgb_shuffled_target_sentinel,2,4.162123470037255,0.22345044666111247,0.328603598031048,0.0
58,B6,1500_2200,high_template_corr,run64_analytic_amp_only,2,0.048543975711559995,0.26722995775380154,0.39298523199088464,0.0
