stratum,method,n,bias,res68,mae,res68_ci95,bias_ci95,mae_ci95
all_heldout,traditional_clipped_template,167683,-1.9947702881439877e-05,0.0005274734795417349,0.08006935921221507,"[0.00047000246947967363, 0.0006655171105286821]","[-7.16624034436719e-05, 2.1491017378494294e-06]","[0.049942591729847545, 0.12178506579140257]"
all_heldout,gradient_boosted_trees,167683,0.0013372956328468744,0.0035113262649916635,0.03349638924870074,"[0.002922953779417913, 0.004083279411893016]","[0.0010649703878774003, 0.0015089484827950667]","[0.018534266774050467, 0.04993534224945881]"
all_heldout,1d_cnn,167683,0.004936948564136401,0.018221474559977652,0.05160836674791263,"[0.015110619399027204, 0.023219118775155936]","[0.0036590613221051172, 0.006152994613512418]","[0.035020160939329706, 0.0700483685156248]"
all_heldout,waveform_transformer,167683,-0.00043627992272377014,0.022996765412390235,0.05077330774836573,"[0.020473401580820793, 0.025210268239490696]","[-0.005014534281508531, 0.0028631604771362615]","[0.03457413863295621, 0.07066568013705567]"
all_heldout,gated_residual_cnn,167683,-0.005165066570043564,0.011836587861180307,0.04767872088256312,"[0.010607522617792712, 0.013968233900319321]","[-0.005442313137609745, -0.0048980820851284084]","[0.028997935022227438, 0.06769345286868034]"
near_knee,traditional_clipped_template,58041,-1.8103839674786515e-05,0.0005761869033826777,0.04475499154986377,"[0.0005401190527352896, 0.0006307444533448763]","[-9.499090389456813e-05, 2.1419774272186746e-05]","[0.03681637812514197, 0.058771751635373105]"
near_knee,gradient_boosted_trees,58041,0.0012342887742507747,0.0026153937106768565,0.012754691330168677,"[0.0023182613966592313, 0.0029936908074176248]","[0.0010264431183952924, 0.0013770718991897662]","[0.009666692325825415, 0.018083292296268507]"
near_knee,1d_cnn,58041,0.010821381816640496,0.02141977739520373,0.0317486469950991,"[0.01913641794557043, 0.024931234970688828]","[0.010252609162125736, 0.011939905140025076]","[0.027452819292481372, 0.03969647278857329]"
near_knee,waveform_transformer,58041,-0.021309836534783244,0.025956706469878556,0.032925845173836475,"[0.025699395051226023, 0.026238385023083538]","[-0.021788367815315724, -0.020719678272143938]","[0.029613727798831434, 0.03979156706484338]"
near_knee,gated_residual_cnn,58041,-0.006226870347745717,0.011017038533464077,0.02076044025101018,"[0.010443878544610926, 0.01170161165460013]","[-0.006813328649150208, -0.005133924403344283]","[0.016513432815235877, 0.028550034574356453]"
hard_saturated,traditional_clipped_template,42357,-2.0887751413581346e-06,0.0006157566395758418,0.04456098136274281,"[0.000574706601048459, 0.0007235136541088928]","[-8.366981872223698e-05, 3.527683669669007e-05]","[0.03584460536847243, 0.059735393720216794]"
hard_saturated,gradient_boosted_trees,42357,0.001368800741913881,0.0028145811925844324,0.012320571904858767,"[0.002513048634681002, 0.0031621057755999776]","[0.0011347987206092108, 0.001466820905509834]","[0.009468239926842073, 0.017538560071013825]"
hard_saturated,1d_cnn,42357,0.009823665954172611,0.02327855154871941,0.031009939185522823,"[0.020594237194629387, 0.025882393797859553]","[0.009470427251653746, 0.010530925028433558]","[0.026412322837746922, 0.03921791046436486]"
hard_saturated,waveform_transformer,42357,-0.02425508527085185,0.027060823612846435,0.034318304988771996,"[0.026895857984083706, 0.027287894579814745]","[-0.024484747991664335, -0.023776402257499284]","[0.03147842163487172, 0.041015738490551255]"
hard_saturated,gated_residual_cnn,42357,-0.007100250106304884,0.011981797059997917,0.02094882815506711,"[0.011465745797613636, 0.012754287744057366]","[-0.007703630007745233, -0.0062867082291631965]","[0.01680691612250133, 0.029727252626447497]"
pileup_multiplicity_ge2,traditional_clipped_template,18982,-0.5097965055796171,0.6963024465409382,0.70291424932605,"[0.6739277436485945, 0.8481881438244242]","[-0.5517331188081556, -0.4887122756105443]","[0.6479962461757458, 0.8347827511215704]"
pileup_multiplicity_ge2,gradient_boosted_trees,18982,0.024171821281644468,0.31191530516742244,0.2726653016376237,"[0.3022557331498596, 0.3299847627698114]","[-5.526010896923e-05, 0.03749970488444646]","[0.2623822306561214, 0.3011906409578759]"
pileup_multiplicity_ge2,1d_cnn,18982,0.12619690630468527,0.37224392190203076,0.3314805583808488,"[0.36363058234943313, 0.39627184720989317]","[0.11351337615385995, 0.14200780706515065]","[0.31981539482150995, 0.36286528612585495]"
pileup_multiplicity_ge2,waveform_transformer,18982,-0.026484836728777827,0.3012466140709352,0.3240965066286358,"[0.28660945575176283, 0.3422427477895143]","[-0.05209069508640103, -0.009873693496105285]","[0.31185571749708507, 0.35072973915230254]"
pileup_multiplicity_ge2,gated_residual_cnn,18982,0.03432265948795238,0.3496367916073651,0.33248365428149906,"[0.342671834732385, 0.36776036605548584]","[0.018734190650051392, 0.06707144782133391]","[0.3251155242714699, 0.3476021339926032]"
high_recovery_tail,traditional_clipped_template,52147,-0.00011790941482338335,0.0006153479555051917,0.15428033526875523,"[0.00043261300245695693, 0.02184235810135067]","[-0.0002567393707447953, -4.774400276398444e-05]","[0.10780839881492785, 0.21086696927310195]"
high_recovery_tail,gradient_boosted_trees,52147,-0.0008518843449430574,0.003311157560279672,0.05615607878485945,"[0.0021308209527105665, 0.014141495072521645]","[-0.000922482059454735, -0.0007569293386992898]","[0.037451256190836314, 0.07717689437754713]"
high_recovery_tail,1d_cnn,52147,0.0018670875579118729,0.025855482012939367,0.08396033398936031,"[0.012413124034006618, 0.06030749577140901]","[0.0013296262812218628, 0.002246275159996003]","[0.054480202877264954, 0.11054500323154695]"
high_recovery_tail,waveform_transformer,52147,0.003551512840203941,0.020375699647702288,0.07951510417511484,"[0.013313046329130886, 0.04321744569810104]","[0.0028293496099649927, 0.004184936502133496]","[0.05237793645399843, 0.10774866355514233]"
high_recovery_tail,gated_residual_cnn,52147,-0.005698872497305274,0.01468064544023946,0.07799828416736089,"[0.010390735028195196, 0.041684456497430834]","[-0.006028219925065059, -0.00513454354068017]","[0.04733345136887337, 0.10363110563263113]"
high_pedestal_drift,traditional_clipped_template,41541,0.0,0.000969792014151718,0.11481149897811467,"[0.0006514895509628244, 0.0016926454860736449]","[-6.225783062381228e-05, 7.783869285308397e-06]","[0.07049718706347158, 0.16407190004087255]"
high_pedestal_drift,gradient_boosted_trees,41541,0.00211388701167034,0.007525520536151019,0.05585069236702901,"[0.0043574788735584085, 0.013169943356148989]","[0.0016576960131669109, 0.002818234018578549]","[0.03144543738072652, 0.07915226645751822]"
high_pedestal_drift,1d_cnn,41541,0.006089098460506648,0.031863006250932815,0.07654191957715396,"[0.02508597258204829, 0.0430930676468555]","[0.004450095564243384, 0.007230162204359658]","[0.05087809053813757, 0.10379365714011837]"
high_pedestal_drift,waveform_transformer,41541,0.004659455269575119,0.027470118273049595,0.07511828307250727,"[0.024764844164019452, 0.04284160911725486]","[0.0004813656796613941, 0.008187125771655698]","[0.05132090567660067, 0.10498714882349258]"
high_pedestal_drift,gated_residual_cnn,41541,-0.006445676204748452,0.027397537603974342,0.07508227611758081,"[0.015424989200779237, 0.04490304205566645]","[-0.007656795834191143, -0.005461912014288828]","[0.046938914782960715, 0.10692532035962735]"
large_timing_bias_proxy,traditional_clipped_template,74083,-2.324707038647844e-06,0.0005170303921195557,0.12832322888343403,"[0.0003915578200695856, 0.0009680646807637679]","[-6.467167531938722e-05, 2.9919721493812295e-05]","[0.08747190387081981, 0.16919880651025826]"
large_timing_bias_proxy,gradient_boosted_trees,74083,0.000686596546282045,0.0042527235530683835,0.05053169267940748,"[0.003411084585693835, 0.008406438963024655]","[0.00018591915548336614, 0.0011482164464315322]","[0.030398258848943063, 0.0681339382978997]"
large_timing_bias_proxy,1d_cnn,74083,0.0013694548979401588,0.02109309034160106,0.07482480919726729,"[0.015694347214594017, 0.03319243309553713]","[0.00103508081738255, 0.0016888707850739593]","[0.0547410862510088, 0.09657824029144622]"
large_timing_bias_proxy,waveform_transformer,74083,0.005982049566227943,0.02298805142985657,0.07343933683795816,"[0.018843542275571966, 0.029643940339796233]","[0.005480638453445863, 0.006422120560819167]","[0.05135049188268798, 0.09903395718279474]"
large_timing_bias_proxy,gated_residual_cnn,74083,-0.007123335264623165,0.015503067162353546,0.07169175449116859,"[0.012368100069405048, 0.031481440900824956]","[-0.007349006363347144, -0.006951941381703364]","[0.04447023548621397, 0.09356530294167799]"
