method,label,matched_controls,n_cells,n_exposed,n_control,delta_abs_frac,delta_abs_frac_ci95,delta_catastrophic_rate,delta_catastrophic_rate_ci95
strong_huber_baseline_repair,p09a_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,35,806,6602,0.3859424891626886,"[0.33656687308069316, 0.4406678597639565]",0.5898677217230986,"[0.5710554800116865, 0.6065776038636491]"
strong_huber_baseline_repair,p09a_novel_early_pretrigger,run+stave+amp_bin+peak_bin+is_saturated,78,4401,9809,0.649546173029286,"[0.6041627632569112, 0.6861198519826038]",0.49661478899545686,"[0.4842569565611177, 0.517587470085361]"
repair_median_sample_logcal,p09a_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,35,806,6602,5.622498903992685,"[5.200628543911314, 6.031977803956693]",0.22484261376647788,"[0.20042038177596666, 0.2491390065348068]"
repair_median_sample_logcal,p09a_novel_early_pretrigger,run+stave+amp_bin+peak_bin+is_saturated,78,4401,9809,4.319349247275962,"[4.112017846461279, 4.462997221008386]",0.018365815711331637,"[0.011391199562140235, 0.025696785036716276]"
repair_slope_corrected_logcal,p09a_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,35,806,6602,3.159234249968406,"[2.44044235023659, 4.014253643540832]",-0.030753501240630924,"[-0.04132674840466815, -0.02030494306487996]"
repair_slope_corrected_logcal,p09a_novel_early_pretrigger,run+stave+amp_bin+peak_bin+is_saturated,78,4401,9809,4.51861798030476,"[4.249083788056662, 4.904618601234807]",-0.04405226920012314,"[-0.05727998504755226, -0.035294866859546914]"
hgb_waveform_atoms,p09a_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,35,806,6602,0.05135741522570715,"[0.03770923260842928, 0.0715974012712837]",0.06485584089658815,"[0.04431385113920473, 0.08411168619925698]"
hgb_waveform_atoms,p09a_novel_early_pretrigger,run+stave+amp_bin+peak_bin+is_saturated,78,4401,9809,0.027125577278148263,"[0.021493127748454223, 0.032214789685217016]",0.033477832455805975,"[0.020501400276985444, 0.0463134312608401]"
baseline_gated_cnn_new,p09a_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,35,806,6602,0.2580514481619333,"[0.23268323014124057, 0.2875373630665012]",0.5012361804535111,"[0.4858328164633132, 0.5203675419466666]"
baseline_gated_cnn_new,p09a_novel_early_pretrigger,run+stave+amp_bin+peak_bin+is_saturated,78,4401,9809,0.25939687780672127,"[0.23608763035198654, 0.2716394826430463]",0.5194139536102153,"[0.48571946718833775, 0.5395434776407673]"
