method,metric,ci_low,ci_high
1d_cnn,pid_auc,0.990822192513369,0.9940486251972054
1d_cnn,pid_balanced_accuracy,0.9506016042780749,0.9543610547667343
1d_cnn,calibration_ece,0.02971081948738363,0.0403577370491913
1d_cnn,boundary_migration_rate,0.04111111111111111,0.044444444444444446
1d_cnn,energy_log_area_sigma68,0.12888663603662917,0.1493808243164007
1d_cnn,timing_cfd20_sigma68_ns,2.978488684322052,3.219971059896216
1d_cnn,pedestal_transfer_span,0.09737184052911518,0.12943769816526074
bayesian_deltae_template_likelihood,pid_auc,0.910651904439937,0.9281149732620321
bayesian_deltae_template_likelihood,pid_balanced_accuracy,0.7445486815415822,0.821590909090909
bayesian_deltae_template_likelihood,calibration_ece,0.061828775594104185,0.06786908897537404
bayesian_deltae_template_likelihood,boundary_migration_rate,0.1,0.12444444444444444
bayesian_deltae_template_likelihood,energy_log_area_sigma68,0.0,0.0
bayesian_deltae_template_likelihood,timing_cfd20_sigma68_ns,0.0,0.0
bayesian_deltae_template_likelihood,pedestal_transfer_span,0.054683049835635045,0.07246050861778214
gradient_boosted_trees,pid_auc,0.9998061497326203,0.9999859139057923
gradient_boosted_trees,pid_balanced_accuracy,0.990975935828877,0.9968306288032455
gradient_boosted_trees,calibration_ece,0.0025758506958697327,0.006702645583853886
gradient_boosted_trees,boundary_migration_rate,0.0022222222222222222,0.006666666666666667
gradient_boosted_trees,energy_log_area_sigma68,0.004494916371482592,0.004590916395680366
gradient_boosted_trees,timing_cfd20_sigma68_ns,0.0404296038647114,0.04599100807129845
gradient_boosted_trees,pedestal_transfer_span,0.09962383945940545,0.11021510646727692
mlp,pid_auc,0.9910905454135678,0.9928676470588236
mlp,pid_balanced_accuracy,0.9348799864773496,0.9563502673796791
mlp,calibration_ece,0.013027418316952342,0.01967712285322403
mlp,boundary_migration_rate,0.03111111111111111,0.044444444444444446
mlp,energy_log_area_sigma68,0.14258086422383665,0.14415316829235142
mlp,timing_cfd20_sigma68_ns,0.8162350040995777,0.8491245581860709
mlp,pedestal_transfer_span,0.10523180988362896,0.11592736202472106
multitask_waveform_transformer_new,pid_auc,0.99201871657754,0.9966122943430246
multitask_waveform_transformer_new,pid_balanced_accuracy,0.8938894523326573,0.9024064171122994
multitask_waveform_transformer_new,calibration_ece,0.030226280635117012,0.041771005131103704
multitask_waveform_transformer_new,boundary_migration_rate,0.04888888888888889,0.052222222222222225
multitask_waveform_transformer_new,energy_log_area_sigma68,0.05411577478515143,0.05844453464274763
multitask_waveform_transformer_new,timing_cfd20_sigma68_ns,1.3980789334865946,1.4932838432075122
multitask_waveform_transformer_new,pedestal_transfer_span,0.09395693185169438,0.10646287177600877
ridge,pid_auc,0.9892170948839306,0.991062834224599
ridge,pid_balanced_accuracy,0.9221602434077079,0.9334893048128343
ridge,calibration_ece,0.03357766729717206,0.049577497016388083
ridge,boundary_migration_rate,0.03777777777777778,0.04
ridge,energy_log_area_sigma68,0.21685511319161327,0.25071441035328695
ridge,timing_cfd20_sigma68_ns,0.01448089831743182,0.01610655067877449
ridge,pedestal_transfer_span,0.09521943783068149,0.10382764057398067
