method,heldout_run,n,pid_auc,pid_balanced_accuracy,pid_efficiency,pid_purity,confusion_tn,confusion_fp,confusion_fn,confusion_tp,calibration_ece,boundary_migration_rate,energy_log_area_sigma68,energy_log_area_bias,timing_cfd20_sigma68_ns,timing_cfd20_bias_ns,pileup_veto_sensitivity,saturation_mask_sensitivity,pedestal_transfer_span
1d_cnn,63,900,0.990822192513369,0.9506016042780749,0.9409090909090909,0.8846153846153846,653,27,13,207,0.02971081948738363,0.044444444444444446,0.14938082431640076,0.10708954495145839,3.219971059896216,1.6299111710481906,0.7466666666666667,,0.09737184052911518
1d_cnn,65,900,0.9940486251972054,0.9543610547667343,0.946078431372549,0.8812785388127854,670,26,11,193,0.0403577370491913,0.04111111111111111,0.1288866360366292,0.11344329468625602,2.978488684322053,1.699459527854601,0.7155555555555555,,0.12943769816526074
bayesian_deltae_template_likelihood,63,900,0.9281149732620321,0.821590909090909,0.6681818181818182,0.8963414634146342,663,17,73,147,0.06198139386452499,0.1,0.0,0.0,0.0,0.0,0.4711111111111111,,0.054683049835635045
bayesian_deltae_template_likelihood,65,900,0.910651904439937,0.7445486815415822,0.5049019607843137,0.9035087719298246,685,11,101,103,0.06786908897537401,0.12444444444444444,0.0,0.0,0.0,0.0,0.28,,0.07246050861778214
gradient_boosted_trees,63,900,0.9998061497326203,0.990975935828877,0.9863636363636363,0.9863636363636363,677,3,3,217,0.006702645583853886,0.006666666666666667,0.0045909163956803665,-0.0002515678657086795,0.04599100807129852,0.002670914200129104,0.72,,0.09962383945940545
gradient_boosted_trees,65,900,0.9999859139057923,0.9968306288032455,0.9950980392156863,0.9950980392156863,695,1,1,203,0.0025758506958697327,0.0022222222222222222,0.0044949163714825945,-0.000526170307261431,0.040429603864711436,-0.0008733341047895138,0.6577777777777778,,0.10919722710214128
mlp,63,900,0.9928676470588236,0.9563502673796791,0.9318181818181818,0.9403669724770642,667,13,15,205,0.01498164958531262,0.03111111111111111,0.14415316829235147,0.00922266151865081,0.8491245581860712,0.049042662762630584,0.6844444444444444,,0.10523180988362896
mlp,65,900,0.9910905454135678,0.9348799864773496,0.8970588235294118,0.905940594059406,677,19,21,183,0.01967712285322403,0.044444444444444446,0.14258086422383665,0.01011086754786561,0.8162350040995778,0.02260985362357193,0.6222222222222222,,0.11592736202472106
multitask_waveform_transformer_new,63,900,0.99201871657754,0.9024064171122994,0.8136363636363636,0.9675675675675676,674,6,41,179,0.030226280635117012,0.052222222222222225,0.05844453464274767,0.0878321426842259,1.4932838432075126,-0.9091367470431155,0.6266666666666667,,0.09417247536412227
multitask_waveform_transformer_new,65,900,0.9966122943430246,0.8938894523326573,0.7892156862745098,0.9938271604938271,695,1,43,161,0.041771005131103704,0.04888888888888889,0.05411577478515145,0.08555760819690938,1.3980789334865962,-0.8795032421299709,0.5733333333333334,,0.10646287177600877
ridge,63,900,0.991062834224599,0.9334893048128343,0.8772727272727273,0.965,673,7,27,193,0.03357766729717206,0.03777777777777778,0.2507144103532871,-0.07603797992419992,0.016106550678774492,0.00016829401360940466,0.6266666666666667,,0.09521943783068149
ridge,65,900,0.9892170948839306,0.9221602434077079,0.8529411764705882,0.9666666666666667,690,6,30,174,0.0495774970163881,0.04,0.21685511319161332,-0.039208402822982436,0.014480898317431823,-0.00035509780035969385,0.5555555555555556,,0.10382764057398067
