method,threshold,n_positive,n_accepted,coverage,abstention_rate,accepted_time_rms_ns,charge_fractional_bias,charge_fractional_res68,bad_recovery_rate,risk_coverage_auc,accepted_time_rms_ns_ci_low,accepted_time_rms_ns_ci_high,charge_fractional_bias_ci_low,charge_fractional_bias_ci_high,charge_fractional_res68_ci_low,charge_fractional_res68_ci_high,abstention_rate_ci_low,abstention_rate_ci_high,bad_recovery_rate_ci_low,bad_recovery_rate_ci_high,risk_coverage_auc_ci_low,risk_coverage_auc_ci_high
traditional_train_quality_cuts,,600,213,0.355,0.645,9.9032180905644,-0.03221596037462951,0.0879419897357159,0.15023474178403756,0.1935493838745171,8.657454336657757,11.101177269472227,-0.03240257516372157,-0.03220169501541109,0.0879419897357159,0.10144676943394351,0.63,0.66,0.12612612612612611,0.17647058823529413,0.18935291863924184,0.19636087034828453
ml_isotonic_failure_gate,0.8571428571428571,600,419,0.6983333333333334,0.3016666666666667,9.682247362566063,-0.015100145420361186,0.06612080282418618,0.18854415274463007,0.1790315473521764,9.420455077610276,9.945691980401879,-0.018158008541715568,-0.013277957678824587,0.06349224082483912,0.07092988366853908,0.29,0.31333333333333335,0.16901408450704225,0.2087378640776699,0.16307522495548876,0.19981471203874307
