feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns,heldout_run,candidate,alpha
inv_sqrt_amp_1000,-108.49683704043188,-11.45305601769641,42,amp_only,0.0
log_amp,-20.91344753396804,-6.895775028338396,42,amp_only,0.0
inv_amp_1000,34.138207589443596,4.821944460274455,42,amp_only,0.0
stave_B4,-4.497344551631096,-2.1200685531939296,42,amp_only,0.0
stave_B8,2.264228600686863,1.0673675984681972,42,amp_only,0.0
stave_B6,2.184332146666112,1.0297040488476403,42,amp_only,0.0
inv_sqrt_amp_1000,-99.89786689057615,-10.558852413983736,57,amp_only,0.0
log_amp,-19.631349936321826,-6.478981437272168,57,amp_only,0.0
inv_amp_1000,30.640285191456627,4.335703738096149,57,amp_only,0.0
stave_B4,-4.507898585848771,-2.1250437726367255,57,amp_only,0.0
stave_B8,2.281586531279612,1.0755502054211965,57,amp_only,0.0
stave_B6,2.2002725712128153,1.037218437042285,57,amp_only,0.0
inv_sqrt_amp_1000,-98.88718858932283,-10.354429945265657,64,amp_only,0.0
log_amp,-19.428273418790358,-6.3732546891690784,64,amp_only,0.0
inv_amp_1000,30.36144397244498,4.2422624168689165,64,amp_only,0.0
stave_B8,4.445045384133554,2.0954144892019695,64,amp_only,0.0
stave_B6,4.3932901147585905,2.0710168212438527,64,amp_only,0.0
stave_B4,-2.2975301960964334,-1.0830661210938182,64,amp_only,0.0
inv_sqrt_amp_1000,-101.11148935595772,-10.6500368779406,65,amp_only,0.0
log_amp,-19.78471670806021,-6.513535794922475,65,amp_only,0.0
inv_amp_1000,31.193189231303197,4.393638180034632,65,amp_only,0.0
stave_B4,-4.52551588116543,-2.1333486452931094,65,amp_only,0.0
stave_B8,2.292596747147599,1.080740470956251,65,amp_only,0.0
stave_B6,2.2102054309836356,1.0419008320426333,65,amp_only,0.0
