alpha,fold,sigma68_ns,heldout_run,model,candidate,n_features
0.01,-1,1.5702585976684125,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,0,1.8661905567259995,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,1,1.395592190569438,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,2,1.4605359979846242,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,-1,1.574106248426687,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,0,1.8513381424818913,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,1,1.3793853885981033,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,2,1.4497778731785862,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,-1,1.5601671347528603,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,0,1.807996808125422,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,1,1.3595788453666018,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,2,1.4472412075198782,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,-1,1.5382722870039673,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,0,1.766632393719648,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,1,1.3720495433260094,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,2,1.4448191644048953,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,-1,1.5278337004835176,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,0,2.1450964934559797,57,S02 ML ridge,,
0.01,1,1.9522807505233435,57,S02 ML ridge,,
0.01,2,1.9633834903434666,57,S02 ML ridge,,
0.01,-1,2.0202535781075968,57,S02 ML ridge,,
0.1,0,2.147004912987379,57,S02 ML ridge,,
0.1,1,1.9513344200825842,57,S02 ML ridge,,
0.1,2,1.9625798770448437,57,S02 ML ridge,,
0.1,-1,2.020306403371602,57,S02 ML ridge,,
1.0,0,2.1399967968559874,57,S02 ML ridge,,
1.0,1,1.9459809687734113,57,S02 ML ridge,,
1.0,2,1.9634991752492135,57,S02 ML ridge,,
1.0,-1,2.016492313626204,57,S02 ML ridge,,
10.0,0,2.1084041091975627,57,S02 ML ridge,,
10.0,1,1.9342043588128337,57,S02 ML ridge,,
10.0,2,1.9705583176527304,57,S02 ML ridge,,
10.0,-1,2.0043889285543757,57,S02 ML ridge,,
100.0,0,2.0875537297402826,57,S02 ML ridge,,
100.0,1,1.9031059522476652,57,S02 ML ridge,,
100.0,2,1.946988819093003,57,S02 ML ridge,,
100.0,-1,1.9792161670269834,57,S02 ML ridge,,
0.0,0,1.7092402668261453,57,S03 analytic timewalk,amp_only,6.0
0.0,1,1.4063405220279948,57,S03 analytic timewalk,amp_only,6.0
0.0,2,1.4045033359582526,57,S03 analytic timewalk,amp_only,6.0
0.0,-1,1.5066947082707973,57,S03 analytic timewalk,amp_only,6.0
0.01,0,1.7121675068978428,57,S03 analytic timewalk,amp_only,6.0
0.01,1,1.4066611180956425,57,S03 analytic timewalk,amp_only,6.0
0.01,2,1.4051303810016318,57,S03 analytic timewalk,amp_only,6.0
0.01,-1,1.5079863353317056,57,S03 analytic timewalk,amp_only,6.0
0.1,0,1.7268339073507548,57,S03 analytic timewalk,amp_only,6.0
0.1,1,1.4110885799575101,57,S03 analytic timewalk,amp_only,6.0
0.1,2,1.4053582265761448,57,S03 analytic timewalk,amp_only,6.0
