alpha,fold,sigma68_ns,heldout_run,model,candidate,n_features
1.0,0,1.8667777566231152,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,1,1.3909514727736092,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,2,1.462391176320918,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,-1,1.5733734685725473,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,0,1.8434575959615778,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,1,1.3776450464297967,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,2,1.451119612035996,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,-1,1.5574074181424569,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,0,1.8061710313084518,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,1,1.3847331784281962,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,2,1.4554073028487942,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,-1,1.5487705041951474,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
