method,sigma68_ns,ci_low,ci_high,delta_vs_p01e_cfd20_ns,delta_ci_low,delta_ci_high,n_events,n_pair_residuals,full_rms_ns,heldout_run,table_scope,delta_vs_cfd20_ns,train_runs,timing_train_rows,timing_eval_rows,unsup_train_rows,uses_amplitude_bin_feature
P01e CFD20,3.1884502039551736,3.0494812623085017,3.329019827687503,0.0,0.0,0.0,408,1224,5.677758856597346,pooled,pooled,,,,,,
P01e hand-shape ridge,1.96163950630188,1.8945401784113192,2.0576989892621933,-1.2268106976532935,-1.3822343885675061,-1.0296882065982922,408,1224,4.4592300527119315,pooled,pooled,,,,,,
P01e AE latent ridge,1.9802609616518054,1.8606654930623747,2.073203363895418,-1.2081892423033682,-1.4211472880151124,-1.0462765985979168,408,1224,4.493565003627756,pooled,pooled,,,,,,
S02 global template,2.5456156463080895,2.539438243191036,2.789438243191036,-0.6428345576470842,-0.7777759781686437,-0.43788085355958156,408,1224,4.163959551443536,pooled,pooled,,,,,,
S02 ML ridge,1.8967329177173262,1.8125962735024743,2.013324523639652,-1.2917172862378474,-1.4656503910063958,-1.1129548343884172,408,1224,4.489003726885887,pooled,pooled,,,,,,
S03 analytic timewalk,1.493773463546379,1.4392969384546082,1.553267056482525,-1.6946767404087946,-1.8297057415753057,-1.5554426178047356,408,1224,2.6145382369553647,pooled,pooled,,,,,,
P01e shuffled-target control,2.0513074877858184,1.9446708188525457,2.1501624552488328,-1.1371427161693552,-1.3373164055947222,-0.9495078278886153,408,1224,4.515611498582756,pooled,pooled,,,,,,
P01e CFD20,3.304723900556563,3.053700141260169,3.5476924806479206,,0.0,0.0,68,204,3.9307744540837968,42,per_run,0.0,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",15666.0,204.0,164586.0,False
P01e hand-shape ridge,1.7037579941749572,1.5372542671114207,1.9635860904418099,,-1.8879045788863902,-1.2049583374966364,68,204,2.6578544662144528,42,per_run,-1.600965906381606,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",15666.0,204.0,164586.0,False
P01e AE latent ridge,1.7652789561748459,1.4928920424538261,2.040699048194288,,-1.951023250228551,-1.1100629182886483,68,204,2.5451523369733433,42,per_run,-1.5394449443817173,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",15666.0,204.0,164586.0,False
S02 global template,2.0449832924171005,2.0449832924171005,2.2711057694504255,-1.2597406081394626,-1.474588853388818,-0.9758439896435886,68,204,4.527425609750577,42,per_run,,,,,,
S02 ML ridge,1.6178173783297929,1.4430571996047814,2.011833892114545,-1.6869065222267703,-2.007580805265622,-1.1702934221874948,68,204,2.4482402750835783,42,per_run,,,,,,
S03 analytic timewalk,1.3853253030851616,1.3221715278455164,1.510752913792663,-1.9193985974714016,-2.177229497187185,-1.6354767010663018,68,204,3.7295554368564923,42,per_run,,,,,,
P01e shuffled-target control,1.8033107457137103,1.5832721486639405,2.15272783085245,,-1.8748695213896944,-1.004706426322104,68,204,2.5212199860187026,42,per_run,-1.5014131548428529,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",15666.0,204.0,164586.0,False
P01e CFD20,3.2647569361400595,2.820492154222011,3.6013097571443304,,0.0,0.0,64,192,4.01342665699288,57,per_run,0.0,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",15678.0,192.0,164662.0,False
P01e hand-shape ridge,2.015414061248308,1.7498943935744486,2.3129652625951977,,-1.7540169243179256,-0.6392285073880347,64,192,2.679485423580029,57,per_run,-1.2493428748917514,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",15678.0,192.0,164662.0,False
P01e AE latent ridge,2.054605914111881,1.7960078175783167,2.2485814231593353,,-1.7657035724402872,-0.6231201671026352,64,192,2.679348453846804,57,per_run,-1.2101510220281786,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",15678.0,192.0,164662.0,False
S02 global template,2.294800987551996,2.057090004239136,2.557090004239136,-0.9699559485880633,-1.4169056372216697,-0.5334081279486225,64,192,3.794656966660186,57,per_run,,,,,,
S02 ML ridge,1.8977791921961489,1.6426068703178185,2.181411480550128,-1.3669777439439106,-1.8692890900602779,-0.7504993488157135,64,192,2.5371658303993425,57,per_run,,,,,,
S03 analytic timewalk,1.4027916766318924,1.3301430259481146,1.5307207897287198,-1.861965259508167,-2.208346106749216,-1.3687087401781943,64,192,2.086697112379187,57,per_run,,,,,,
P01e shuffled-target control,2.112919571678787,1.8207618834126298,2.3833796595633356,,-1.6831936927248226,-0.607814661475839,64,192,2.7193811253423514,57,per_run,-1.1518373644612723,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",15678.0,192.0,164662.0,False
P01e CFD20,3.1468037098479296,2.971962481205643,3.3239030678546135,,0.0,0.0,210,630,6.883883817243844,64,per_run,0.0,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",15240.0,630.0,162998.0,False
P01e hand-shape ridge,2.0043403324651705,1.8288368919044753,2.12486026429683,,-1.4091335885238967,-0.8894801935188473,210,630,5.702641479244249,64,per_run,-1.142463377382759,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",15240.0,630.0,162998.0,False
P01e AE latent ridge,1.9992482417988775,1.8385654560936555,2.1378113413267728,,-1.417613487634587,-0.9064265574155156,210,630,5.768383683687943,64,per_run,-1.147555468049052,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",15240.0,630.0,162998.0,False
S02 global template,2.789438243191037,2.540070597082021,2.7900705970820256,-0.3573654666568924,-0.603230130936044,-0.20029065788051517,210,630,4.203157401469376,64,per_run,,,,,,
S02 ML ridge,1.9822637747080765,1.8569491268412468,2.103049060533744,-1.164539935139853,-1.4046976233401476,-0.9419075855053032,210,630,5.807831402259591,64,per_run,,,,,,
S03 analytic timewalk,1.5518758948657156,1.4769517607427405,1.691105219762224,-1.594927814982214,-1.7995187075791528,-1.3590703175628527,210,630,2.4761349330613007,64,per_run,,,,,,
P01e shuffled-target control,2.1260776752233506,1.978757571396053,2.2776260467216396,,-1.2741582077671894,-0.7734844860615104,210,630,5.8015468915545965,64,per_run,-1.020726034624579,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",15240.0,630.0,162998.0,False
P01e CFD20,2.9933860619640313,2.6666166347637734,3.388696400009375,,0.0,0.0,66,198,4.11882377956662,65,per_run,0.0,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",15672.0,198.0,164451.0,False
P01e hand-shape ridge,1.9578198898410795,1.726718593117596,2.189159240640698,,-1.6305398317161,-0.6338804171671671,66,198,2.282621162657016,65,per_run,-1.0355661721229519,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",15672.0,198.0,164451.0,False
P01e AE latent ridge,1.8992144702672986,1.6022474359250072,2.0971695456784376,,-1.6648118354524024,-0.6511377251155621,66,198,2.3056402232167343,65,per_run,-1.0941715916967327,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",15672.0,198.0,164451.0,False
S02 global template,2.5814973797705587,2.3314973797705605,3.0700533790686046,-0.41188868219347263,-0.6817276508363822,0.02570136179193945,66,198,3.9862676891119047,65,per_run,,,,,,
S02 ML ridge,1.8291421987409964,1.551302984637268,2.0892060010409867,-1.164243863223035,-1.6939059774245744,-0.6931306917006634,66,198,2.197158996203658,65,per_run,,,,,,
S03 analytic timewalk,1.5195848119957098,1.3776144099684837,1.6359661845895552,-1.4738012499683215,-1.9116446137224912,-1.1347126698525887,66,198,2.0483625019362264,65,per_run,,,,,,
P01e shuffled-target control,1.915936197695733,1.75716139976013,2.278908025172712,,-1.590523391061593,-0.557844906265152,66,198,2.2887357825816017,65,per_run,-1.0774498642682984,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",15672.0,198.0,164451.0,False
