method,sigma68_ns,ci_low,ci_high,delta_vs_cfd20_ns,delta_ci_low,delta_ci_high,n_events,n_pair_residuals,full_rms_ns,heldout_run,train_runs,timing_train_rows,timing_eval_rows,unsup_train_rows,uses_amplitude_bin_feature,delta_vs_p01e_cfd20_ns
P01e CFD20,3.304723900556563,3.053700141260169,3.5476924806479206,0.0,0.0,0.0,68,204,3.9307744540837968,42,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",15666.0,204.0,164586.0,False,
P01e hand-shape ridge,1.7037579941749572,1.5372542671114207,1.9635860904418099,-1.600965906381606,-1.8879045788863902,-1.2049583374966364,68,204,2.6578544662144528,42,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",15666.0,204.0,164586.0,False,
P01e AE latent ridge,1.7652789561748459,1.4928920424538261,2.040699048194288,-1.5394449443817173,-1.951023250228551,-1.1100629182886483,68,204,2.5451523369733433,42,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",15666.0,204.0,164586.0,False,
S02 global template,2.0449832924171005,2.0449832924171005,2.2711057694504255,,-1.474588853388818,-0.9758439896435886,68,204,4.527425609750577,42,,,,,,-1.2597406081394626
S02 ML ridge,1.6178173783297929,1.4430571996047814,2.011833892114545,,-2.007580805265622,-1.1702934221874948,68,204,2.4482402750835783,42,,,,,,-1.6869065222267703
S03 analytic timewalk,1.3853253030851616,1.3221715278455164,1.510752913792663,,-2.177229497187185,-1.6354767010663018,68,204,3.7295554368564923,42,,,,,,-1.9193985974714016
P01e shuffled-target control,1.8033107457137103,1.5832721486639405,2.15272783085245,-1.5014131548428529,-1.8748695213896944,-1.004706426322104,68,204,2.5212199860187026,42,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",15666.0,204.0,164586.0,False,
P01e CFD20,3.2647569361400595,2.820492154222011,3.6013097571443304,0.0,0.0,0.0,64,192,4.01342665699288,57,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",15678.0,192.0,164662.0,False,
P01e hand-shape ridge,2.015414061248308,1.7498943935744486,2.3129652625951977,-1.2493428748917514,-1.7540169243179256,-0.6392285073880347,64,192,2.679485423580029,57,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",15678.0,192.0,164662.0,False,
P01e AE latent ridge,2.054605914111881,1.7960078175783167,2.2485814231593353,-1.2101510220281786,-1.7657035724402872,-0.6231201671026352,64,192,2.679348453846804,57,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",15678.0,192.0,164662.0,False,
