heldout_run,epoch,loss
42,1,0.38910625184454567
42,2,0.1939778562362601
42,3,0.13354972204784069
42,4,0.08269170399119215
42,5,0.06587474566043877
42,6,0.058604498189396975
42,7,0.051718685139970084
42,8,0.046098539560306365
42,9,0.042578089982271194
42,10,0.039759515989117505
42,11,0.03850031525986951
42,12,0.03718268344315087
42,13,0.03620102674495883
42,14,0.03479922635526192
57,1,0.36567692567662496
57,2,0.17367289778662892
57,3,0.09451524386318719
57,4,0.07030840009087469
57,5,0.056528626872998915
57,6,0.05098525498334954
57,7,0.04617289953478953
57,8,0.042249882275738365
57,9,0.03986165418130595
57,10,0.03764255226748746
57,11,0.036368807278028346
57,12,0.03595806004070654
57,13,0.03461566899062657
57,14,0.03524869480511037
64,1,0.34292584024369716
64,2,0.15345082711428404
64,3,0.08534260336309671
64,4,0.07893814984709024
64,5,0.07596170753240586
64,6,0.07372462153434753
64,7,0.06904595755040646
64,8,0.058853139821439984
64,9,0.04932390172034502
64,10,0.044763714727014306
64,11,0.04207015736028552
64,12,0.039933056011795996
64,13,0.037222171761095525
64,14,0.035574870416894555
65,1,0.38170315579670233
65,2,0.21458702570781474
65,3,0.08526903863360243
65,4,0.06654015192534865
65,5,0.05876285873535203
65,6,0.05432278135927712
65,7,0.04991396071343887
65,8,0.04479341454258779
65,9,0.04135357279603074
65,10,0.03999282174357554
65,11,0.03912385498605123
65,12,0.0377667087425546
65,13,0.03749197358038367
65,14,0.03623479777356473
