method,n_runs,mean_sigma68_ns,ci_low,ci_high,min_run_sigma68_ns,max_run_sigma68_ns
S02b global timewalk no covariate,7,1.6551640399789107,1.5334120562011022,1.8428460390457087,1.4718970274976448,2.188417727408664
S02e global current/rate selected power 0,7,1.6551640399789107,1.530225641937389,1.844504973177003,1.4718970274976448,2.188417727408664
S02 ML ridge,7,1.9054928392097812,1.8237306443919148,2.0260844667709175,1.7698393506968229,2.2424329131323475
S02 train-best global template (template_phase),7,2.8102293063017076,2.7160681131215214,2.902631686636123,2.6428031039120548,2.9923192689628024
S02b binned timewalk no covariate,7,3.1484944174882767,2.7792616663528804,3.4559289447098087,2.127410063722653,3.6379339992367563
S02e binned current/rate selected power 0,7,3.1484944174882767,2.7541298646954893,3.4608452365345896,2.127410063722653,3.6379339992367563
