method,base_method,drift_order,fold,heldout_runs,sigma68_ns,n_pair_residuals,heldout_run
s02e_binned_timewalk_drift0,s02b_template,0,0,61 65,3.2374293502495077,2997,58
s02e_binned_timewalk_drift0,s02b_template,0,1,60 63,2.822657314804678,3534,58
s02e_binned_timewalk_drift0,s02b_template,0,2,59 62,3.1948464631869604,4710,58
s02e_binned_timewalk_drift1,s02b_template,1,0,61 65,4.079566285357727,2997,58
s02e_binned_timewalk_drift1,s02b_template,1,1,60 63,2.890213489474,3534,58
s02e_binned_timewalk_drift1,s02b_template,1,2,59 62,3.5642388684436965,4710,58
s02e_binned_timewalk_drift2,s02b_template,2,0,61 65,356.05836432112096,2997,58
s02e_binned_timewalk_drift2,s02b_template,2,1,60 63,38.795254753983876,3534,58
s02e_binned_timewalk_drift2,s02b_template,2,2,59 62,14.623560790077876,4710,58
s02e_global_timewalk_drift0,template_phase,0,0,61 65,2.1563360964592846,2997,58
s02e_global_timewalk_drift0,template_phase,0,1,60 63,1.5203552617821816,3534,58
s02e_global_timewalk_drift0,template_phase,0,2,59 62,1.5754128675005348,4710,58
s02e_global_timewalk_drift1,template_phase,1,0,61 65,2.3442879758279536,2997,58
s02e_global_timewalk_drift1,template_phase,1,1,60 63,1.5962808315886707,3534,58
s02e_global_timewalk_drift1,template_phase,1,2,59 62,2.01044098519242,4710,58
s02e_global_timewalk_drift2,template_phase,2,0,61 65,454.04601635657673,2997,58
s02e_global_timewalk_drift2,template_phase,2,1,60 63,35.77598101561262,3534,58
s02e_global_timewalk_drift2,template_phase,2,2,59 62,9.362810331811177,4710,58
s02e_binned_timewalk_drift0,s02b_template,0,0,61,3.553774649220059,2799,59
s02e_binned_timewalk_drift0,s02b_template,0,1,58 60 65,3.08016261393861,2841,59
s02e_binned_timewalk_drift0,s02b_template,0,2,62 63,3.522400211240499,3531,59
s02e_binned_timewalk_drift1,s02b_template,1,0,61,3.67797876344591,2799,59
s02e_binned_timewalk_drift1,s02b_template,1,1,58 60 65,59.36264057929391,2841,59
s02e_binned_timewalk_drift1,s02b_template,1,2,62 63,3.290345943871757,3531,59
s02e_binned_timewalk_drift2,s02b_template,2,0,61,23.985571661051782,2799,59
s02e_binned_timewalk_drift2,s02b_template,2,1,58 60 65,53.69267311135981,2841,59
s02e_binned_timewalk_drift2,s02b_template,2,2,62 63,59.849772275806686,3531,59
s02e_global_timewalk_drift0,template_phase,0,0,61,2.1733432773420076,2799,59
s02e_global_timewalk_drift0,template_phase,0,1,58 60 65,1.549232619809651,2841,59
s02e_global_timewalk_drift0,template_phase,0,2,62 63,1.5567295670693553,3531,59
s02e_global_timewalk_drift1,template_phase,1,0,61,2.1854963612769573,2799,59
s02e_global_timewalk_drift1,template_phase,1,1,58 60 65,26.82495902719566,2841,59
s02e_global_timewalk_drift1,template_phase,1,2,62 63,2.3253780671113553,3531,59
s02e_global_timewalk_drift2,template_phase,2,0,61,9.319212935686366,2799,59
s02e_global_timewalk_drift2,template_phase,2,1,58 60 65,24.17215299784829,2841,59
s02e_global_timewalk_drift2,template_phase,2,2,62 63,20.062603350257735,3531,59
s02e_binned_timewalk_drift0,s02b_template,0,0,61,2.5974945267322473,2799,60
s02e_binned_timewalk_drift0,s02b_template,0,1,58 62 65,2.5201326453277324,2838,60
s02e_binned_timewalk_drift0,s02b_template,0,2,59 63,2.5561614691970775,3399,60
s02e_binned_timewalk_drift1,s02b_template,1,0,61,2.6580910938137894,2799,60
s02e_binned_timewalk_drift1,s02b_template,1,1,58 62 65,3.7108509368398073,2838,60
s02e_binned_timewalk_drift1,s02b_template,1,2,59 63,3.5279677258188515,3399,60
s02e_binned_timewalk_drift2,s02b_template,2,0,61,2.9285326590506844,2799,60
s02e_binned_timewalk_drift2,s02b_template,2,1,58 62 65,4.51365586637458,2838,60
s02e_binned_timewalk_drift2,s02b_template,2,2,59 63,2.812686657939827,3399,60
s02e_global_timewalk_drift0,template_phase,0,0,61,2.1340041308986883,2799,60
s02e_global_timewalk_drift0,template_phase,0,1,58 62 65,1.5760326037972803,2838,60
s02e_global_timewalk_drift0,template_phase,0,2,59 63,1.491698646169502,3399,60
s02e_global_timewalk_drift1,template_phase,1,0,61,2.113717947734037,2799,60
s02e_global_timewalk_drift1,template_phase,1,1,58 62 65,2.318407611836978,2838,60
s02e_global_timewalk_drift1,template_phase,1,2,59 63,3.1489517398323823,3399,60
s02e_global_timewalk_drift2,template_phase,2,0,61,3.2657637448850876,2799,60
