sample,threshold_mev,species,n,l_stop_mean,l_stop_median,frac_none_above_threshold
I,0.0,p,313,5.3674,6.0,0.0
I,0.0,d,790,0.8177,1.0,0.0
I,0.0,all,1106,2.1031,1.0,0.0
I,0.02,p,313,5.3674,6.0,0.0
I,0.02,d,790,0.8152,1.0,0.0
I,0.02,all,1106,2.1013,1.0,0.0
I,0.05,p,313,5.3578,6.0,0.0
I,0.05,d,790,0.8152,1.0,0.0
I,0.05,all,1106,2.0986,1.0,0.0
I,0.1,p,313,5.3546,6.0,0.0
I,0.1,d,790,0.8152,1.0,0.0
I,0.1,all,1106,2.0976,1.0,0.0
I,0.5,p,313,5.345,6.0,0.0
I,0.5,d,790,0.8089,1.0,0.0
I,0.5,all,1106,2.0976,1.0,0.000904
II,0.0,p,11102,5.1602,6.0,0.0
II,0.0,d,1870,1.3711,1.0,0.0
II,0.0,all,13006,4.6021,6.0,0.0
II,0.02,p,11102,5.1602,6.0,0.00036
II,0.02,d,1870,1.369,1.0,0.0
II,0.02,all,13006,4.6019,6.0,0.000308
II,0.05,p,11102,5.1603,6.0,0.00054
II,0.05,d,1870,1.3658,1.0,0.0
II,0.05,all,13006,4.6015,6.0,0.000461
II,0.1,p,11102,5.1601,6.0,0.000901
II,0.1,d,1870,1.3615,1.0,0.0
II,0.1,all,13006,4.6006,6.0,0.000769
II,0.5,p,11102,5.1509,6.0,0.002342
II,0.5,d,1870,1.3615,1.0,0.002139
II,0.5,all,13006,4.6106,6.0,0.004536
