axis,metric,method,transport_span,worst_level,n_levels
timing_slice,energy_scale_bias,analytic_clipped_template_sideband_traditional,0.04003617204934651,late_tail_high,2
timing_slice,saturation_recovery_sigma68,tiny_sequence_transformer,0.03898569731745809,late_tail_low,2
timing_slice,saturation_recovery_sigma68,ridge,0.035367917272441735,late_tail_low,2
timing_slice,saturation_recovery_sigma68,saturation_residual_fusion_new,0.032563969797799325,late_tail_low,2
timing_slice,energy_scale_bias,1d_cnn,0.030248730883453798,late_tail_high,2
timing_slice,energy_resolution_sigma68,tiny_sequence_transformer,0.02921449045660031,late_tail_low,2
timing_slice,energy_resolution_sigma68,ridge,0.02880443833259684,late_tail_low,2
timing_slice,energy_scale_bias,mlp,0.024872384271627863,late_tail_high,2
timing_slice,energy_resolution_sigma68,1d_cnn,0.02147067285436227,late_tail_low,2
timing_slice,energy_resolution_sigma68,gradient_boosted_trees,0.01996334273904099,late_tail_low,2
timing_slice,energy_resolution_sigma68,mlp,0.01732888416490161,late_tail_low,2
timing_slice,energy_scale_bias,ridge,0.016431994163479173,late_tail_low,2
timing_slice,energy_resolution_sigma68,analytic_clipped_template_sideband_traditional,0.01382417844049269,late_tail_high,2
timing_slice,energy_scale_bias,gradient_boosted_trees,0.012207326930518849,late_tail_low,2
timing_slice,energy_scale_bias,saturation_residual_fusion_new,0.010596726020352944,late_tail_low,2
timing_slice,energy_scale_bias,tiny_sequence_transformer,0.00942514125948208,late_tail_low,2
timing_slice,energy_resolution_sigma68,saturation_residual_fusion_new,0.006904496337216834,late_tail_low,2
timing_slice,saturation_recovery_sigma68,analytic_clipped_template_sideband_traditional,0.0,late_tail_low,2
