method,bin_low,bin_high,n,mean_score,observed_overlap_rate,abs_gap
1d_cnn,0.0,0.1,125,0.054560678076930345,0.12,0.06543932192306964
1d_cnn,0.1,0.2,190,0.14820291964631332,0.30526315789473685,0.15706023824842352
1d_cnn,0.2,0.30000000000000004,101,0.24735855023459632,0.37623762376237624,0.1288790735277799
1d_cnn,0.30000000000000004,0.4,81,0.349267550824601,0.35802469135802467,0.00875714053342369
1d_cnn,0.4,0.5,67,0.4486000248745306,0.6865671641791045,0.23796713930457386
1d_cnn,0.5,0.6000000000000001,54,0.548069523440467,0.7962962962962963,0.24822677285582928
1d_cnn,0.6000000000000001,0.7000000000000001,70,0.6466384657791683,0.7714285714285715,0.12479010564940318
1d_cnn,0.7000000000000001,0.8,68,0.7497255241169649,0.7205882352941176,0.029137288822847274
1d_cnn,0.8,0.9,64,0.8525038380175829,0.875,0.022496161982417107
1d_cnn,0.9,1.0,60,0.938045252362887,0.8666666666666667,0.07137858569622035
analytic_clipped_template_sideband_traditional,0.0,0.1,541,0.0017813274556360726,0.4232902033271719,0.4215088758715358
analytic_clipped_template_sideband_traditional,0.1,0.2,9,0.14895785971277983,0.4444444444444444,0.29548658473166456
analytic_clipped_template_sideband_traditional,0.2,0.30000000000000004,5,0.23779165476618797,0.2,0.037791654766187954
analytic_clipped_template_sideband_traditional,0.30000000000000004,0.4,27,0.3498582833755353,0.25925925925925924,0.09059902411627607
analytic_clipped_template_sideband_traditional,0.4,0.5,16,0.44156621847278954,0.5,0.05843378152721046
analytic_clipped_template_sideband_traditional,0.5,0.6000000000000001,15,0.5452628038280818,0.5333333333333333,0.011929470494748462
analytic_clipped_template_sideband_traditional,0.6000000000000001,0.7000000000000001,12,0.6555923991722431,0.5833333333333334,0.07225906583890973
analytic_clipped_template_sideband_traditional,0.7000000000000001,0.8,11,0.7661834586075117,0.36363636363636365,0.40254709497114805
analytic_clipped_template_sideband_traditional,0.8,0.9,25,0.855313082032683,0.36,0.495313082032683
analytic_clipped_template_sideband_traditional,0.9,1.0,219,0.9893845764670154,0.7442922374429224,0.245092339024093
gradient_boosted_trees,0.0,0.1,214,0.054285605398443314,0.14953271028037382,0.0952471048819305
gradient_boosted_trees,0.1,0.2,113,0.14280554294241157,0.23893805309734514,0.09613251015493357
gradient_boosted_trees,0.2,0.30000000000000004,63,0.2517684167796624,0.2698412698412698,0.01807285306160744
gradient_boosted_trees,0.30000000000000004,0.4,52,0.341226475614414,0.4807692307692308,0.1395427551548168
gradient_boosted_trees,0.4,0.5,36,0.44823244494009296,0.6944444444444444,0.24621199950435146
gradient_boosted_trees,0.5,0.6000000000000001,46,0.5564750973907973,0.6956521739130435,0.1391770765222462
gradient_boosted_trees,0.6000000000000001,0.7000000000000001,39,0.645406700707149,0.5128205128205128,0.13258618788663623
gradient_boosted_trees,0.7000000000000001,0.8,54,0.7502378274369333,0.7592592592592593,0.009021431822325954
gradient_boosted_trees,0.8,0.9,72,0.8572429708677208,0.6805555555555556,0.17668741531216525
