fold_name,shuffled,alpha,fold,val_mse,control
holdout_sample_i,False,1000.0,single_train_run,,real
holdout_sample_i,True,1000.0,single_train_run,,shuffled
holdout_sample_ii,False,10.0,1,0.018705251227797568,real
holdout_sample_ii,False,10.0,2,0.04057286373165014,real
holdout_sample_ii,False,10.0,3,0.07258859435291208,real
holdout_sample_ii,False,10.0,4,0.06987726005294094,real
holdout_sample_ii,False,10.0,5,0.09057979431998717,real
holdout_sample_ii,False,10.0,mean,0.058464752737057576,real
holdout_sample_ii,False,30.0,1,0.018705004813123118,real
holdout_sample_ii,False,30.0,2,0.04057156993454731,real
holdout_sample_ii,False,30.0,3,0.0725903733716416,real
holdout_sample_ii,False,30.0,4,0.06987973858236271,real
holdout_sample_ii,False,30.0,5,0.09058209443556293,real
holdout_sample_ii,False,30.0,mean,0.05846575622744754,real
holdout_sample_ii,False,100.0,1,0.018704204435466443,real
holdout_sample_ii,False,100.0,2,0.04056718868461547,real
holdout_sample_ii,False,100.0,3,0.07259674186518832,real
holdout_sample_ii,False,100.0,4,0.06988850316194763,real
holdout_sample_ii,False,100.0,5,0.09059028539635754,real
holdout_sample_ii,False,100.0,mean,0.05846938470871508,real
holdout_sample_ii,False,300.0,1,0.018702424108337914,real
holdout_sample_ii,False,300.0,2,0.04055587691316374,real
holdout_sample_ii,False,300.0,3,0.07261607743704784,real
holdout_sample_ii,False,300.0,4,0.06991425922329923,real
holdout_sample_ii,False,300.0,5,0.09061483792833258,real
holdout_sample_ii,False,300.0,mean,0.05848069512203626,real
holdout_sample_ii,False,1000.0,1,0.018701195640603987,real
holdout_sample_ii,False,1000.0,2,0.04052848412099883,real
holdout_sample_ii,False,1000.0,3,0.07269495341127756,real
holdout_sample_ii,False,1000.0,4,0.07001123740534014,real
holdout_sample_ii,False,1000.0,5,0.09071194431280868,real
holdout_sample_ii,False,1000.0,mean,0.05852956297820584,real
holdout_sample_ii,False,3000.0,1,0.018724955109076784,real
holdout_sample_ii,False,3000.0,2,0.0405212096993935,real
holdout_sample_ii,False,3000.0,3,0.07297975127419483,real
holdout_sample_ii,False,3000.0,4,0.07032092121952015,real
holdout_sample_ii,False,3000.0,5,0.09104737770455201,real
holdout_sample_ii,False,3000.0,mean,0.05871884300134746,real
holdout_sample_ii,True,10.0,1,0.02078401908976615,shuffled
holdout_sample_ii,True,10.0,2,0.04793793635770556,shuffled
holdout_sample_ii,True,10.0,3,0.07783776889923388,shuffled
holdout_sample_ii,True,10.0,4,0.07101659390960481,shuffled
holdout_sample_ii,True,10.0,5,0.10028416508277231,shuffled
holdout_sample_ii,True,10.0,mean,0.06357209666781655,shuffled
holdout_sample_ii,True,30.0,1,0.02078570306478756,shuffled
holdout_sample_ii,True,30.0,2,0.04794058568409166,shuffled
holdout_sample_ii,True,30.0,3,0.07784277041948566,shuffled
holdout_sample_ii,True,30.0,4,0.07102034578865989,shuffled
holdout_sample_ii,True,30.0,5,0.10028991395196213,shuffled
holdout_sample_ii,True,30.0,mean,0.06357586378179739,shuffled
holdout_sample_ii,True,100.0,1,0.02079156644222971,shuffled
holdout_sample_ii,True,100.0,2,0.047949822886709216,shuffled
holdout_sample_ii,True,100.0,3,0.07786019428533014,shuffled
holdout_sample_ii,True,100.0,4,0.07103343085710336,shuffled
holdout_sample_ii,True,100.0,5,0.10030995122247516,shuffled
holdout_sample_ii,True,100.0,mean,0.0635889931387695,shuffled
holdout_sample_ii,True,300.0,1,0.020808062378837023,shuffled
holdout_sample_ii,True,300.0,2,0.04797591960324355,shuffled
holdout_sample_ii,True,300.0,3,0.07790929719535197,shuffled
holdout_sample_ii,True,300.0,4,0.07107042107230561,shuffled
holdout_sample_ii,True,300.0,5,0.10036648774775611,shuffled
holdout_sample_ii,True,300.0,mean,0.06362603759949885,shuffled
holdout_sample_ii,True,1000.0,1,0.020862986312618178,shuffled
holdout_sample_ii,True,1000.0,2,0.04806396618047496,shuffled
holdout_sample_ii,True,1000.0,3,0.07807376270818164,shuffled
holdout_sample_ii,True,1000.0,4,0.07119546153904326,shuffled
holdout_sample_ii,True,1000.0,5,0.10055654642851664,shuffled
holdout_sample_ii,True,1000.0,mean,0.06375054463376693,shuffled
holdout_sample_ii,True,3000.0,1,0.020999733370398725,shuffled
holdout_sample_ii,True,3000.0,2,0.04829081508764679,shuffled
holdout_sample_ii,True,3000.0,3,0.07849137587691385,shuffled
holdout_sample_ii,True,3000.0,4,0.07151932994714001,shuffled
holdout_sample_ii,True,3000.0,5,0.10104298779503465,shuffled
holdout_sample_ii,True,3000.0,mean,0.06406884841542682,shuffled
