geometry,method,n,bias_median_frac,res68_abs_frac,depth_order_violation_rate,res68_ci95,depth_violation_ci95
nominal_budget,pstar_depth_only,332852,-0.007159071767599513,0.2614611446862335,0.0,[],[]
nominal_budget,traditional_depth_charge_lookup,332852,-0.012252491228007263,0.021189225434905763,0.0,"[0.019347728214226454, 0.021953897607786085]","[0.0, 0.0]"
nominal_budget,ml_monotonic_hgb,332852,-0.0032257160401031005,0.024833852540874498,0.0,"[0.023457684862562046, 0.029307484970070557]","[0.0, 0.0]"
first_center_cm_1p5,pstar_depth_only,332852,-0.008042601710259683,0.3081066474445491,0.0,[],[]
first_center_cm_1p5,traditional_depth_charge_lookup,332852,-0.014721229354851324,0.027116857019290255,0.0,"[0.02420916415574374, 0.02837872948174269]","[0.0, 0.0]"
first_center_cm_1p5,ml_monotonic_hgb,332852,-0.0036911099385497966,0.030140105489624244,0.0,"[0.028092853975070484, 0.034033993913434896]","[0.0, 0.0]"
first_center_cm_2,pstar_depth_only,332852,-0.007159071767599513,0.2614611446862335,0.0,[],[]
first_center_cm_2,traditional_depth_charge_lookup,332852,-0.012252491228007263,0.021189225434905763,0.0,"[0.019347728214226454, 0.021953897607786085]","[0.0, 0.0]"
first_center_cm_2,ml_monotonic_hgb,332852,-0.004086402628084577,0.025331553122025632,0.0,"[0.023601207069324646, 0.029036905681722024]","[0.0, 0.0]"
first_center_cm_2p5,pstar_depth_only,332852,-0.006501414789400517,0.2255757851876729,0.0,[],[]
first_center_cm_2p5,traditional_depth_charge_lookup,332852,-0.010452119113446953,0.017251773416181122,0.0,"[0.016008190362502353, 0.01772088849987482]","[0.0, 0.0]"
first_center_cm_2p5,ml_monotonic_hgb,332852,-0.0024641829478453774,0.02079760407409461,0.0,"[0.019641386891126572, 0.024337830816989592]","[0.0, 0.0]"
spacing_cm_3p8,pstar_depth_only,332852,-0.0069887151915518815,0.2520596717257843,0.0,[],[]
spacing_cm_3p8,traditional_depth_charge_lookup,332852,-0.011777231933091298,0.02011099007904716,0.0,"[0.018444828421256932, 0.0207871194081212]","[0.0, 0.0]"
spacing_cm_3p8,ml_monotonic_hgb,332852,-0.0031042850156956197,0.02383740577179728,0.0,"[0.02258928642198079, 0.02830015853580331]","[0.0, 0.0]"
spacing_cm_4,pstar_depth_only,332852,-0.007159071767599513,0.2614611446862335,0.0,[],[]
spacing_cm_4,traditional_depth_charge_lookup,332852,-0.012252491228007263,0.021189225434905763,0.0,"[0.019347728214226454, 0.021953897607786085]","[0.0, 0.0]"
spacing_cm_4,ml_monotonic_hgb,332852,-0.003456763011733125,0.025970408267889974,0.0,"[0.02424581109153619, 0.030196550584675404]","[0.0, 0.0]"
spacing_cm_4p2,pstar_depth_only,332852,-0.007266594481265321,0.27054295430051223,0.0,[],[]
spacing_cm_4p2,traditional_depth_charge_lookup,332852,-0.012718202900825315,0.0222619524105251,0.0,"[0.02023456084657544, 0.023111356220033796]","[0.0, 0.0]"
spacing_cm_4p2,ml_monotonic_hgb,332852,-0.003432614298913942,0.026126833854502166,0.0,"[0.024532298078805727, 0.03050243896463471]","[0.0, 0.0]"
active_thickness_cm_0p8,pstar_depth_only,332852,-0.0073023420061887005,0.26938454962089825,0.0,[],[]
active_thickness_cm_0p8,traditional_depth_charge_lookup,332852,-0.012661557359366058,0.022125866303691524,0.0,"[0.020120336001028794, 0.022965291652333717]","[0.0, 0.0]"
active_thickness_cm_0p8,ml_monotonic_hgb,332852,-0.00408042354838521,0.025950788092172532,0.0,"[0.024404016832498744, 0.03081485653432571]","[0.0, 0.0]"
active_thickness_cm_1,pstar_depth_only,332852,-0.007159071767599513,0.2614611446862335,0.0,[],[]
active_thickness_cm_1,traditional_depth_charge_lookup,332852,-0.012252491228007263,0.021189225434905763,0.0,"[0.019347728214226454, 0.021953897607786085]","[0.0, 0.0]"
active_thickness_cm_1,ml_monotonic_hgb,332852,-0.00381181888769999,0.025770909112639503,0.0,"[0.024214255151841436, 0.02906269199890799]","[0.0, 0.0]"
active_thickness_cm_1p2,pstar_depth_only,332852,-0.007026079824719898,0.2532922655369284,0.0,[],[]
active_thickness_cm_1p2,traditional_depth_charge_lookup,332852,-0.011836707147500954,0.020250621417509076,0.0,"[0.01856238731109376, 0.02093578124176307]","[0.0, 0.0]"
active_thickness_cm_1p2,ml_monotonic_hgb,332852,-0.0036758144064325624,0.02402872064636396,0.0,"[0.02273125127956803, 0.02897918420007682]","[0.0, 0.0]"
dead_layer_cm_0,pstar_depth_only,332852,-0.007159071767599513,0.2614611446862335,0.0,[],[]
dead_layer_cm_0,traditional_depth_charge_lookup,332852,-0.012252491228007263,0.021189225434905763,0.0,"[0.019347728214226454, 0.021953897607786085]","[0.0, 0.0]"
dead_layer_cm_0,ml_monotonic_hgb,332852,-0.004028327114139023,0.02553749142613739,0.0,"[0.023979683683529547, 0.02904809241992162]","[0.0, 0.0]"
dead_layer_cm_0p1,pstar_depth_only,332852,-0.007229587732109633,0.2660204042086565,0.0,[],[]
